,Location,Latitude,Longitude,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo
0,ANANTAPUR,14.41,77.39,General,0.0,0.0,0.0,0.0,0.17,0.0,9.55,15.21,12.49,10001
1,ANANTAPUR,14.41,77.39,OBC,0.78,2.3,1.59,2.46,2.45,2.46,24.56,22.04,23.26,10001
2,ANANTAPUR,14.41,77.39,SC,0.0,0.23,0.0,1.24,2.01,1.64,17.97,19.13,18.56,10001
3,ANANTAPUR,14.41,77.39,ST,0.0,0.05,0.0,2.2,2.94,2.58,12.67,21.03,17.09,10001
4,ANANTAPUR,14.41,77.39,Overall,0.0,0.95,0.31,1.56,2.0,1.79,20.15,20.24,20.19,10001
5,CHITTOOR,13.13,79.08,General,0.0,0.0,0.0,0.0,0.27,0.0,1.89,6.37,4.28,10002
6,CHITTOOR,13.13,79.08,OBC,0.0,0.0,0.0,0.15,0.1,0.13,11.42,10.18,10.77,10002
7,CHITTOOR,13.13,79.08,SC,0.0,0.0,0.0,0.97,0.51,0.73,8.45,10.7,9.6,10002
8,CHITTOOR,13.13,79.08,ST,0.0,0.0,0.0,4.08,4.91,4.51,3.63,11.66,7.78,10002
9,CHITTOOR,13.13,79.08,Overall,0.0,0.0,0.0,0.3,0.48,0.4,8.14,9.38,8.79,10002
10,GUNTUR,16.18,80.29,General,0.0,0.0,0.0,0.84,0.75,0.8,15.96,14.0,14.91,10004
11,GUNTUR,16.18,80.29,OBC,0.33,1.17,0.77,1.92,1.5,1.7,19.58,19.03,19.29,10004
12,GUNTUR,16.18,80.29,SC,0.0,0.0,0.0,1.34,1.38,1.36,14.39,17.34,15.9,10004
13,GUNTUR,16.18,80.29,ST,1.18,2.57,1.91,6.27,5.7,5.97,15.85,14.25,15.01,10004
14,GUNTUR,16.18,80.29,Overall,0.0,0.38,0.0,1.75,1.52,1.63,17.01,16.74,16.87,10004
15,KADAPA,15.34,79.09,General,0.0,0.0,0.0,0.0,0.0,0.0,13.1,20.67,17.06,10005
16,KADAPA,15.34,79.09,OBC,0.0,0.5,0.23,5.42,4.27,4.83,25.65,27.57,26.64,10005
17,KADAPA,15.34,79.09,SC,0.0,0.0,0.0,1.97,2.1,2.04,15.18,18.0,16.62,10005
18,KADAPA,15.34,79.09,ST,0.0,0.0,0.0,7.32,2.92,5.01,26.5,22.94,24.69,10005
19,KADAPA,15.34,79.09,Overall,0.0,0.0,0.0,2.09,2.53,2.32,19.9,23.53,21.78,10005
20,KRISHNA,15.55,81.1,General,0.0,0.0,0.0,0.0,0.0,0.0,20.58,23.51,22.17,10006
21,KRISHNA,15.55,81.1,OBC,0.0,0.0,0.0,0.0,0.08,0.0,24.11,25.05,24.59,10006
22,KRISHNA,15.55,81.1,SC,0.0,0.0,0.0,0.13,1.87,1.02,19.11,21.85,20.51,10006
23,KRISHNA,15.55,81.1,ST,0.0,0.0,0.0,3.49,5.02,4.28,23.55,20.72,22.12,10006
24,KRISHNA,15.55,81.1,Overall,0.0,0.0,0.0,0.0,0.31,0.11,21.94,23.73,22.87,10006
25,KURNOOL,15.5,78.05,General,0.0,0.0,0.0,0.0,0.0,0.0,10.62,13.15,12.0,10007
26,KURNOOL,15.5,78.05,OBC,1.69,2.7,2.24,6.93,5.85,6.36,24.53,24.01,24.25,10007
27,KURNOOL,15.5,78.05,SC,0.0,0.0,0.0,3.57,3.46,3.52,13.39,17.72,15.64,10007
28,KURNOOL,15.5,78.05,ST,0.0,0.0,0.0,7.16,1.62,4.26,11.06,0.0,4.73,10007
29,KURNOOL,15.5,78.05,Overall,0.0,0.0,0.0,4.71,4.05,4.37,19.73,20.45,20.11,10007
30,NELLORE,14.27,80.02,General,0.0,0.0,0.0,0.0,0.0,0.0,7.37,7.01,7.18,10008
31,NELLORE,14.27,80.02,OBC,0.0,0.0,0.0,1.35,1.08,1.21,14.14,15.6,14.9,10008
32,NELLORE,14.27,80.02,SC,0.0,0.0,0.0,1.11,1.95,1.54,11.09,16.02,13.62,10008
33,NELLORE,14.27,80.02,ST,3.36,4.86,4.12,16.22,15.25,15.73,28.26,29.08,28.67,10008
34,NELLORE,14.27,80.02,Overall,0.0,0.0,0.0,2.64,2.52,2.58,12.94,14.78,13.9,10008
