,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,10001,General,1,2,2.0,2,0,0.0,1,1,1.0,,,
1,10002,General,1,2,2.0,0,1,0.0,1,1,1.0,,,
2,10003,General,1,2,2.0,2,0,0.0,1,1,1.0,,,
3,10004,General,1,2,2.0,2,0,0.0,1,1,1.0,,,
4,10005,General,0,1,1.0,1,0,0.0,2,2,2.0,,,
5,10006,General,0,1,1.0,1,2,2.0,2,2,2.0,,,
6,10007,General,0,1,1.0,2,0,0.0,2,2,2.0,,,
7,10008,General,0,1,1.0,0,0,0.0,2,2,2.0,,,
8,10009,General,0,0,0.0,1,2,2.0,0,0,0.0,,,
9,10010,General,2,0,0.0,0,1,1.0,0,0,0.0,,,
10,10011,General,2,0,0.0,1,2,2.0,0,0,0.0,,,
11,10012,General,2,0,0.0,0,1,1.0,0,0,0.0,,,
12,10013,General,2,0,0.0,1,0,2.0,0,0,0.0,,,
0,10001,OBC,2,2,2.0,0,1,0.0,2,1,1.0,,,
1,10002,OBC,2,2,2.0,1,0,1.0,2,1,1.0,,,
2,10003,OBC,2,2,2.0,0,0,0.0,2,1,1.0,,,
3,10004,OBC,1,2,1.0,0,1,0.0,2,1,1.0,,,
4,10005,OBC,1,1,1.0,0,1,0.0,0,2,2.0,,,
5,10006,OBC,1,1,1.0,0,1,0.0,0,0,0.0,,,
6,10007,OBC,1,1,1.0,0,1,0.0,0,2,2.0,,,
7,10008,OBC,0,0,0.0,2,0,2.0,0,0,0.0,,,
8,10009,OBC,0,0,0.0,0,1,0.0,0,0,0.0,,,
9,10010,OBC,0,0,0.0,2,0,2.0,1,0,0.0,,,
10,10011,OBC,0,0,0.0,1,2,1.0,1,0,0.0,,,
11,10012,OBC,0,0,0.0,2,0,2.0,1,0,0.0,,,
12,10013,OBC,0,0,0.0,2,0,2.0,1,0,0.0,,,
0,10001,Overall,1,2,,0,0,,0,0,,2.0,0.0,0.0
1,10002,Overall,1,2,,0,2,,0,0,,2.0,0.0,0.0
2,10003,Overall,1,2,,0,0,,0,0,,2.0,0.0,0.0
3,10004,Overall,1,2,,0,0,,0,0,,1.0,0.0,0.0
4,10005,Overall,0,1,,1,0,,0,0,,1.0,2.0,0.0
5,10006,Overall,0,1,,1,0,,0,0,,1.0,2.0,0.0
6,10007,Overall,0,1,,1,0,,2,1,,1.0,2.0,1.0
7,10008,Overall,0,1,,2,1,,2,1,,0.0,1.0,1.0
8,10009,Overall,0,0,,1,0,,2,1,,0.0,2.0,1.0
9,10010,Overall,2,0,,2,1,,1,2,,0.0,1.0,2.0
10,10011,Overall,2,0,,2,1,,1,2,,0.0,1.0,2.0
11,10012,Overall,2,0,,2,1,,1,2,,0.0,1.0,2.0
12,10013,Overall,2,0,,1,1,,1,2,,0.0,1.0,2.0
0,10001,SC,2,2,2.0,1,1,0.0,2,1,1.0,,,
1,10002,SC,2,2,2.0,1,0,0.0,2,1,1.0,,,
2,10003,SC,2,2,2.0,1,0,0.0,2,1,1.0,,,
3,10004,SC,1,2,2.0,1,1,0.0,2,1,1.0,,,
4,10005,SC,1,1,1.0,1,1,0.0,0,1,0.0,,,
5,10006,SC,1,1,1.0,2,1,0.0,0,0,0.0,,,
6,10007,SC,1,1,1.0,2,1,1.0,0,0,0.0,,,
7,10008,SC,0,1,1.0,2,0,1.0,0,0,0.0,,,
8,10009,SC,0,0,0.0,2,1,0.0,0,0,0.0,,,
9,10010,SC,0,0,0.0,0,0,1.0,1,0,0.0,,,
10,10011,SC,0,0,0.0,0,2,1.0,1,2,2.0,,,
11,10012,SC,0,0,0.0,0,2,2.0,1,2,2.0,,,
12,10013,SC,0,0,0.0,2,0,1.0,1,2,2.0,,,
0,10001,ST,0,1,0.0,1,2,1.0,0,0,0.0,,,
1,10002,ST,0,1,0.0,0,0,0.0,0,0,0.0,,,
2,10003,ST,0,1,0.0,0,2,1.0,0,0,0.0,,,
3,10004,ST,0,1,0.0,0,2,1.0,0,0,0.0,,,
4,10005,ST,0,0,0.0,1,1,2.0,0,0,0.0,,,
5,10006,ST,0,0,0.0,1,1,2.0,0,0,0.0,,,
6,10007,ST,0,0,0.0,2,2,0.0,0,0,0.0,,,
7,10008,ST,2,0,2.0,1,1,2.0,2,1,1.0,,,
8,10009,ST,2,0,2.0,1,2,1.0,2,1,1.0,,,
9,10010,ST,1,2,1.0,0,2,1.0,1,2,2.0,,,
10,10011,ST,1,2,1.0,0,0,0.0,1,2,2.0,,,
11,10012,ST,1,2,1.0,2,0,0.0,1,2,2.0,,,
12,10013,ST,1,2,1.0,0,0,0.0,1,2,2.0,,,
