Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
BAJALI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201,26.5758046,91.27934672729106
BAJALI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201,26.5758046,91.27934672729106
BAJALI,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201,26.5758046,91.27934672729106
BAJALI,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201,26.5758046,91.27934672729106
BAJALI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201,26.5758046,91.27934672729106
BAKSA,General,46.55,47.98,47.27,51.88,52.2,52.03,60.03,57.89,59.05,10202,26.6275689,91.33885514581193
BAKSA,OBC,52.1,52.75,52.42,45.1,47.32,46.17,61.25,58.05,59.75,10202,26.6275689,91.33885514581193
BAKSA,SC,68.83,68.27,68.56,66.55,66.6,66.58,72.86,68.74,70.95,10202,26.6275689,91.33885514581193
BAKSA,ST,42.36,41.03,41.7,38.9,36.99,37.97,45.23,45.19,45.21,10202,26.6275689,91.33885514581193
BAKSA,Overall,49.15,49.1,49.13,47.28,47.22,47.25,55.81,53.6,54.75,10202,26.6275689,91.33885514581193
BARPETA,General,13.96,16.67,15.33,20.82,25.62,23.08,33.64,30.79,32.37,10203,26.34633,91.07486
BARPETA,OBC,40.09,40.54,40.32,44.96,44.43,44.7,38.49,40.1,39.31,10203,26.34633,91.07486
BARPETA,SC,23.39,27.36,25.41,27.63,32.0,29.77,46.6,50.92,48.68,10203,26.34633,91.07486
BARPETA,ST,42.77,43.05,42.91,40.95,41.6,41.27,31.29,31.44,31.37,10203,26.34633,91.07486
BARPETA,Overall,15.84,18.46,17.17,22.59,27.16,24.75,34.66,32.82,33.83,10203,26.34633,91.07486
BISWANATH,General,0.0,0.0,0.0,1.57,4.07,2.77,12.56,12.8,12.67,10204,26.77559,93.25349
BISWANATH,OBC,6.81,9.77,8.32,6.39,11.47,8.94,33.27,33.21,33.24,10204,26.77559,93.25349
BISWANATH,SC,4.45,6.95,5.73,7.6,6.55,7.1,25.79,25.97,25.88,10204,26.77559,93.25349
BISWANATH,ST,6.34,6.72,6.53,7.02,7.08,7.05,21.74,25.17,23.41,10204,26.77559,93.25349
BISWANATH,Overall,4.54,6.68,5.62,5.53,8.48,6.99,25.71,26.54,26.09,10204,26.77559,93.25349
BONGAIGAON,General,1.5,2.12,1.82,7.17,13.34,10.07,35.24,29.54,32.68,10205,26.47703,90.55815
BONGAIGAON,OBC,5.15,3.94,4.53,3.28,0.26,1.78,25.61,25.74,25.67,10205,26.47703,90.55815
BONGAIGAON,SC,9.54,11.29,10.42,10.79,7.46,9.15,36.31,34.93,35.63,10205,26.47703,90.55815
BONGAIGAON,ST,10.54,11.67,11.13,6.2,2.53,4.36,22.12,16.59,19.38,10205,26.47703,90.55815
BONGAIGAON,Overall,3.05,3.52,3.29,6.9,10.25,8.49,32.82,28.82,30.93,10205,26.47703,90.55815
CACHAR,General,0.82,2.76,1.81,3.77,5.79,4.78,16.81,16.6,16.7,10206,26.4073841,93.2551303
CACHAR,OBC,3.2,5.02,4.12,2.26,5.22,3.73,26.77,28.41,27.55,10206,26.4073841,93.2551303
CACHAR,SC,3.0,1.78,2.39,6.55,7.88,7.2,27.78,23.8,25.92,10206,26.4073841,93.2551303
CACHAR,ST,9.49,10.92,10.23,17.89,20.44,19.23,7.1,3.9,5.47,10206,26.4073841,93.2551303
CACHAR,Overall,2.28,3.54,2.92,4.44,6.64,5.53,21.59,20.85,21.24,10206,26.4073841,93.2551303
CHARAIDEO,General,0.0,0.0,0.0,0.39,0.6,0.5,0.0,0.0,0.0,10207,26.941316,94.876048
CHARAIDEO,OBC,4.48,5.26,4.88,5.29,6.97,6.12,12.36,21.58,16.74,10207,26.941316,94.876048
CHARAIDEO,SC,0.0,0.55,0.0,6.18,6.53,6.36,5.7,30.59,18.94,10207,26.941316,94.876048
CHARAIDEO,ST,2.07,0.0,0.0,13.18,18.44,15.87,18.3,18.66,18.47,10207,26.941316,94.876048
CHARAIDEO,Overall,3.75,4.26,4.02,5.17,6.76,5.97,9.4,18.37,13.72,10207,26.941316,94.876048
CHIRANG,General,4.35,8.7,6.59,10.03,14.53,12.13,37.73,33.47,35.82,10208,26.6464231,90.62415698729875
CHIRANG,OBC,4.63,4.23,4.43,0.0,0.0,0.0,8.44,12.53,10.47,10208,26.6464231,90.62415698729875
CHIRANG,SC,2.48,0.62,1.53,0.0,0.0,0.0,26.26,14.83,21.11,10208,26.6464231,90.62415698729875
CHIRANG,ST,1.31,0.69,0.99,0.0,0.0,0.0,9.35,6.71,8.06,10208,26.6464231,90.62415698729875
CHIRANG,Overall,3.21,4.28,3.76,1.84,3.97,2.87,19.22,15.88,17.63,10208,26.6464231,90.62415698729875
DARRANG,General,6.38,10.9,8.66,10.42,13.95,11.99,25.3,20.54,23.23,10209,26.4073841,93.2551303
DARRANG,OBC,5.27,4.2,4.75,7.55,5.5,6.56,15.11,13.73,14.44,10209,26.4073841,93.2551303
DARRANG,SC,3.7,3.05,3.37,0.0,2.54,0.48,5.6,12.72,8.8,10209,26.4073841,93.2551303
DARRANG,ST,7.39,0.0,3.71,0.0,5.0,0.82,0.0,18.75,6.98,10209,26.4073841,93.2551303
