,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10301,General,3,2,1,2,4,0,0,0,0,ARARIA
1,10301,OBC,3,4,0,2,2,0,2,2,2,ARARIA
2,10301,Overall,3,2,0,3,0,4,3,2,2,ARARIA
3,10301,SC,2,0,2,1,0,0,1,0,3,ARARIA
4,10301,ST,3,2,2,0,1,1,2,4,2,ARARIA
5,10302,General,3,2,1,4,0,0,0,0,0,ARWAL
6,10302,OBC,3,4,0,0,2,0,2,2,2,ARWAL
7,10302,Overall,3,2,0,0,0,0,3,2,2,ARWAL
8,10302,SC,2,0,2,1,0,2,1,0,3,ARWAL
9,10302,ST,3,2,2,4,0,4,2,2,1,ARWAL
10,10303,General,3,2,1,4,0,0,0,0,0,AURANGABAD (BIHAR)
11,10303,OBC,3,4,0,2,2,0,2,2,2,AURANGABAD (BIHAR)
12,10303,Overall,3,2,0,3,0,4,3,2,2,AURANGABAD (BIHAR)
13,10303,SC,2,0,2,1,0,0,1,0,3,AURANGABAD (BIHAR)
14,10303,ST,3,2,2,0,1,1,3,4,2,AURANGABAD (BIHAR)
15,10304,General,3,2,1,4,4,0,0,0,0,BANKA
16,10304,OBC,3,4,0,2,2,0,2,2,2,BANKA
17,10304,Overall,3,2,0,3,0,4,3,2,2,BANKA
18,10304,SC,2,0,2,1,0,0,1,0,3,BANKA
19,10304,ST,3,2,2,0,2,1,3,2,2,BANKA
20,10305,General,3,2,1,2,4,0,0,0,0,BEGUSARAI
21,10305,OBC,3,4,0,2,2,0,2,2,2,BEGUSARAI
22,10305,Overall,3,2,0,3,0,4,3,2,2,BEGUSARAI
23,10305,SC,2,0,2,1,0,0,1,0,3,BEGUSARAI
24,10305,ST,3,2,2,0,2,1,3,4,2,BEGUSARAI
25,10306,General,3,2,1,2,4,0,0,0,0,BHAGALPUR
26,10306,OBC,3,4,0,2,2,0,2,2,2,BHAGALPUR
27,10306,Overall,3,2,0,3,0,4,3,2,2,BHAGALPUR
28,10306,SC,2,0,2,1,0,0,1,0,3,BHAGALPUR
29,10306,ST,3,2,2,0,2,0,3,4,2,BHAGALPUR
30,10307,General,3,2,1,2,3,0,0,0,0,BHOJPUR
31,10307,OBC,1,1,0,2,2,0,2,2,2,BHOJPUR
32,10307,Overall,1,2,0,3,0,4,1,2,2,BHOJPUR
33,10307,SC,2,0,2,1,0,0,1,0,1,BHOJPUR
34,10307,ST,3,2,2,4,2,0,3,4,2,BHOJPUR
35,10308,General,3,2,1,2,4,0,0,0,0,BUXAR
36,10308,OBC,1,1,0,2,2,0,2,2,2,BUXAR
37,10308,Overall,1,4,0,3,0,4,1,2,2,BUXAR
38,10308,SC,2,0,2,4,0,0,1,0,1,BUXAR
39,10308,ST,3,2,2,4,2,0,3,4,2,BUXAR
40,10309,General,3,2,1,2,0,0,0,0,0,DARBHANGA
41,10309,OBC,1,1,0,2,0,2,2,2,2,DARBHANGA
42,10309,Overall,1,4,0,3,0,4,1,2,2,DARBHANGA
43,10309,SC,2,0,2,4,0,0,1,0,1,DARBHANGA
44,10309,ST,2,1,1,0,1,1,1,3,3,DARBHANGA
45,10310,General,0,2,1,4,0,0,0,0,0,GAYA
46,10310,OBC,1,1,0,0,4,4,4,2,1,GAYA
47,10310,Overall,1,4,0,0,0,0,1,2,1,GAYA
48,10310,SC,2,0,2,1,2,2,1,0,1,GAYA
49,10310,ST,2,1,1,0,1,1,2,2,2,GAYA
50,10311,General,0,0,3,4,3,0,0,0,0,GOPALGANJ
51,10311,OBC,1,1,3,0,4,4,4,0,1,GOPALGANJ
52,10311,Overall,1,4,0,0,0,0,1,4,1,GOPALGANJ
53,10311,SC,4,4,0,1,0,2,0,2,1,GOPALGANJ
54,10311,ST,2,1,1,0,1,1,3,4,2,GOPALGANJ
55,10312,General,0,4,4,4,0,3,0,0,0,JAMUI
56,10312,OBC,1,1,3,0,4,4,1,0,1,JAMUI
57,10312,Overall,1,3,3,0,0,0,1,3,4,JAMUI
58,10312,SC,0,2,0,1,2,2,0,2,1,JAMUI
59,10312,ST,0,4,4,0,2,0,2,4,2,JAMUI
60,10313,General,0,4,4,2,3,4,0,0,0,JEHANABAD
61,10313,OBC,1,2,3,0,4,4,4,0,1,JEHANABAD
62,10313,Overall,1,3,3,2,0,0,1,4,1,JEHANABAD
63,10313,SC,0,2,0,4,0,0,1,0,1,JEHANABAD
64,10313,ST,0,4,4,1,2,4,1,2,1,JEHANABAD
65,10314,General,0,4,4,4,0,3,0,0,0,KAIMUR (BHABUA)
66,10314,OBC,1,2,3,0,0,4,4,0,1,KAIMUR (BHABUA)
67,10314,Overall,1,3,3,0,0,0,1,4,1,KAIMUR (BHABUA)
68,10314,SC,0,2,0,0,0,2,0,2,1,KAIMUR (BHABUA)
69,10314,ST,0,4,4,0,1,1,3,4,2,KAIMUR (BHABUA)
70,10315,General,0,4,4,2,3,4,2,3,2,KATIHAR
71,10315,OBC,4,2,3,1,0,2,1,0,1,KATIHAR
72,10315,Overall,4,3,3,2,3,1,4,3,4,KATIHAR
73,10315,SC,0,2,0,0,2,2,0,2,1,KATIHAR
74,10315,ST,0,4,4,3,2,0,2,2,2,KATIHAR
75,10316,General,0,4,4,2,0,0,0,0,0,KHAGARIA
76,10316,OBC,4,2,3,0,4,4,4,0,1,KHAGARIA
77,10316,Overall,4,3,3,2,0,0,1,4,1,KHAGARIA
78,10316,SC,0,2,0,0,2,2,0,2,1,KHAGARIA
79,10316,ST,0,4,4,0,1,1,3,0,2,KHAGARIA
80,10317,General,0,4,4,0,1,2,2,3,2,KISHANGANJ
81,10317,OBC,4,2,3,0,4,4,4,0,1,KISHANGANJ
82,10317,Overall,4,3,3,2,3,1,4,3,4,KISHANGANJ
83,10317,SC,0,2,0,0,2,2,4,2,0,KISHANGANJ
84,10317,ST,0,4,4,3,2,0,2,2,1,KISHANGANJ
85,10318,General,0,4,4,1,0,3,4,1,4,LAKHISARAI
86,10318,OBC,4,2,3,0,4,4,4,0,1,LAKHISARAI
87,10318,Overall,4,3,1,0,2,3,1,4,1,LAKHISARAI
88,10318,SC,0,2,3,0,2,2,0,2,0,LAKHISARAI
89,10318,ST,0,4,4,3,1,1,2,0,2,LAKHISARAI
90,10319,General,0,0,3,3,1,2,2,3,2,MADHEPURA
91,10319,OBC,4,2,1,1,0,2,1,0,3,MADHEPURA
92,10319,Overall,4,3,1,2,3,1,4,3,4,MADHEPURA
93,10319,SC,0,2,3,3,3,3,4,2,0,MADHEPURA
94,10319,ST,2,1,1,1,0,4,1,1,1,MADHEPURA
95,10320,General,4,4,0,0,3,4,4,1,4,MADHUBANI
96,10320,OBC,2,2,1,1,0,2,1,0,3,MADHUBANI
97,10320,Overall,0,1,1,2,1,1,4,3,4,MADHUBANI
98,10320,SC,0,2,3,3,3,3,0,2,0,MADHUBANI
99,10320,ST,0,3,0,0,0,0,0,0,0,MADHUBANI
100,10321,General,4,4,0,1,0,3,4,1,4,MUNGER
101,10321,OBC,2,3,1,1,1,1,1,0,3,MUNGER
102,10321,Overall,0,1,1,2,2,3,2,1,3,MUNGER
103,10321,SC,0,3,3,0,2,2,0,4,0,MUNGER
104,10321,ST,0,3,0,0,1,1,0,0,0,MUNGER
105,10322,General,4,0,0,1,2,1,4,1,4,MUZAFFARPUR
106,10322,OBC,2,3,1,1,0,2,1,4,3,MUZAFFARPUR
107,10322,Overall,0,1,1,2,1,1,2,1,3,MUZAFFARPUR
108,10322,SC,3,3,3,3,3,3,0,4,0,MUZAFFARPUR
109,10322,ST,0,3,0,3,3,0,0,0,0,MUZAFFARPUR
110,10323,General,4,4,0,1,0,3,4,1,4,NALANDA
111,10323,OBC,2,3,1,1,1,1,0,0,0,NALANDA
112,10323,Overall,0,1,1,2,1,1,2,1,3,NALANDA
113,10323,SC,3,3,3,3,3,3,0,4,0,NALANDA
114,10323,ST,0,3,0,0,0,0,0,0,0,NALANDA
115,10324,General,4,0,0,1,0,3,4,1,4,NAWADA
116,10324,OBC,2,3,1,3,1,1,1,4,3,NAWADA
117,10324,Overall,0,1,1,0,2,3,2,1,3,NAWADA
118,10324,SC,3,3,3,0,2,4,3,3,4,NAWADA
119,10324,ST,0,3,0,1,3,0,0,0,0,NAWADA
120,10325,General,4,0,0,1,2,1,4,1,4,PASHCHIM CHAMPARAN
121,10325,OBC,2,3,1,1,0,3,0,4,3,PASHCHIM CHAMPARAN
122,10325,Overall,0,1,1,2,1,1,2,1,3,PASHCHIM CHAMPARAN
123,10325,SC,3,3,1,3,3,3,3,3,4,PASHCHIM CHAMPARAN
124,10325,ST,4,3,0,3,3,0,0,0,0,PASHCHIM CHAMPARAN
125,10326,General,4,1,0,0,3,4,4,1,4,PATNA
126,10326,OBC,2,3,1,3,1,1,0,1,0,PATNA
127,10326,Overall,0,1,4,2,1,1,2,1,3,PATNA
128,10326,SC,3,3,1,3,3,3,3,3,4,PATNA
129,10326,ST,4,3,0,3,3,0,0,0,0,PATNA
130,10327,General,4,1,0,0,2,1,4,2,1,PURBA CHAMPARAN
131,10327,OBC,0,0,4,1,0,3,0,4,4,PURBA CHAMPARAN
132,10327,Overall,0,1,4,2,1,1,2,1,3,PURBA CHAMPARAN
133,10327,SC,3,3,1,3,4,3,3,3,4,PURBA CHAMPARAN
134,10327,ST,1,3,3,1,0,3,0,0,0,PURBA CHAMPARAN
135,10328,General,4,1,0,1,2,1,4,2,1,PURNIA
136,10328,OBC,0,0,4,3,0,1,0,4,4,PURNIA
137,10328,Overall,0,0,4,4,1,2,0,1,0,PURNIA
138,10328,SC,3,3,1,0,1,4,3,3,4,PURNIA
139,10328,ST,1,3,3,3,0,3,0,1,0,PURNIA
140,10329,General,4,1,0,0,2,1,1,2,1,ROHTAS
141,10329,OBC,0,0,4,3,3,1,0,1,0,ROHTAS
