,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,10501,General,0,0,0.0,2,0,2.0,1,1,1.0
1,10502,General,0,0,0.0,0,0,1.0,2,1,2.0
2,10503,General,0,0,0.0,0,0,1.0,2,1,1.0
3,10504,General,0,0,0.0,0,0,1.0,1,1,1.0
4,10505,General,0,0,0.0,0,0,1.0,2,1,2.0
5,10506,General,0,0,0.0,2,0,2.0,2,1,2.0
6,10507,General,0,0,0.0,2,0,2.0,1,1,1.0
7,10508,General,0,0,0.0,0,0,1.0,1,2,1.0
8,10509,General,0,0,0.0,2,0,2.0,1,2,1.0
9,10510,General,1,0,0.0,0,0,1.0,1,2,1.0
10,10511,General,0,1,0.0,2,0,2.0,1,2,1.0
11,10512,General,0,1,0.0,0,2,1.0,0,2,0.0
12,10513,General,1,1,1.0,0,0,0.0,0,1,2.0
13,10514,General,1,1,1.0,0,2,1.0,0,2,0.0
14,10515,General,1,1,1.0,0,2,0.0,0,2,0.0
15,10516,General,1,1,1.0,2,2,0.0,0,0,0.0
16,10517,General,1,1,1.0,1,1,0.0,0,2,0.0
17,10518,General,1,1,1.0,0,2,0.0,0,0,0.0
18,10519,General,1,1,1.0,1,2,0.0,0,0,0.0
19,10520,General,1,2,1.0,1,1,0.0,0,0,0.0
20,10521,General,1,2,1.0,1,1,0.0,0,0,0.0
21,10522,General,1,2,1.0,1,1,0.0,0,0,0.0
22,10523,General,2,2,2.0,1,1,0.0,0,0,0.0
23,10524,General,2,2,2.0,1,1,0.0,0,0,0.0
24,10525,General,2,2,2.0,1,1,0.0,0,0,0.0
25,10526,General,2,2,2.0,1,1,0.0,0,0,0.0
26,10527,General,2,2,2.0,1,1,0.0,0,0,0.0
27,10528,General,2,2,2.0,1,1,0.0,0,0,0.0
0,10501,OBC,0,1,0.0,0,1,0.0,0,2,0.0
1,10502,OBC,0,1,0.0,0,1,0.0,0,2,0.0
2,10503,OBC,0,1,0.0,0,1,0.0,0,2,0.0
3,10504,OBC,0,1,0.0,0,1,0.0,0,2,0.0
4,10505,OBC,0,1,0.0,0,1,0.0,0,2,0.0
5,10506,OBC,0,1,0.0,0,1,0.0,0,2,0.0
6,10507,OBC,0,2,0.0,0,1,0.0,0,2,0.0
7,10508,OBC,0,2,0.0,0,1,0.0,0,1,0.0
8,10509,OBC,0,2,0.0,0,0,0.0,0,1,0.0
9,10510,OBC,0,2,0.0,0,0,0.0,0,1,0.0
10,10511,OBC,0,2,0.0,0,0,0.0,0,1,0.0
11,10512,OBC,0,2,0.0,0,0,0.0,0,1,0.0
12,10513,OBC,0,2,0.0,0,0,0.0,0,1,0.0
13,10514,OBC,1,2,1.0,1,0,2.0,2,1,0.0
14,10515,OBC,1,0,1.0,1,0,0.0,2,1,2.0
15,10516,OBC,1,0,1.0,1,0,2.0,2,1,2.0
16,10517,OBC,1,0,1.0,1,0,2.0,2,0,2.0
17,10518,OBC,1,0,1.0,1,0,2.0,2,0,2.0
18,10519,OBC,1,0,1.0,1,0,2.0,2,0,2.0
19,10520,OBC,1,0,1.0,1,0,2.0,2,0,2.0
20,10521,OBC,1,0,1.0,1,0,2.0,2,0,1.0
21,10522,OBC,1,0,1.0,2,2,1.0,1,0,1.0
22,10523,OBC,2,0,1.0,1,2,1.0,1,0,1.0
23,10524,OBC,2,0,2.0,1,2,1.0,1,0,1.0
24,10525,OBC,2,0,2.0,2,2,1.0,1,0,1.0
25,10526,OBC,2,0,2.0,2,2,1.0,1,0,1.0
26,10527,OBC,2,0,2.0,2,2,1.0,1,0,1.0
27,10528,OBC,2,0,2.0,2,2,1.0,1,0,1.0
0,10501,Overall,2,1,,0,0,,1,1,
1,10502,Overall,2,1,,0,0,,1,1,
2,10503,Overall,2,1,,0,0,,1,1,
3,10504,Overall,2,1,,0,0,,1,1,
4,10505,Overall,2,1,,0,0,,1,1,
5,10506,Overall,1,1,,0,0,,1,1,
6,10507,Overall,1,1,,0,0,,1,1,
7,10508,Overall,1,1,,0,0,,1,1,
8,10509,Overall,1,0,,0,0,,1,1,
9,10510,Overall,1,0,,0,0,,1,1,
10,10511,Overall,1,0,,0,1,,2,2,
11,10512,Overall,1,0,,1,1,,2,2,
12,10513,Overall,1,0,,1,1,,2,2,
13,10514,Overall,1,0,,1,1,,2,2,
14,10515,Overall,1,0,,1,1,,2,2,
15,10516,Overall,0,0,,1,1,,2,2,
16,10517,Overall,0,0,,1,1,,2,2,
17,10518,Overall,0,0,,1,1,,0,2,
18,10519,Overall,0,0,,1,1,,0,0,
19,10520,Overall,0,0,,1,1,,0,0,
20,10521,Overall,0,0,,1,1,,0,0,
21,10522,Overall,0,2,,2,2,,0,0,
22,10523,Overall,0,2,,1,2,,0,0,
23,10524,Overall,0,2,,2,2,,0,0,
24,10525,Overall,0,2,,2,2,,0,0,
25,10526,Overall,0,2,,2,2,,0,0,
26,10527,Overall,0,2,,2,2,,0,0,
27,10528,Overall,0,2,,2,2,,0,0,
0,10501,SC,0,0,0.0,0,1,1.0,1,0,1.0
1,10502,SC,0,0,0.0,0,1,1.0,1,0,1.0
2,10503,SC,0,0,0.0,0,1,1.0,1,0,1.0
