,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,10701,General,2,2,2.0,1,1,2.0,0,1,0.0
1,10702,General,2,2,2.0,1,1,2.0,0,1,0.0
2,10703,General,2,2,2.0,1,1,2.0,0,1,0.0
3,10704,General,2,2,2.0,2,1,2.0,0,1,0.0
4,10705,General,1,1,1.0,2,2,1.0,0,1,0.0
5,10706,General,1,1,1.0,2,2,1.0,1,0,1.0
6,10707,General,1,1,1.0,0,2,1.0,1,0,1.0
7,10708,General,1,1,1.0,0,2,1.0,1,0,1.0
8,10709,General,0,0,0.0,0,0,0.0,1,0,1.0
9,10710,General,0,0,0.0,0,0,0.0,2,0,2.0
10,10711,General,0,0,0.0,0,0,0.0,2,2,2.0
11,10712,General,0,0,0.0,0,0,0.0,2,2,2.0
12,10713,General,0,0,0.0,0,0,0.0,2,2,2.0
0,10701,OBC,2,0,2.0,2,2,2.0,2,2,2.0
1,10702,OBC,2,0,2.0,2,2,2.0,2,2,2.0
2,10703,OBC,2,0,2.0,2,2,2.0,2,2,2.0
3,10704,OBC,2,0,2.0,2,1,2.0,2,2,2.0
4,10705,OBC,1,0,1.0,1,1,1.0,1,1,1.0
5,10706,OBC,1,0,1.0,1,1,1.0,1,1,1.0
6,10707,OBC,1,0,1.0,1,1,1.0,1,1,1.0
7,10708,OBC,1,0,1.0,1,0,1.0,1,1,1.0
8,10709,OBC,0,2,0.0,0,0,0.0,0,0,0.0
9,10710,OBC,0,1,0.0,0,0,0.0,0,0,0.0
10,10711,OBC,0,1,0.0,0,0,0.0,0,0,0.0
11,10712,OBC,0,1,0.0,0,0,0.0,0,0,0.0
12,10713,OBC,0,1,0.0,0,0,0.0,0,0,0.0
0,10701,Overall,2,2,,2,1,,2,2,
1,10702,Overall,2,2,,2,1,,2,2,
2,10703,Overall,2,2,,2,1,,2,2,
3,10704,Overall,2,2,,1,1,,0,0,
4,10705,Overall,1,1,,1,2,,0,0,
5,10706,Overall,1,1,,1,2,,0,0,
6,10707,Overall,1,1,,1,2,,0,0,
7,10708,Overall,1,1,,1,2,,0,0,
8,10709,Overall,0,0,,0,0,,0,0,
9,10710,Overall,0,0,,0,0,,1,1,
10,10711,Overall,0,0,,0,0,,1,1,
11,10712,Overall,0,0,,0,0,,1,1,
12,10713,Overall,0,0,,0,0,,1,1,
0,10701,SC,2,2,2.0,2,0,0.0,0,0,2.0
1,10702,SC,2,2,2.0,1,0,0.0,0,0,2.0
2,10703,SC,2,2,2.0,1,0,0.0,0,0,2.0
3,10704,SC,2,2,2.0,2,0,0.0,2,0,1.0
4,10705,SC,1,1,1.0,2,2,0.0,2,0,1.0
5,10706,SC,1,1,1.0,1,2,2.0,2,0,1.0
6,10707,SC,1,1,1.0,1,2,2.0,2,1,1.0
7,10708,SC,1,1,1.0,0,2,2.0,1,1,0.0
8,10709,SC,0,0,0.0,0,1,1.0,1,1,0.0
9,10710,SC,0,0,0.0,0,1,1.0,1,1,0.0
10,10711,SC,0,0,0.0,0,1,1.0,1,2,0.0
11,10712,SC,0,0,0.0,0,1,1.0,1,2,0.0
12,10713,SC,0,0,0.0,0,1,1.0,1,2,0.0
0,10701,ST,0,1,1.0,1,2,1.0,0,0,2.0
1,10702,ST,2,0,0.0,2,2,1.0,0,0,2.0
2,10703,ST,2,0,0.0,0,1,0.0,0,0,2.0
3,10704,ST,2,0,0.0,2,1,2.0,2,0,1.0
4,10705,ST,2,0,0.0,1,0,1.0,2,0,1.0
5,10706,ST,2,0,0.0,0,0,0.0,2,0,1.0
6,10707,ST,0,0,0.0,0,0,0.0,2,1,1.0
7,10708,ST,1,0,0.0,0,0,0.0,2,2,0.0
8,10709,ST,1,0,0.0,0,0,0.0,1,2,0.0
9,10710,ST,1,2,2.0,0,0,0.0,1,2,0.0
10,10711,ST,1,2,2.0,0,0,0.0,1,2,0.0
11,10712,ST,1,2,2.0,0,0,0.0,1,1,0.0
12,10713,ST,1,2,2.0,0,0,0.0,1,2,0.0
