Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
NORTH GOA,General,0.23,0.0,0.0,0.0,0.0,0.0,9.79,15.36,12.83,10801,15.3004543,74.0855134
NORTH GOA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10801,15.3004543,74.0855134
NORTH GOA,SC,0.0,0.0,0.0,1.15,3.3,2.24,0.0,6.2,0.0,10801,15.3004543,74.0855134
NORTH GOA,ST,0.0,0.0,0.0,0.0,1.04,0.0,5.22,7.69,6.53,10801,15.3004543,74.0855134
NORTH GOA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.69,11.74,8.95,10801,15.3004543,74.0855134
SOUTH GOA,General,1.63,1.5,1.57,0.08,0.0,0.0,8.93,14.84,12.07,10802,15.3004543,74.0855134
SOUTH GOA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,1.93,10802,15.3004543,74.0855134
SOUTH GOA,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,10802,15.3004543,74.0855134
SOUTH GOA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,1.43,10802,15.3004543,74.0855134
SOUTH GOA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.26,12.31,8.99,10802,15.3004543,74.0855134
