,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,10901,General,0,0,2.0,0,4,1.0,0,2,2.0
1,10902,General,0,0,2.0,0,4,1.0,0,2,2.0
2,10903,General,0,0,2.0,1,0,1.0,0,2,2.0
3,10904,General,0,0,2.0,1,4,1.0,0,2,2.0
4,10905,General,0,0,2.0,0,0,1.0,0,2,2.0
5,10906,General,0,0,2.0,1,0,0.0,0,2,2.0
6,10907,General,0,0,2.0,0,0,1.0,0,2,2.0
7,10908,General,0,0,2.0,0,4,1.0,0,2,2.0
8,10909,General,0,0,0.0,0,0,0.0,0,4,1.0
9,10910,General,0,0,0.0,1,0,0.0,0,0,1.0
10,10911,General,0,0,0.0,1,0,0.0,3,0,1.0
11,10912,General,3,3,3.0,0,2,3.0,3,4,1.0
12,10913,General,2,4,0.0,0,0,0.0,3,0,1.0
13,10914,General,2,4,0.0,0,2,3.0,2,0,4.0
14,10915,General,2,4,0.0,0,2,3.0,2,0,4.0
15,10916,General,2,4,0.0,3,1,0.0,3,0,4.0
16,10917,General,2,4,0.0,3,1,0.0,2,0,4.0
17,10918,General,2,4,0.0,3,2,0.0,2,3,4.0
18,10919,General,2,1,4.0,3,1,0.0,2,3,0.0
19,10920,General,2,1,4.0,2,2,3.0,2,3,0.0
20,10921,General,1,1,4.0,3,1,0.0,2,0,0.0
21,10922,General,1,1,4.0,3,2,2.0,2,3,0.0
22,10923,General,1,1,4.0,3,1,2.0,2,3,0.0
23,10924,General,1,1,1.0,3,1,2.0,1,1,0.0
24,10925,General,1,1,1.0,3,3,2.0,1,1,0.0
25,10926,General,1,1,1.0,2,3,4.0,1,1,0.0
26,10927,General,1,1,1.0,4,3,2.0,1,1,0.0
27,10928,General,1,2,1.0,4,3,2.0,1,1,0.0
28,10929,General,4,2,1.0,4,3,2.0,4,1,3.0
29,10930,General,4,2,1.0,4,1,2.0,4,1,3.0
30,10931,General,4,2,1.0,2,3,4.0,4,1,3.0
31,10932,General,4,2,1.0,4,3,2.0,4,1,3.0
32,10933,General,4,2,1.0,4,3,2.0,4,1,3.0
0,10901,OBC,1,2,2.0,0,2,2.0,2,0,2.0
1,10902,OBC,1,2,2.0,0,4,2.0,2,0,2.0
2,10903,OBC,1,2,2.0,0,4,2.0,2,0,2.0
3,10904,OBC,1,2,2.0,0,2,2.0,2,0,2.0
4,10905,OBC,1,2,2.0,0,2,2.0,2,0,1.0
5,10906,OBC,1,2,2.0,2,2,2.0,2,0,2.0
6,10907,OBC,1,2,2.0,0,2,2.0,2,0,2.0
7,10908,OBC,1,2,2.0,0,4,2.0,2,0,2.0
8,10909,OBC,0,1,1.0,2,2,2.0,4,0,1.0
9,10910,OBC,0,1,1.0,2,4,2.0,1,0,1.0
10,10911,OBC,0,1,1.0,2,4,3.0,1,0,1.0
11,10912,OBC,0,1,1.0,0,2,4.0,1,0,1.0
12,10913,OBC,0,1,1.0,0,2,4.0,1,2,1.0
13,10914,OBC,0,1,1.0,2,0,3.0,4,4,4.0
14,10915,OBC,2,4,4.0,0,2,4.0,3,2,3.0
15,10916,OBC,2,4,4.0,2,0,3.0,1,4,4.0
16,10917,OBC,2,4,4.0,2,0,3.0,3,2,3.0
17,10918,OBC,2,4,4.0,2,0,3.0,3,2,3.0
18,10919,OBC,2,4,4.0,1,0,4.0,3,2,3.0
19,10920,OBC,2,0,0.0,2,0,3.0,1,4,4.0
20,10921,OBC,2,0,0.0,1,0,4.0,3,1,3.0
21,10922,OBC,2,0,0.0,1,1,1.0,3,1,3.0
22,10923,OBC,3,0,0.0,4,0,0.0,0,1,0.0
23,10924,OBC,3,0,0.0,4,0,0.0,0,1,0.0
24,10925,OBC,3,0,0.0,4,3,0.0,0,1,0.0
25,10926,OBC,3,0,0.0,4,3,0.0,0,1,0.0
26,10927,OBC,3,0,0.0,4,3,0.0,0,1,0.0
27,10928,OBC,3,0,0.0,1,3,1.0,0,1,0.0
28,10929,OBC,3,0,0.0,4,3,0.0,0,3,0.0
29,10930,OBC,4,3,3.0,4,1,1.0,0,1,0.0
30,10931,OBC,4,3,3.0,3,3,0.0,0,3,0.0
31,10932,OBC,4,3,3.0,3,0,0.0,0,3,0.0
32,10933,OBC,4,3,3.0,1,1,1.0,0,1,0.0
0,10901,Overall,4,3,,4,2,,0,3,
1,10902,Overall,4,3,,4,2,,0,3,
2,10903,Overall,4,3,,4,2,,0,3,
3,10904,Overall,4,3,,4,2,,0,3,
4,10905,Overall,1,3,,4,2,,0,1,
5,10906,Overall,1,3,,0,2,,0,3,
6,10907,Overall,1,3,,2,2,,0,1,
7,10908,Overall,1,0,,2,1,,0,1,
8,10909,Overall,1,0,,2,2,,3,1,
9,10910,Overall,1,0,,0,1,,3,1,
10,10911,Overall,1,0,,0,1,,3,1,
11,10912,Overall,0,0,,2,4,,3,1,
12,10913,Overall,0,2,,2,1,,3,1,
13,10914,Overall,0,2,,0,1,,3,1,
14,10915,Overall,0,2,,2,4,,1,0,
15,10916,Overall,0,2,,0,1,,3,0,
16,10917,Overall,0,2,,0,1,,1,0,
17,10918,Overall,3,2,,0,3,,1,0,
18,10919,Overall,3,2,,3,3,,1,0,
19,10920,Overall,3,2,,3,3,,1,0,
20,10921,Overall,3,2,,3,3,,1,0,
21,10922,Overall,3,4,,3,0,,1,0,
22,10923,Overall,3,4,,3,3,,4,4,
23,10924,Overall,3,4,,3,3,,4,4,
24,10925,Overall,2,4,,3,0,,4,4,
25,10926,Overall,2,1,,1,0,,4,4,
26,10927,Overall,2,1,,1,0,,4,4,
27,10928,Overall,2,1,,1,0,,2,4,
28,10929,Overall,2,1,,1,0,,2,2,
29,10930,Overall,2,1,,1,0,,2,2,
30,10931,Overall,2,1,,1,0,,2,2,
31,10932,Overall,2,1,,1,0,,2,2,
32,10933,Overall,2,1,,1,0,,2,2,
0,10901,SC,2,2,2.0,0,0,2.0,2,3,3.0
1,10902,SC,2,2,2.0,0,2,2.0,2,3,3.0
2,10903,SC,2,2,2.0,0,0,2.0,2,3,3.0
3,10904,SC,2,2,2.0,0,0,2.0,2,3,3.0
4,10905,SC,2,2,2.0,0,2,1.0,2,3,3.0
5,10906,SC,2,2,2.0,0,0,2.0,2,3,3.0
6,10907,SC,4,4,1.0,2,4,1.0,1,0,1.0
7,10908,SC,1,1,2.0,0,2,1.0,2,3,3.0
