,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,11001,General,2,2,2.0,1,0,1.0,1,0,0.0,,,
1,11002,General,2,2,2.0,1,0,1.0,1,0,0.0,,,
2,11003,General,2,2,2.0,1,0,1.0,1,0,0.0,,,
3,11004,General,2,2,2.0,1,0,1.0,1,0,0.0,,,
4,11005,General,2,2,2.0,1,0,1.0,1,0,0.0,,,
5,11006,General,1,2,0.0,1,0,1.0,1,0,0.0,,,
6,11007,General,1,2,0.0,1,0,1.0,1,0,0.0,,,
7,11008,General,1,0,0.0,1,0,1.0,2,0,0.0,,,
8,11009,General,1,0,0.0,2,0,2.0,2,0,0.0,,,
9,11010,General,1,0,0.0,2,0,2.0,2,0,0.0,,,
10,11011,General,1,0,0.0,1,0,1.0,2,2,1.0,,,
11,11012,General,1,0,0.0,2,0,2.0,2,2,1.0,,,
12,11013,General,0,0,0.0,2,0,2.0,2,2,1.0,,,
13,11014,General,0,0,0.0,0,2,0.0,0,2,1.0,,,
14,11015,General,0,0,0.0,2,1,2.0,0,1,1.0,,,
15,11016,General,0,1,1.0,0,2,0.0,0,1,1.0,,,
16,11017,General,0,1,1.0,0,1,0.0,0,1,1.0,,,
17,11018,General,0,1,1.0,0,1,0.0,0,1,2.0,,,
18,11019,General,0,1,1.0,0,1,0.0,0,1,2.0,,,
19,11020,General,0,1,1.0,0,1,0.0,0,1,2.0,,,
20,11021,General,0,1,1.0,0,1,0.0,0,1,2.0,,,
21,11022,General,0,1,1.0,0,1,0.0,0,1,2.0,,,
0,11001,OBC,2,2,2.0,0,0,0.0,0,1,1.0,,,
1,11002,OBC,2,2,2.0,0,0,0.0,0,1,1.0,,,
2,11003,OBC,2,2,2.0,0,0,0.0,0,1,1.0,,,
3,11004,OBC,2,2,2.0,0,0,0.0,0,1,1.0,,,
4,11005,OBC,1,1,1.0,0,0,0.0,0,1,1.0,,,
5,11006,OBC,1,1,1.0,0,0,0.0,0,1,1.0,,,
6,11007,OBC,1,1,1.0,0,0,0.0,0,1,1.0,,,
7,11008,OBC,1,1,1.0,0,0,0.0,0,1,1.0,,,
8,11009,OBC,1,1,1.0,0,0,0.0,0,2,2.0,,,
9,11010,OBC,1,1,1.0,0,0,0.0,0,2,2.0,,,
10,11011,OBC,1,1,1.0,0,0,0.0,0,2,2.0,,,
11,11012,OBC,1,1,1.0,0,0,0.0,1,2,2.0,,,
12,11013,OBC,0,0,0.0,0,0,0.0,1,2,2.0,,,
13,11014,OBC,0,0,0.0,1,1,1.0,1,0,0.0,,,
14,11015,OBC,0,0,0.0,1,1,1.0,1,0,0.0,,,
15,11016,OBC,0,0,0.0,1,1,1.0,2,0,0.0,,,
16,11017,OBC,0,0,0.0,1,1,1.0,1,0,0.0,,,
17,11018,OBC,0,0,0.0,2,2,2.0,2,0,0.0,,,
18,11019,OBC,0,0,0.0,2,2,2.0,2,0,0.0,,,
19,11020,OBC,0,0,0.0,1,2,2.0,2,0,0.0,,,
20,11021,OBC,0,0,0.0,2,2,2.0,2,0,0.0,,,
21,11022,OBC,0,0,0.0,2,2,2.0,2,0,0.0,,,
0,11001,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
1,11002,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
2,11003,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
3,11004,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
4,11005,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
5,11006,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
6,11007,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
7,11008,Overall,1,1,,1,0,,1,1,,1.0,0.0,1.0
8,11009,Overall,0,0,,1,0,,0,0,,0.0,0.0,2.0
9,11010,Overall,0,0,,1,0,,0,0,,0.0,0.0,2.0
