,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,11101,General,4,0,4.0,0,0,4.0,1,1,2.0
1,11102,General,2,0,2.0,0,0,1.0,1,1,2.0
2,11103,General,2,0,2.0,0,0,4.0,1,1,2.0
3,11104,General,2,0,2.0,0,0,1.0,1,2,1.0
4,11105,General,3,3,3.0,3,4,0.0,4,3,3.0
5,11106,General,0,4,0.0,1,3,3.0,3,2,1.0
6,11107,General,0,2,0.0,4,2,0.0,2,4,4.0
7,11108,General,0,2,0.0,1,3,3.0,0,0,0.0
8,11109,General,0,2,0.0,2,1,2.0,0,0,0.0
9,11110,General,1,1,1.0,2,1,2.0,0,0,0.0
10,11111,General,1,1,1.0,2,1,2.0,0,0,0.0
11,11112,General,1,1,1.0,2,1,2.0,0,0,0.0
0,11101,OBC,2,1,0.0,4,2,0.0,2,2,0.0
1,11102,OBC,2,1,0.0,2,2,0.0,2,2,0.0
2,11103,OBC,2,1,0.0,1,2,2.0,0,2,0.0
3,11104,OBC,1,1,0.0,1,2,2.0,0,4,0.0
4,11105,OBC,1,2,1.0,1,3,2.0,0,4,4.0
5,11106,OBC,3,4,1.0,1,4,4.0,0,3,4.0
6,11107,OBC,4,3,3.0,3,0,1.0,4,1,2.0
7,11108,OBC,0,0,4.0,3,0,1.0,4,1,2.0
8,11109,OBC,0,0,4.0,0,0,1.0,3,0,3.0
9,11110,OBC,0,0,2.0,0,0,1.0,3,0,3.0
10,11111,OBC,0,0,2.0,0,1,3.0,1,0,1.0
11,11112,OBC,0,0,2.0,0,1,3.0,1,0,1.0
0,11101,Overall,0,0,,0,1,,1,0,
1,11102,Overall,0,0,,0,0,,1,0,
2,11103,Overall,0,0,,0,1,,4,0,
3,11104,Overall,0,0,,0,1,,4,0,
4,11105,Overall,3,2,,4,0,,3,3,
5,11106,Overall,4,4,,1,2,,0,3,
6,11107,Overall,4,1,,3,3,,0,2,
7,11108,Overall,1,1,,1,2,,0,4,
8,11109,Overall,1,1,,2,2,,0,4,
9,11110,Overall,2,3,,2,4,,2,1,
10,11111,Overall,2,3,,2,4,,2,1,
11,11112,Overall,2,3,,2,4,,2,1,
0,11101,SC,0,2,0.0,2,1,2.0,4,3,0.0
1,11102,SC,0,2,0.0,2,0,2.0,3,3,0.0
2,11103,SC,0,2,0.0,0,1,1.0,2,0,0.0
3,11104,SC,0,2,0.0,0,1,1.0,2,0,0.0
4,11105,SC,2,3,1.0,4,0,4.0,2,0,3.0
5,11106,SC,4,0,4.0,0,0,4.0,2,0,3.0
6,11107,SC,4,4,1.0,0,3,3.0,1,2,2.0
7,11108,SC,3,0,2.0,1,2,0.0,0,4,4.0
8,11109,SC,3,0,2.0,1,2,0.0,0,4,4.0
9,11110,SC,1,1,3.0,1,2,0.0,0,1,1.0
10,11111,SC,1,1,3.0,1,2,0.0,0,1,1.0
11,11112,SC,1,1,3.0,3,4,0.0,0,1,1.0
0,11101,ST,1,0,0.0,0,1,2.0,4,3,1.0
1,11102,ST,1,0,0.0,0,1,2.0,4,4,1.0
2,11103,ST,1,0,0.0,0,2,2.0,1,4,1.0
3,11104,ST,1,0,0.0,0,2,2.0,1,1,4.0
4,11105,ST,4,2,4.0,0,2,1.0,1,1,4.0
5,11106,ST,4,2,4.0,1,2,1.0,2,1,2.0
6,11107,ST,0,2,1.0,4,3,3.0,0,2,0.0
7,11108,ST,3,1,1.0,1,0,0.0,0,0,0.0
8,11109,ST,3,1,1.0,1,0,0.0,0,0,0.0
9,11110,ST,0,4,3.0,2,4,4.0,0,0,3.0
10,11111,ST,2,3,2.0,3,0,0.0,3,0,3.0
11,11112,ST,2,3,2.0,3,0,0.0,3,0,3.0
