Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
BILASPUR (H.P.),General,2.62,3.39,3.04,0.27,2.46,1.45,0.0,1.71,0.0,11101,31.335788,76.764911
BILASPUR (H.P.),OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11101,31.335788,76.764911
BILASPUR (H.P.),SC,0.0,0.0,0.0,0.0,0.0,0.0,1.48,3.97,2.8,11101,31.335788,76.764911
BILASPUR (H.P.),ST,0.0,0.0,0.0,5.62,0.0,0.81,0.0,0.0,0.0,11101,31.335788,76.764911
BILASPUR (H.P.),Overall,1.04,0.66,0.84,0.0,0.68,0.11,0.0,1.97,0.24,11101,31.335788,76.764911
CHAMBA,General,0.0,0.0,0.0,0.35,0.49,0.42,4.97,5.48,5.24,11102,31.8220881,76.2578167
CHAMBA,OBC,0.0,0.0,0.0,0.0,2.23,0.0,0.0,6.61,3.48,11102,31.8220881,76.2578167
CHAMBA,SC,0.0,0.0,0.0,1.42,4.69,3.08,6.03,5.82,5.92,11102,31.8220881,76.2578167
CHAMBA,ST,0.0,0.0,0.0,0.0,1.12,0.0,1.94,0.26,1.07,11102,31.8220881,76.2578167
CHAMBA,Overall,0.0,0.0,0.0,0.0,1.62,0.69,4.31,4.31,4.31,11102,31.8220881,76.2578167
HAMIRPUR (H.P.),General,2.63,1.92,2.25,0.0,0.68,0.0,0.0,0.0,0.0,11103,31.687996,76.51925223011676
HAMIRPUR (H.P.),OBC,0.0,0.32,0.0,0.33,0.0,0.0,0.0,0.0,0.0,11103,31.687996,76.51925223011676
HAMIRPUR (H.P.),SC,0.43,0.0,0.01,0.0,0.0,0.0,0.97,2.19,1.64,11103,31.687996,76.51925223011676
HAMIRPUR (H.P.),ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11103,31.687996,76.51925223011676
