,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,11201,General,1,2,1.0,4,2,0.0,1,0,2.0
1,11202,General,1,2,1.0,3,2,0.0,1,0,2.0
2,11203,General,1,2,1.0,4,3,1.0,1,0,2.0
3,11204,General,1,2,1.0,4,2,0.0,1,2,2.0
4,11205,General,1,2,1.0,3,2,0.0,3,0,0.0
5,11206,General,0,0,0.0,2,2,0.0,3,0,0.0
6,11207,General,0,0,0.0,3,2,0.0,3,2,0.0
7,11208,General,0,0,0.0,1,2,0.0,3,0,0.0
8,11209,General,0,0,0.0,2,4,1.0,3,2,0.0
9,11210,General,0,0,0.0,1,4,0.0,0,2,0.0
10,11211,General,3,0,3.0,1,0,3.0,4,3,3.0
11,11212,General,3,4,3.0,1,0,3.0,4,3,3.0
12,11213,General,3,4,3.0,0,1,2.0,4,3,3.0
13,11214,General,3,4,3.0,0,0,3.0,0,1,1.0
14,11215,General,2,4,2.0,0,0,3.0,0,1,1.0
15,11216,General,4,3,4.0,0,1,2.0,0,1,1.0
16,11217,General,2,1,2.0,0,0,4.0,2,1,4.0
17,11218,General,2,1,2.0,0,0,4.0,2,4,4.0
18,11219,General,2,1,2.0,0,0,4.0,2,4,4.0
19,11220,General,2,1,2.0,0,1,2.0,2,4,4.0
0,11201,OBC,4,4,4.0,3,0,2.0,0,0,0.0
1,11202,OBC,4,4,4.0,2,3,3.0,0,0,0.0
2,11203,OBC,4,4,4.0,3,1,2.0,0,0,0.0
3,11204,OBC,4,4,4.0,2,3,3.0,0,0,0.0
4,11205,OBC,0,0,0.0,3,0,2.0,1,1,1.0
5,11206,OBC,2,2,2.0,2,0,1.0,1,4,1.0
6,11207,OBC,3,1,1.0,2,3,3.0,0,0,0.0
7,11208,OBC,3,1,1.0,2,3,3.0,0,0,0.0
8,11209,OBC,0,0,0.0,2,3,3.0,1,1,1.0
