,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11301,General,2,0,2,1,0,0,1,0,2,BOKARO
1,11301,OBC,3,0,2,1,3,3,0,2,2,BOKARO
2,11301,Overall,0,4,2,2,1,3,0,2,2,BOKARO
3,11301,SC,4,4,1,2,1,1,1,1,1,BOKARO
4,11301,ST,3,1,1,1,2,1,0,4,1,BOKARO
5,11302,General,2,0,2,4,0,0,2,0,2,CHATRA
6,11302,OBC,3,0,2,1,3,3,0,2,2,CHATRA
7,11302,Overall,0,4,2,2,1,3,0,2,2,CHATRA
8,11302,SC,4,4,1,3,1,1,4,4,4,CHATRA
9,11302,ST,3,1,1,0,1,0,0,4,1,CHATRA
10,11303,General,0,3,0,1,0,0,2,0,2,DEOGHAR
11,11303,OBC,3,0,2,1,1,1,0,2,2,DEOGHAR
12,11303,Overall,0,4,2,2,3,3,0,2,2,DEOGHAR
13,11303,SC,4,4,1,3,4,1,1,4,1,DEOGHAR
14,11303,ST,3,1,1,0,1,0,3,0,0,DEOGHAR
15,11304,General,2,0,2,1,0,0,2,0,2,DHANBAD
16,11304,OBC,3,0,2,1,3,3,0,2,2,DHANBAD
17,11304,Overall,0,2,2,2,1,3,0,2,2,DHANBAD
18,11304,SC,4,4,1,3,1,1,1,1,1,DHANBAD
19,11304,ST,3,1,1,1,2,1,0,4,1,DHANBAD
20,11305,General,0,3,0,1,0,0,2,0,2,DUMKA
21,11305,OBC,3,0,2,0,1,1,0,2,2,DUMKA
22,11305,Overall,0,2,4,2,1,3,0,2,2,DUMKA
23,11305,SC,4,4,1,2,1,1,1,4,1,DUMKA
24,11305,ST,3,1,1,1,2,1,0,4,1,DUMKA
25,11306,General,2,0,2,3,3,3,4,1,3,GARHWA
26,11306,OBC,3,0,2,0,1,1,0,2,2,GARHWA
27,11306,Overall,0,2,4,0,3,2,2,2,0,GARHWA
28,11306,SC,3,1,1,1,4,2,1,1,1,GARHWA
29,11306,ST,3,1,1,0,1,0,0,4,1,GARHWA
30,11307,General,2,0,2,4,0,0,1,3,0,GIRIDIH
31,11307,OBC,1,0,4,0,1,1,4,2,4,GIRIDIH
32,11307,Overall,0,2,4,2,3,2,2,2,0,GIRIDIH
33,11307,SC,3,1,1,3,1,1,1,1,1,GIRIDIH
34,11307,ST,4,4,4,0,1,0,0,0,0,GIRIDIH
35,11308,General,0,0,2,1,0,0,4,1,3,GODDA
36,11308,OBC,1,0,4,0,1,1,4,0,4,GODDA
37,11308,Overall,0,2,4,1,1,0,2,4,0,GODDA
38,11308,SC,3,1,1,2,0,3,2,3,3,GODDA
39,11308,ST,4,4,4,1,0,1,0,0,0,GODDA
40,11309,General,2,0,2,1,0,0,1,3,0,GUMLA
41,11309,OBC,1,2,4,0,1,1,4,0,4,GUMLA
42,11309,Overall,2,0,0,0,3,2,2,4,0,GUMLA
43,11309,SC,1,2,3,1,4,2,2,3,3,GUMLA
44,11309,ST,4,4,4,0,1,0,0,0,0,GUMLA
45,11310,General,0,3,0,1,1,0,4,1,3,HAZARIBAG
46,11310,OBC,1,2,1,4,2,2,2,4,0,HAZARIBAG
47,11310,Overall,2,0,0,1,0,0,2,0,0,HAZARIBAG
48,11310,SC,3,1,4,2,0,3,2,3,3,HAZARIBAG
49,11310,ST,4,4,4,1,0,1,0,0,0,HAZARIBAG
50,11311,General,2,1,1,1,0,0,2,3,0,JAMTARA
51,11311,OBC,1,2,1,0,1,1,4,0,4,JAMTARA
52,11311,Overall,4,0,0,1,4,0,2,0,0,JAMTARA
53,11311,SC,3,1,4,0,0,3,2,3,3,JAMTARA
54,11311,ST,1,0,0,1,0,1,0,0,0,JAMTARA
55,11312,General,0,4,3,0,0,1,0,3,0,KHUNTI
56,11312,OBC,0,2,1,0,2,2,2,4,0,KHUNTI
57,11312,Overall,2,0,0,0,4,2,2,0,0,KHUNTI
58,11312,SC,1,1,4,1,0,2,2,3,3,KHUNTI
59,11312,ST,1,0,0,0,1,0,1,0,4,KHUNTI
60,11313,General,4,4,3,1,0,0,0,3,0,KODARMA
61,11313,OBC,0,2,1,3,2,2,2,4,0,KODARMA
62,11313,Overall,4,0,0,1,0,0,4,0,0,KODARMA
63,11313,SC,1,0,0,0,0,3,2,0,3,KODARMA
64,11313,ST,2,2,2,3,4,3,4,3,3,KODARMA
65,11314,General,4,4,3,0,4,1,4,1,3,LATEHAR
66,11314,OBC,0,2,1,4,2,2,2,4,0,LATEHAR
67,11314,Overall,4,1,0,4,0,0,4,0,4,LATEHAR
68,11314,SC,1,0,0,0,0,0,3,0,0,LATEHAR
69,11314,ST,1,0,0,2,0,2,2,2,4,LATEHAR
70,11315,General,1,1,1,0,1,1,0,2,0,LOHARDAGA
71,11315,OBC,0,2,1,2,0,0,2,4,0,LOHARDAGA
72,11315,Overall,1,1,1,0,4,1,3,0,1,LOHARDAGA
73,11315,SC,0,0,0,1,2,2,3,0,0,LOHARDAGA
74,11315,ST,1,0,0,2,0,2,1,2,4,LOHARDAGA
75,11316,General,1,1,1,2,2,2,0,2,0,PAKAUR
76,11316,OBC,0,4,0,3,0,0,1,0,0,PAKAUR
77,11316,Overall,1,1,1,4,4,1,4,0,4,PAKAUR
