,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,11501,General,0,0,0.0,0,0,2.0,0,2,0.0,,,
1,11502,General,0,0,0.0,0,0,2.0,0,2,0.0,,,
2,11503,General,0,0,0.0,0,2,2.0,0,1,0.0,,,
3,11504,General,0,0,0.0,0,0,0.0,0,2,0.0,,,
4,11505,General,0,0,0.0,0,0,0.0,0,1,0.0,,,
5,11506,General,0,0,0.0,0,0,0.0,0,1,0.0,,,
6,11507,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
7,11508,General,2,1,2.0,0,2,0.0,2,1,1.0,,,
8,11509,General,2,1,2.0,2,1,0.0,1,0,1.0,,,
9,11510,General,1,1,1.0,2,1,1.0,1,0,1.0,,,
10,11511,General,1,1,1.0,1,1,1.0,1,0,1.0,,,
11,11512,General,1,2,1.0,1,1,1.0,1,0,2.0,,,
12,11513,General,1,2,1.0,1,1,1.0,1,0,2.0,,,
13,11514,General,1,2,1.0,1,1,1.0,1,0,2.0,,,
0,11501,OBC,1,1,1.0,2,1,2.0,2,1,2.0,,,
1,11502,OBC,1,1,1.0,2,1,2.0,2,1,2.0,,,
2,11503,OBC,1,1,1.0,2,1,2.0,2,1,2.0,,,
3,11504,OBC,1,1,1.0,2,1,2.0,2,1,2.0,,,
4,11505,OBC,2,2,2.0,1,2,1.0,0,0,1.0,,,
5,11506,OBC,2,2,2.0,1,2,1.0,0,0,1.0,,,
6,11507,OBC,2,2,2.0,0,0,0.0,0,0,1.0,,,
7,11508,OBC,0,0,0.0,1,0,0.0,0,0,1.0,,,
8,11509,OBC,0,0,0.0,1,2,1.0,0,0,1.0,,,
9,11510,OBC,0,0,0.0,1,2,1.0,1,0,0.0,,,
10,11511,OBC,0,0,0.0,0,0,0.0,1,0,0.0,,,
11,11512,OBC,0,0,0.0,0,0,0.0,1,2,0.0,,,
12,11513,OBC,0,0,0.0,0,0,0.0,1,2,0.0,,,
13,11514,OBC,0,0,0.0,0,0,0.0,1,2,0.0,,,
0,11501,Overall,2,1,,2,2,,0,0,,2.0,2.0,0.0
1,11502,Overall,2,1,,2,2,,0,0,,2.0,2.0,0.0
2,11503,Overall,2,1,,2,2,,0,0,,2.0,2.0,0.0
3,11504,Overall,2,1,,2,2,,0,0,,2.0,2.0,0.0
4,11505,Overall,1,2,,1,1,,0,0,,1.0,1.0,0.0
5,11506,Overall,1,2,,1,1,,0,0,,1.0,1.0,0.0
6,11507,Overall,1,2,,0,0,,2,2,,1.0,0.0,2.0
7,11508,Overall,1,0,,1,1,,2,2,,1.0,1.0,2.0
8,11509,Overall,0,0,,1,1,,2,2,,0.0,1.0,2.0
9,11510,Overall,0,0,,1,1,,2,2,,0.0,1.0,2.0
10,11511,Overall,0,0,,0,0,,1,1,,0.0,0.0,1.0
11,11512,Overall,0,0,,0,0,,1,1,,0.0,0.0,1.0
12,11513,Overall,0,0,,0,0,,1,1,,0.0,0.0,1.0
13,11514,Overall,0,0,,0,0,,1,1,,0.0,0.0,1.0
0,11501,SC,1,0,2.0,2,0,1.0,2,1,0.0,,,
1,11502,SC,1,0,2.0,2,0,1.0,2,1,0.0,,,
2,11503,SC,1,0,2.0,2,0,2.0,2,1,0.0,,,
3,11504,SC,1,0,2.0,2,0,1.0,1,1,0.0,,,
4,11505,SC,0,0,0.0,1,0,2.0,1,1,0.0,,,
5,11506,SC,0,0,0.0,1,1,2.0,1,1,0.0,,,
6,11507,SC,0,0,0.0,0,1,0.0,1,0,1.0,,,
7,11508,SC,0,1,0.0,0,1,0.0,0,0,1.0,,,
8,11509,SC,0,1,0.0,0,1,0.0,0,2,1.0,,,
9,11510,SC,0,1,1.0,0,1,0.0,0,2,1.0,,,
10,11511,SC,2,1,1.0,0,2,0.0,0,2,1.0,,,
11,11512,SC,2,2,1.0,0,2,0.0,0,2,2.0,,,
12,11513,SC,2,2,1.0,0,2,0.0,0,2,2.0,,,
13,11514,SC,2,2,1.0,0,2,0.0,0,0,2.0,,,
0,11501,ST,0,0,2.0,0,1,1.0,1,1,1.0,,,
1,11502,ST,2,1,1.0,2,0,0.0,2,2,0.0,,,
2,11503,ST,0,0,2.0,2,0,0.0,0,0,0.0,,,
3,11504,ST,0,0,2.0,2,2,0.0,0,0,0.0,,,
4,11505,ST,0,0,2.0,2,0,0.0,0,0,0.0,,,
5,11506,ST,0,1,0.0,0,2,1.0,0,0,0.0,,,
6,11507,ST,0,0,0.0,2,0,0.0,2,0,0.0,,,
7,11508,ST,1,2,1.0,1,2,2.0,1,1,1.0,,,
8,11509,ST,0,0,0.0,1,2,0.0,0,0,2.0,,,
9,11510,ST,0,0,0.0,1,0,0.0,0,0,2.0,,,
10,11511,ST,0,0,0.0,1,2,2.0,0,2,2.0,,,
11,11512,ST,0,0,0.0,1,0,0.0,2,0,2.0,,,
12,11513,ST,0,0,0.0,0,0,2.0,2,0,2.0,,,
13,11514,ST,0,0,0.0,1,2,2.0,0,0,2.0,,,
