DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
11801,General,3,3,3,3,3,0,3,3,4
11802,General,3,3,3,3,3,0,3,3,4
11803,General,3,3,3,3,3,0,3,3,4
11804,General,3,3,3,3,3,0,3,3,4
11805,General,3,3,3,3,3,0,3,3,4
11806,General,3,3,3,3,3,0,3,3,4
11807,General,3,3,3,3,3,0,3,3,4
11808,General,3,3,3,3,3,0,3,3,4
11809,General,3,3,3,3,3,0,3,3,4
11810,General,3,3,3,3,3,0,3,3,4
11811,General,4,3,3,3,3,0,3,3,3
11812,General,4,3,3,0,1,0,3,3,3
11813,General,3,3,3,0,1,0,3,0,3
11814,General,3,3,3,0,1,0,3,0,4
11815,General,4,3,4,0,3,0,0,0,3
11816,General,4,3,4,0,3,0,0,0,3
11817,General,4,0,4,0,1,4,0,0,3
11818,General,4,0,4,0,1,4,0,0,3
11819,General,4,0,4,0,1,4,0,0,3
11820,General,4,0,4,0,1,4,0,0,3
11821,General,4,0,4,0,1,4,0,0,3
11822,General,1,0,0,0,1,4,0,0,1
11823,General,4,0,4,0,1,4,0,0,3
11824,General,4,0,4,0,1,4,0,0,3
11825,General,1,0,0,0,1,4,0,0,1
11826,General,1,0,0,0,1,4,0,0,1
11827,General,1,4,0,0,1,4,0,0,1
11828,General,1,4,0,0,1,1,0,0,3
11829,General,1,4,0,1,1,1,0,0,1
11830,General,1,0,0,1,4,1,0,0,1
11831,General,1,4,0,1,4,1,0,4,1
11832,General,1,4,0,1,4,1,4,4,1
11833,General,2,2,2,2,2,2,2,2,2
11834,General,1,4,0,1,4,1,4,4,1
11835,General,0,4,0,1,4,1,4,4,1
11836,General,0,1,1,1,4,1,4,4,1
11837,General,0,4,0,1,4,1,4,4,0
11838,General,0,4,0,1,4,1,4,4,0
11839,General,0,1,1,1,0,1,4,1,0
11840,General,0,4,1,4,4,1,4,4,0
11841,General,0,1,1,4,0,3,1,1,0
11842,General,0,4,1,4,4,3,4,1,0
11843,General,0,1,1,4,0,3,4,4,0
11844,General,0,1,1,4,0,3,1,1,0
11845,General,0,1,1,4,0,3,1,1,0
11846,General,0,1,1,4,0,3,1,1,0
11847,General,0,1,1,4,0,3,1,1,0
11848,General,0,1,1,4,0,3,1,1,0
11849,General,0,1,1,4,0,3,1,1,0
11850,General,0,1,1,4,0,3,1,1,0
11851,General,0,1,1,4,0,3,1,1,0
11852,General,0,1,1,4,0,3,1,1,0
11801,OBC,3,1,1,4,1,2,3,1,0
11802,OBC,3,1,1,4,3,2,3,1,0
11803,OBC,3,1,1,4,3,2,3,1,0
11804,OBC,3,1,1,4,1,2,3,1,0
11805,OBC,3,1,1,4,3,2,3,1,0
11806,OBC,3,1,1,4,3,2,3,1,0
11807,OBC,4,1,1,4,3,2,3,1,0
11808,OBC,4,1,1,2,1,4,0,1,0
11809,OBC,4,1,1,4,3,2,0,1,0
11810,OBC,4,4,1,2,1,4,0,1,0
11811,OBC,4,4,1,2,1,4,0,1,0
11812,OBC,4,4,1,2,1,4,0,1,0
11813,OBC,4,4,3,2,1,4,0,1,0
11814,OBC,4,4,3,2,1,4,0,3,0
11815,OBC,2,4,3,2,1,4,0,3,0
11816,OBC,2,4,3,2,1,4,0,3,0
11817,OBC,2,4,3,2,1,4,0,3,2
11818,OBC,2,4,3,2,1,4,0,3,2
11819,OBC,2,2,3,2,4,0,0,3,2
11820,OBC,2,2,3,2,4,0,0,3,2
11821,OBC,2,2,3,2,4,0,0,3,2
11822,OBC,2,2,3,0,4,0,0,3,2
11823,OBC,2,2,4,0,4,0,0,3,2
11824,OBC,2,2,4,0,4,0,2,0,2
11825,OBC,2,2,4,0,4,0,2,0,2
11826,OBC,2,2,4,0,2,0,2,0,4
11827,OBC,2,2,4,0,4,0,2,0,4
11828,OBC,2,2,4,0,4,0,2,0,4
11829,OBC,1,0,4,0,2,0,2,0,4
11830,OBC,1,0,2,0,2,0,2,0,4
11831,OBC,1,0,2,1,2,1,2,0,4
11832,OBC,1,0,2,0,2,0,1,0,4
11833,OBC,1,0,2,1,2,1,2,0,4
11834,OBC,1,0,2,1,2,1,1,0,1
11835,OBC,1,0,2,1,2,1,1,0,1
11836,OBC,1,0,2,1,2,1,1,0,1
11837,OBC,1,0,2,1,2,1,1,0,1
11838,OBC,0,0,0,1,0,1,1,4,1
11839,OBC,1,0,2,1,0,1,1,0,1
11840,OBC,0,0,0,1,0,1,1,4,1
11841,OBC,0,0,0,1,0,1,1,4,1
11842,OBC,0,0,0,1,0,1,1,4,1
11843,OBC,0,0,0,1,0,1,1,4,1
11844,OBC,0,3,0,3,0,3,1,2,1
11845,OBC,0,3,0,3,0,3,4,2,3
11846,OBC,0,3,0,3,0,3,4,2,3
11847,OBC,0,3,0,3,0,3,4,2,3
11848,OBC,0,3,0,3,0,3,4,2,3
11849,OBC,0,3,0,3,0,3,4,2,3
11850,OBC,0,3,0,3,0,3,4,2,3
11851,OBC,0,3,0,3,0,3,4,2,3
11852,OBC,0,3,0,3,0,3,4,2,3
11801,Overall,0,1,0,0,1,3,2,4,0
11802,Overall,0,1,0,0,1,3,2,4,0
11803,Overall,0,1,0,0,1,3,2,4,0
11804,Overall,0,1,0,0,1,3,2,4,0
11805,Overall,0,1,0,0,1,3,2,4,0
11806,Overall,0,1,0,0,1,3,2,4,0
11807,Overall,0,1,0,0,1,3,2,4,0
11808,Overall,0,1,0,0,3,3,2,0,0
11809,Overall,0,1,0,0,1,3,2,0,0
11810,Overall,0,1,0,0,3,0,2,0,0
11811,Overall,0,3,0,0,3,0,3,0,0
11812,Overall,0,3,0,0,3,0,3,0,0
11813,Overall,4,3,3,0,3,0,3,0,0
11814,Overall,4,3,3,0,3,0,3,0,0
11815,Overall,4,3,3,4,3,0,3,0,0
11816,Overall,4,3,3,4,3,0,3,0,2
11817,Overall,4,3,3,4,3,0,3,0,2
11818,Overall,4,3,3,4,3,0,3,0,2
11819,Overall,4,3,3,4,2,0,3,0,2
11820,Overall,4,3,3,4,2,0,3,0,2
11821,Overall,4,3,3,4,2,0,3,0,2
11822,Overall,2,0,2,4,2,0,4,3,2
11823,Overall,2,0,2,4,2,0,4,3,2
11824,Overall,2,0,2,2,2,1,4,3,2
11825,Overall,2,0,2,2,2,1,4,3,2
11826,Overall,2,0,2,2,2,1,4,3,4
11827,Overall,2,0,2,2,4,1,4,3,4
11828,Overall,2,0,2,2,4,1,1,3,4
11829,Overall,2,0,2,1,4,1,1,3,4
11830,Overall,3,0,2,2,4,1,1,1,4
11831,Overall,3,0,2,1,4,1,1,3,4
11832,Overall,3,4,2,1,4,1,1,1,1
11833,Overall,3,4,2,1,4,4,1,1,1
11834,Overall,3,4,4,1,4,4,1,1,1
11835,Overall,3,4,4,1,4,4,1,1,1
11836,Overall,3,4,4,1,0,4,1,1,1
11837,Overall,3,4,4,1,0,4,1,1,1
11838,Overall,3,4,4,1,0,4,1,1,1
11839,Overall,3,4,4,1,0,4,1,1,1
11840,Overall,3,4,4,1,0,4,0,1,1
11841,Overall,1,2,1,1,0,4,0,1,1
11842,Overall,1,2,1,3,0,2,0,1,1
11843,Overall,1,2,1,3,0,2,0,1,1
11844,Overall,1,2,1,1,0,2,0,2,1
11845,Overall,1,2,1,3,0,2,0,2,3
11846,Overall,1,2,1,3,0,2,0,2,3
11847,Overall,1,2,1,3,0,2,0,2,3
11848,Overall,1,2,1,3,0,2,0,2,3
11849,Overall,1,2,1,3,0,2,0,2,3
11850,Overall,1,2,1,3,0,2,0,2,3
11851,Overall,1,2,1,3,0,2,0,2,3
11852,Overall,1,2,1,3,0,2,0,2,3
11801,SC,0,4,0,1,1,3,0,4,4
11802,SC,0,4,0,1,4,3,0,1,2
11803,SC,0,4,0,1,4,3,0,4,4
11804,SC,0,4,0,1,1,3,0,4,4
11805,SC,0,4,0,1,4,3,0,1,2
11806,SC,0,4,0,1,1,3,0,4,4
11807,SC,0,4,0,1,4,3,0,1,2
11808,SC,0,4,0,1,4,3,0,1,2
11809,SC,0,3,0,1,4,3,1,1,2
11810,SC,0,3,0,1,1,0,1,1,2
11811,SC,0,3,0,1,1,0,1,1,2
11812,SC,0,3,0,3,4,3,1,1,2
11813,SC,0,3,0,3,1,0,1,1,2
11814,SC,0,3,0,3,1,0,1,1,2
11815,SC,0,3,4,3,2,0,1,1,2
11816,SC,4,3,4,3,1,0,1,2,2
11817,SC,4,3,4,3,1,0,1,1,2
11818,SC,4,3,4,3,2,0,1,2,0
11819,SC,4,1,4,3,2,0,1,2,0
11820,SC,4,1,4,3,2,0,1,2,0
11821,SC,4,1,4,3,2,0,1,2,0
11822,SC,2,1,2,3,2,0,2,2,0
