,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,11901,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
1,11902,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
2,11903,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
3,11904,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
4,11905,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
5,11906,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
6,11907,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
7,11908,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
8,11909,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
9,11910,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
10,11911,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
11,11912,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
12,11913,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
13,11914,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
14,11915,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
15,11916,General,0,0,0.0,0,0,0.0,1,0,1.0,,,
16,11918,General,1,1,1.0,0,0,0.0,1,1,1.0,,,
17,11917,General,1,1,1.0,2,2,2.0,1,0,1.0,,,
18,11919,General,1,1,1.0,0,0,0.0,1,1,1.0,,,
19,11920,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
20,11921,General,1,1,1.0,0,0,0.0,1,1,1.0,,,
21,11922,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
22,11923,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
23,11924,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
24,11925,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
25,11926,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
26,11927,General,1,1,1.0,1,1,1.0,1,1,1.0,,,
27,11928,General,1,2,2.0,1,1,1.0,1,1,1.0,,,
28,11929,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
29,11930,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
30,11931,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
31,11932,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
32,11933,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
33,11934,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
34,11935,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
35,11936,General,2,2,2.0,1,1,1.0,2,2,2.0,,,
0,11901,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
1,11902,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
2,11903,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
3,11904,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
4,11905,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
5,11906,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
6,11907,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
7,11908,OBC,1,2,2.0,1,0,0.0,1,1,0.0,,,
8,11909,OBC,1,2,0.0,1,0,0.0,1,1,0.0,,,
9,11910,OBC,1,2,0.0,1,0,0.0,1,1,0.0,,,
10,11911,OBC,1,2,0.0,1,0,0.0,1,1,0.0,,,
11,11912,OBC,1,2,0.0,1,0,0.0,0,1,0.0,,,
12,11913,OBC,1,0,0.0,0,0,0.0,0,1,0.0,,,
13,11914,OBC,1,0,0.0,1,0,0.0,0,1,0.0,,,
14,11915,OBC,1,0,0.0,0,0,0.0,0,1,0.0,,,
15,11916,OBC,1,0,0.0,0,0,0.0,0,1,0.0,,,
16,11918,OBC,0,0,0.0,1,0,0.0,0,0,0.0,,,
17,11917,OBC,0,0,0.0,2,2,2.0,0,2,2.0,,,
18,11919,OBC,0,0,0.0,0,0,0.0,0,0,0.0,,,
19,11920,OBC,0,0,0.0,0,1,1.0,0,0,1.0,,,
20,11921,OBC,0,0,0.0,0,1,1.0,0,0,1.0,,,
21,11922,OBC,0,0,0.0,0,1,1.0,0,0,1.0,,,
22,11923,OBC,0,0,0.0,0,1,1.0,0,0,1.0,,,
23,11924,OBC,0,1,1.0,0,1,1.0,0,0,1.0,,,
24,11925,OBC,0,1,1.0,0,1,1.0,0,0,1.0,,,
25,11926,OBC,2,1,1.0,0,1,1.0,0,0,1.0,,,
26,11927,OBC,2,1,1.0,0,1,1.0,2,0,1.0,,,
27,11928,OBC,2,1,1.0,0,1,1.0,2,0,1.0,,,
