,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12101,General,0,4,4,0,1,0,1,1,1,EAST GARO HILLS
1,12101,OBC,3,4,4,3,3,1,4,1,4,EAST GARO HILLS
2,12101,Overall,3,1,0,2,1,2,0,3,4,EAST GARO HILLS
3,12101,SC,3,3,3,1,4,0,0,1,4,EAST GARO HILLS
4,12101,ST,3,3,4,3,4,3,1,2,2,EAST GARO HILLS
5,12102,General,1,2,3,0,2,0,4,1,1,EAST JAINTIA HILLS
6,12102,OBC,0,0,0,0,1,0,1,2,1,EAST JAINTIA HILLS
7,12102,Overall,3,1,0,2,1,2,0,3,4,EAST JAINTIA HILLS
8,12102,SC,2,0,0,0,4,0,0,0,0,EAST JAINTIA HILLS
9,12102,ST,3,4,4,4,0,1,2,2,2,EAST JAINTIA HILLS
10,12103,General,1,2,3,0,2,0,0,1,4,EAST KHASI HILLS
11,12103,OBC,0,0,0,0,1,0,0,4,0,EAST KHASI HILLS
12,12103,Overall,0,3,2,0,2,0,4,2,3,EAST KHASI HILLS
13,12103,SC,3,3,3,4,3,2,4,1,4,EAST KHASI HILLS
14,12103,ST,0,4,3,0,3,0,1,3,1,EAST KHASI HILLS
15,12104,General,1,2,3,3,4,2,0,3,1,NORTH GARO HILLS
16,12104,OBC,4,2,2,0,4,2,1,3,3,NORTH GARO HILLS
17,12104,Overall,1,2,0,1,3,1,3,0,0,NORTH GARO HILLS
18,12104,SC,2,0,0,0,1,3,3,3,3,NORTH GARO HILLS
19,12104,ST,1,1,0,4,0,1,1,0,0,NORTH GARO HILLS
20,12105,General,1,2,3,1,1,4,0,0,0,RI BHOI
21,12105,OBC,0,0,0,2,0,3,1,1,1,RI BHOI
22,12105,Overall,0,3,2,2,1,2,3,0,0,RI BHOI
23,12105,SC,3,3,3,3,3,1,2,4,2,RI BHOI
24,12105,ST,0,1,0,3,4,3,4,0,0,RI BHOI
25,12106,General,0,3,2,2,3,1,1,4,3,SOUTH GARO HILLS
26,12106,OBC,0,0,0,0,2,1,1,2,1,SOUTH GARO HILLS
27,12106,Overall,1,2,4,1,3,1,3,0,0,SOUTH GARO HILLS
28,12106,SC,1,1,1,1,1,4,1,2,1,SOUTH GARO HILLS
29,12106,ST,1,2,1,4,0,1,4,0,0,SOUTH GARO HILLS
30,12107,General,4,1,0,1,4,2,0,2,3,SOUTH WEST GARO HILLS
31,12107,OBC,1,1,3,4,0,1,0,2,1,SOUTH WEST GARO HILLS
32,12107,Overall,4,2,1,3,4,3,2,1,1,SOUTH WEST GARO HILLS
33,12107,SC,0,2,2,1,0,1,2,4,2,SOUTH WEST GARO HILLS
34,12107,ST,4,2,1,2,2,2,3,0,1,SOUTH WEST GARO HILLS
35,12108,General,2,0,1,4,0,3,2,0,0,SOUTH WEST KHASI HILLS
36,12108,OBC,0,0,0,0,2,0,3,2,1,SOUTH WEST KHASI HILLS
37,12108,Overall,4,4,4,1,0,1,1,1,0,SOUTH WEST KHASI HILLS
38,12108,SC,4,4,4,0,2,0,0,0,0,SOUTH WEST KHASI HILLS
39,12108,ST,4,2,1,1,0,4,4,1,0,SOUTH WEST KHASI HILLS
40,12109,General,3,1,0,0,0,0,2,0,0,WEST GARO HILLS
41,12109,OBC,2,1,1,2,0,3,2,0,2,WEST GARO HILLS
42,12109,Overall,2,0,1,4,0,4,2,1,1,WEST GARO HILLS
43,12109,SC,0,2,2,0,2,0,0,0,0,WEST GARO HILLS
44,12109,ST,2,0,2,1,0,4,0,1,3,WEST GARO HILLS
45,12110,General,3,0,0,0,0,3,3,2,2,WEST JAINTIA HILLS
46,12110,OBC,2,3,1,1,0,4,3,0,0,WEST JAINTIA HILLS
47,12110,Overall,2,0,3,0,0,0,1,1,2,WEST JAINTIA HILLS
48,12110,SC,1,1,1,2,0,2,1,2,1,WEST JAINTIA HILLS
49,12110,ST,2,0,2,0,1,0,0,1,3,WEST JAINTIA HILLS
50,12111,General,2,0,1,4,0,1,2,0,0,WEST KHASI HILLS
51,12111,OBC,0,0,0,0,2,0,3,2,1,WEST KHASI HILLS
52,12111,Overall,2,0,3,4,0,4,1,4,2,WEST KHASI HILLS
53,12111,SC,1,1,1,0,2,0,0,0,0,WEST KHASI HILLS
54,12111,ST,2,0,2,1,1,4,0,4,4,WEST KHASI HILLS
