,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,12201,General,2,0,2.0,2,0,1.0,0,2,1.0
1,12202,General,0,2,1.0,1,1,0.0,1,1,0.0
2,12203,General,0,2,1.0,1,1,0.0,1,1,0.0
3,12204,General,0,2,1.0,1,1,0.0,1,1,0.0
4,12205,General,1,0,0.0,0,0,1.0,2,0,2.0
5,12206,General,0,0,1.0,0,0,2.0,0,1,0.0
6,12207,General,0,2,1.0,0,2,2.0,0,2,1.0
7,12208,General,0,2,1.0,1,1,0.0,1,1,0.0
8,12209,General,0,2,1.0,1,1,0.0,1,1,0.0
9,12210,General,0,2,1.0,1,1,0.0,1,1,0.0
10,12211,General,0,1,0.0,1,1,0.0,1,0,0.0
0,12201,OBC,2,0,0.0,1,1,1.0,2,0,2.0
1,12202,OBC,0,1,1.0,1,1,1.0,0,1,0.0
2,12203,OBC,0,1,1.0,1,1,1.0,0,1,0.0
3,12204,OBC,0,1,1.0,1,1,1.0,0,1,0.0
4,12205,OBC,0,1,1.0,0,0,0.0,0,1,0.0
5,12206,OBC,0,1,1.0,0,0,0.0,0,1,0.0
6,12207,OBC,0,1,1.0,0,0,0.0,0,1,0.0
7,12208,OBC,1,0,0.0,0,0,0.0,1,0,1.0
8,12209,OBC,0,1,1.0,2,2,2.0,0,1,0.0
9,12210,OBC,0,1,1.0,2,2,2.0,0,1,0.0
10,12211,OBC,0,2,2.0,2,2,2.0,0,2,0.0
0,12201,Overall,1,1,,2,0,,1,1,
1,12202,Overall,1,1,,0,1,,1,1,
2,12203,Overall,1,1,,1,1,,1,1,
3,12204,Overall,1,1,,0,1,,0,0,
4,12205,Overall,0,0,,0,0,,0,0,
5,12206,Overall,0,0,,0,1,,0,0,
6,12207,Overall,0,0,,0,0,,0,0,
7,12208,Overall,0,0,,1,2,,0,0,
8,12209,Overall,2,2,,0,0,,2,2,
9,12210,Overall,2,2,,1,1,,2,2,
10,12211,Overall,2,2,,0,0,,2,2,
0,12201,SC,1,0,0.0,0,2,0.0,1,1,0.0
1,12202,SC,1,0,0.0,0,0,1.0,0,0,1.0
2,12203,SC,1,0,0.0,0,0,1.0,1,1,0.0
3,12204,SC,1,0,0.0,0,0,1.0,1,1,0.0
4,12205,SC,0,2,2.0,0,0,1.0,0,0,1.0
5,12206,SC,1,0,0.0,2,0,2.0,1,1,0.0
6,12207,SC,0,1,1.0,0,1,1.0,2,2,2.0
7,12208,SC,2,0,0.0,0,0,1.0,1,1,0.0
8,12209,SC,2,0,0.0,1,0,0.0,1,1,0.0
9,12210,SC,2,0,0.0,0,0,1.0,1,1,0.0
10,12211,SC,2,0,0.0,0,0,1.0,0,1,0.0
0,12201,ST,1,0,0.0,0,0,2.0,0,2,1.0
1,12202,ST,1,0,0.0,1,1,0.0,0,2,1.0
2,12203,ST,1,0,0.0,2,1,0.0,0,2,1.0
3,12204,ST,1,0,0.0,1,1,0.0,0,0,0.0
4,12205,ST,1,0,0.0,1,0,1.0,0,0,0.0
5,12206,ST,0,2,1.0,1,1,0.0,2,0,0.0
6,12207,ST,0,2,1.0,0,0,1.0,1,0,2.0
7,12208,ST,0,2,1.0,2,2,0.0,2,0,0.0
8,12209,ST,2,1,2.0,0,0,1.0,1,1,2.0
9,12210,ST,2,1,2.0,2,1,0.0,1,1,2.0
10,12211,ST,2,1,2.0,1,0,1.0,1,1,2.0
