DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
12301,General,4,0,4,0,3,1,1,1,1
12302,General,3,3,3,2,4,0,4,2,4
12303,General,0,1,0,0,2,2,0,4,0
12304,General,0,1,0,1,2,2,2,4,2
12305,General,0,1,0,4,3,3,0,4,0
12306,General,0,0,0,3,1,4,1,1,1
12307,General,1,4,1,0,0,1,0,0,1
12308,General,0,1,0,0,0,1,0,3,0
12309,General,0,1,0,1,2,2,0,3,0
12310,General,2,2,2,2,1,0,3,0,3
12311,General,0,1,0,1,2,2,0,3,0
12301,OBC,0,3,1,4,0,3,0,1,4
12302,OBC,4,0,4,0,3,1,2,3,1
12303,OBC,0,3,1,3,0,0,1,1,3
12304,OBC,3,0,3,2,1,1,2,4,1
12305,OBC,2,2,2,1,3,3,0,0,2
12306,OBC,2,3,2,3,4,0,1,0,2
12307,OBC,2,2,2,1,1,2,0,0,2
12308,OBC,0,1,0,0,1,4,3,0,2
12309,OBC,1,4,0,0,2,1,3,0,0
12310,OBC,1,1,0,2,0,2,4,2,0
12311,OBC,2,2,2,2,4,0,0,0,2
12301,Overall,0,2,1,0,0,0,0,0,2
12302,Overall,0,0,1,2,3,1,0,0,2
12303,Overall,0,2,4,0,0,0,0,0,2
12304,Overall,4,4,0,2,3,1,1,3,1
12305,Overall,0,0,2,4,4,3,0,4,4
12306,Overall,1,0,0,3,2,2,1,3,1
12307,Overall,2,0,2,3,2,2,4,1,4
12308,Overall,2,1,2,3,2,2,2,1,0
12309,Overall,1,1,2,1,1,4,2,1,0
12310,Overall,2,1,2,1,1,4,2,1,0
12311,Overall,3,3,3,1,1,4,3,2,3
12301,SC,4,3,3,3,0,1,2,4,1
12302,SC,0,0,0,1,2,0,1,0,3
12303,SC,0,0,0,1,3,0,1,0,3
12304,SC,2,2,2,1,2,0,3,2,2
12305,SC,0,0,0,0,0,3,1,0,3
12306,SC,1,1,1,2,0,4,0,1,0
12307,SC,1,1,1,2,1,1,4,1,1
12308,SC,0,0,0,2,4,0,1,3,4
12309,SC,0,0,0,2,4,0,1,0,4
12310,SC,0,0,0,4,4,2,1,0,4
12311,SC,3,4,4,0,1,2,0,1,0
12301,ST,0,2,3,1,4,4,4,3,3
12302,ST,0,1,0,4,0,2,1,3,3
12303,ST,0,2,3,1,4,4,1,3,3
12304,ST,4,4,4,0,0,0,1,1,0
12305,ST,1,1,0,3,3,3,1,1,0
12306,ST,1,1,0,2,2,1,0,0,1
12307,ST,2,0,1,2,2,1,3,0,0
12308,ST,2,0,1,2,2,1,0,0,4
12309,ST,1,0,0,0,0,2,0,4,1
12310,ST,2,0,1,0,1,0,0,4,4
12311,ST,3,3,2,0,1,0,2,2,2
