,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,12401,General,1,0,2.0,0,0,0.0,2,0,1.0
1,12402,General,1,0,2.0,0,0,0.0,2,0,1.0
2,12403,General,1,0,2.0,0,0,0.0,2,0,1.0
3,12404,General,1,0,2.0,2,0,0.0,2,0,1.0
4,12405,General,1,0,2.0,0,0,0.0,2,0,1.0
5,12406,General,1,0,2.0,2,0,0.0,2,0,1.0
6,12407,General,2,0,2.0,2,0,0.0,2,0,1.0
7,12408,General,2,0,2.0,0,2,0.0,2,0,1.0
8,12409,General,1,0,2.0,0,0,0.0,2,0,1.0
9,12410,General,2,0,0.0,2,0,0.0,0,0,1.0
10,12411,General,2,0,0.0,0,0,0.0,0,0,1.0
11,12412,General,2,0,0.0,0,0,0.0,0,2,2.0
12,12413,General,2,0,0.0,2,0,0.0,0,2,2.0
13,12414,General,2,1,0.0,2,2,2.0,0,2,2.0
14,12415,General,2,1,0.0,0,0,0.0,0,2,0.0
15,12416,General,2,1,0.0,2,2,2.0,0,2,0.0
16,12417,General,0,1,0.0,0,1,0.0,0,2,2.0
17,12418,General,0,1,0.0,2,1,0.0,0,2,0.0
18,12419,General,0,1,0.0,0,1,0.0,0,2,2.0
19,12420,General,0,1,1.0,2,2,2.0,1,1,0.0
20,12421,General,0,1,1.0,2,1,1.0,1,1,0.0
21,12422,General,0,1,1.0,1,1,1.0,0,1,2.0
22,12423,General,0,1,1.0,1,1,1.0,1,1,0.0
23,12424,General,0,2,1.0,1,1,1.0,1,1,0.0
24,12425,General,0,2,1.0,1,1,1.0,1,1,0.0
25,12426,General,0,2,1.0,1,1,1.0,1,1,0.0
26,12427,General,0,2,1.0,1,1,1.0,1,1,0.0
27,12428,General,0,2,1.0,1,1,1.0,1,1,0.0
28,12429,General,0,2,1.0,1,1,1.0,1,1,0.0
29,12430,General,0,2,1.0,1,1,1.0,1,1,0.0
0,12401,OBC,0,1,2.0,2,0,1.0,0,2,2.0
1,12402,OBC,0,1,2.0,2,0,1.0,0,2,2.0
2,12403,OBC,0,1,2.0,1,0,1.0,0,2,2.0
3,12404,OBC,0,1,2.0,2,0,1.0,0,2,2.0
4,12405,OBC,0,1,2.0,2,0,1.0,0,2,2.0
5,12406,OBC,0,1,2.0,2,0,1.0,0,2,2.0
6,12407,OBC,0,1,2.0,1,0,1.0,0,0,1.0
7,12408,OBC,0,1,2.0,1,0,1.0,0,0,1.0
8,12409,OBC,0,1,2.0,1,0,1.0,0,0,1.0
9,12410,OBC,0,1,2.0,2,0,1.0,0,0,1.0
10,12411,OBC,0,1,1.0,1,0,0.0,0,0,1.0
11,12412,OBC,0,1,1.0,1,0,1.0,0,0,1.0
12,12413,OBC,1,2,1.0,1,0,1.0,0,0,1.0
13,12414,OBC,1,2,1.0,1,1,0.0,0,0,1.0
14,12415,OBC,1,2,1.0,1,1,0.0,1,0,0.0
15,12416,OBC,1,2,1.0,0,1,0.0,1,0,1.0
16,12417,OBC,1,2,0.0,1,1,0.0,1,0,0.0
17,12418,OBC,1,2,1.0,1,1,0.0,1,0,0.0
18,12419,OBC,1,0,0.0,1,1,0.0,1,0,0.0
19,12420,OBC,1,0,0.0,1,2,0.0,1,1,0.0
20,12421,OBC,1,0,0.0,0,1,0.0,1,1,0.0
21,12422,OBC,1,0,0.0,1,2,0.0,1,1,0.0
22,12423,OBC,2,0,0.0,0,1,0.0,1,1,0.0
23,12424,OBC,2,0,0.0,0,2,0.0,1,1,0.0
