DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
12601,General,0,1,4,4,3,4,4,4,0
12602,General,0,1,3,4,3,4,4,4,0
12603,General,0,1,4,4,3,4,4,4,0
12604,General,0,1,3,4,3,4,4,4,0
12605,General,0,1,3,2,0,1,0,1,0
12606,General,0,1,3,2,0,1,0,1,0
12607,General,0,4,3,2,0,1,0,1,0
12608,General,1,4,1,4,0,1,0,1,3
12609,General,1,4,1,2,0,1,0,1,3
12610,General,1,4,1,2,0,1,0,1,3
12611,General,1,4,1,2,0,1,0,1,3
12612,General,1,3,1,1,0,1,0,1,3
12613,General,1,3,1,3,2,2,3,3,4
12614,General,1,3,1,1,0,3,1,0,3
12615,General,1,3,1,1,0,3,1,0,3
12616,General,3,0,0,0,1,0,1,0,1
12617,General,3,0,0,1,1,3,1,0,1
12618,General,3,0,0,0,1,0,1,0,1
12619,General,3,0,0,0,1,0,1,0,1
12620,General,3,0,0,1,1,3,1,0,1
12621,General,3,0,0,0,1,0,1,0,1
12622,General,2,2,2,0,4,0,2,2,2
12623,General,4,0,0,1,1,3,1,0,1
12601,OBC,0,1,0,2,1,2,0,0,0
12602,OBC,0,1,0,2,1,2,0,0,0
12603,OBC,0,1,0,2,1,2,0,0,0
12604,OBC,0,1,0,2,1,2,0,0,0
12605,OBC,0,1,0,2,1,2,0,0,0
12606,OBC,0,1,0,4,1,2,0,0,0
12607,OBC,0,0,0,4,4,4,0,0,0
12608,OBC,0,0,0,4,4,4,0,4,1
12609,OBC,4,0,4,4,4,4,1,4,1
12610,OBC,4,0,4,4,4,4,1,4,1
12611,OBC,4,0,4,0,4,0,1,4,1
12612,OBC,4,0,4,0,0,0,1,2,2
12613,OBC,2,0,2,0,0,0,1,2,1
12614,OBC,2,0,2,0,0,0,1,2,2
12615,OBC,2,4,2,0,0,0,4,2,2
12616,OBC,2,4,2,0,0,0,4,2,2
12617,OBC,2,4,2,0,2,0,4,2,2
12618,OBC,2,4,2,1,2,0,4,2,2
12619,OBC,1,2,1,1,2,1,2,1,4
12620,OBC,1,2,1,1,2,1,2,1,4
12621,OBC,1,2,1,1,2,1,2,1,4
12622,OBC,3,3,3,3,3,3,3,3,3
12623,OBC,1,2,1,1,2,1,2,1,4
12601,Overall,0,4,4,0,4,0,3,1,1
12602,Overall,0,4,4,0,4,0,3,1,1
12603,Overall,0,4,4,0,4,0,3,1,1
12604,Overall,0,4,4,0,4,0,3,1,1
12605,Overall,0,1,3,0,4,0,3,1,1
12606,Overall,0,1,3,0,4,0,3,1,1
12607,Overall,0,1,3,0,4,0,1,1,1
12608,Overall,4,1,3,0,1,0,1,4,3
12609,Overall,4,1,3,0,1,0,1,4,3
12610,Overall,4,1,1,0,1,0,1,4,3
12611,Overall,4,3,1,4,1,4,1,4,3
12612,Overall,2,3,1,4,1,4,1,4,3
