,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12701,General,1,1,1,0,0,0,2,3,0,AJMER
1,12701,OBC,2,4,4,2,0,4,4,2,2,AJMER
2,12701,Overall,4,0,4,1,2,2,4,4,4,AJMER
3,12701,SC,2,1,4,3,2,2,3,0,2,AJMER
4,12701,ST,0,4,4,1,3,1,1,2,0,AJMER
5,12702,General,1,1,1,0,0,0,2,3,0,ALWAR
6,12702,OBC,2,4,4,2,0,4,4,2,2,ALWAR
7,12702,Overall,4,0,4,1,2,2,4,4,4,ALWAR
8,12702,SC,2,1,4,3,2,2,3,0,2,ALWAR
9,12702,ST,0,4,4,1,3,1,1,2,0,ALWAR
10,12703,General,1,1,1,0,0,0,2,3,0,BANSWARA
11,12703,OBC,2,4,4,2,0,4,4,2,2,BANSWARA
12,12703,Overall,4,0,4,1,2,2,4,4,4,BANSWARA
13,12703,SC,2,1,4,3,2,2,3,0,2,BANSWARA
14,12703,ST,0,4,4,1,3,1,1,2,0,BANSWARA
15,12704,General,1,1,1,0,0,0,2,3,0,BARAN
16,12704,OBC,2,4,4,2,0,4,4,2,2,BARAN
17,12704,Overall,4,0,4,1,2,2,4,4,4,BARAN
18,12704,SC,2,1,4,3,2,2,3,0,2,BARAN
19,12704,ST,0,4,4,1,3,1,1,2,0,BARAN
20,12705,General,1,1,1,0,0,0,2,4,0,BARMER
21,12705,OBC,2,2,2,2,0,3,4,2,2,BARMER
22,12705,Overall,2,0,2,1,2,2,4,4,4,BARMER
23,12705,SC,2,1,4,3,2,2,3,0,2,BARMER
24,12705,ST,0,0,1,2,4,2,1,2,0,BARMER
25,12706,General,1,1,1,0,0,0,2,4,0,BHARATPUR
26,12706,OBC,2,2,2,2,0,3,4,2,2,BHARATPUR
27,12706,Overall,2,0,2,1,2,2,4,2,2,BHARATPUR
28,12706,SC,2,1,3,0,2,2,3,0,2,BHARATPUR
29,12706,ST,0,0,1,1,3,1,3,1,1,BHARATPUR
30,12707,General,1,1,1,0,0,0,2,4,0,BHILWARA
31,12707,OBC,4,2,2,2,0,3,2,2,2,BHILWARA
32,12707,Overall,2,0,2,1,2,2,2,2,2,BHILWARA
33,12707,SC,2,1,3,3,0,2,4,0,2,BHILWARA
34,12707,ST,0,0,1,1,1,1,1,2,0,BHILWARA
35,12708,General,1,1,1,4,0,1,2,4,0,BIKANER
36,12708,OBC,4,2,2,0,0,3,2,2,2,BIKANER
37,12708,Overall,2,0,2,1,2,2,2,2,2,BIKANER
38,12708,SC,2,0,3,0,0,2,4,0,2,BIKANER
39,12708,ST,0,0,1,4,1,1,3,1,1,BIKANER
40,12709,General,3,3,3,4,1,1,2,2,1,BUNDI
41,12709,OBC,4,2,2,0,0,3,2,0,4,BUNDI
42,12709,Overall,2,4,2,2,2,2,2,2,2,BUNDI
43,12709,SC,4,0,3,0,0,0,4,0,0,BUNDI
44,12709,ST,0,0,1,1,1,1,3,1,1,BUNDI
45,12710,General,3,3,3,0,0,0,0,2,1,CHITTAURGARH
46,12710,OBC,4,2,2,0,0,3,2,0,4,CHITTAURGARH
47,12710,Overall,2,4,2,1,2,2,2,2,2,CHITTAURGARH
48,12710,SC,4,0,3,0,0,0,4,3,0,CHITTAURGARH
49,12710,ST,0,0,1,2,4,2,1,2,0,CHITTAURGARH
50,12711,General,3,3,3,4,1,1,0,2,1,CHURU
51,12711,OBC,0,3,0,0,0,3,2,0,4,CHURU
52,12711,Overall,2,4,2,2,1,2,2,2,2,CHURU
53,12711,SC,4,0,3,0,0,0,4,3,0,CHURU
54,12711,ST,0,0,1,1,1,4,3,1,1,CHURU
55,12712,General,3,3,3,4,0,1,0,2,1,DAUSA
56,12712,OBC,0,3,0,0,3,2,2,0,4,DAUSA
57,12712,Overall,0,4,3,2,1,0,2,2,2,DAUSA
58,12712,SC,4,0,2,0,0,0,4,3,0,DAUSA
59,12712,ST,1,0,1,4,1,4,3,1,1,DAUSA
60,12713,General,3,3,3,4,1,1,0,2,1,DHAULPUR
61,12713,OBC,0,3,0,0,2,3,0,0,0,DHAULPUR
62,12713,Overall,0,4,3,2,1,0,0,0,0,DHAULPUR
63,12713,SC,4,0,2,0,3,0,1,3,0,DHAULPUR
64,12713,ST,1,0,1,1,1,4,3,1,1,DHAULPUR
65,12714,General,2,0,0,4,1,1,0,2,1,DUNGARPUR
66,12714,OBC,0,3,0,0,3,2,0,0,0,DUNGARPUR
67,12714,Overall,0,4,3,2,1,0,0,0,0,DUNGARPUR
68,12714,SC,3,0,2,0,0,0,1,3,0,DUNGARPUR
69,12714,ST,1,0,1,1,1,1,3,1,1,DUNGARPUR
70,12715,General,3,3,0,4,1,1,0,2,1,GANGANAGAR
71,12715,OBC,0,3,0,0,3,2,0,0,0,GANGANAGAR
72,12715,Overall,0,2,3,2,1,0,0,0,0,GANGANAGAR
73,12715,SC,3,0,2,0,0,0,1,3,0,GANGANAGAR
74,12715,ST,1,0,0,2,2,2,2,1,1,GANGANAGAR
75,12716,General,4,0,0,4,1,1,0,2,1,HANUMANGARH
76,12716,OBC,0,3,0,0,3,2,0,0,0,HANUMANGARH
77,12716,Overall,0,2,3,2,1,0,0,0,0,HANUMANGARH
78,12716,SC,3,0,2,4,0,0,1,1,0,HANUMANGARH
79,12716,ST,3,2,3,4,2,4,2,1,2,HANUMANGARH
80,12717,General,4,0,0,4,1,1,3,2,1,JAIPUR
81,12717,OBC,0,1,0,0,3,2,0,0,0,JAIPUR
82,12717,Overall,0,2,1,2,1,0,0,0,0,JAIPUR
83,12717,SC,3,3,2,4,0,0,1,1,0,JAIPUR
84,12717,ST,1,3,0,4,1,4,3,1,1,JAIPUR
85,12718,General,4,0,0,3,3,3,3,0,3,JAISALMER
86,12718,OBC,0,1,0,3,2,1,0,4,0,JAISALMER
87,12718,Overall,0,2,1,0,3,0,0,0,0,JAISALMER
88,12718,SC,3,3,2,1,3,4,0,1,1,JAISALMER
89,12718,ST,1,3,0,0,2,2,4,4,2,JAISALMER
90,12719,General,4,0,0,3,3,3,3,0,3,JALOR
91,12719,OBC,0,1,0,3,2,1,0,4,0,JALOR
92,12719,Overall,0,2,1,0,3,0,0,0,0,JALOR
