DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
12801,General,2,0,0,0,0,1,2,2,2
12802,General,0,0,0,0,0,1,0,0,0
12803,General,0,2,2,2,2,2,0,0,0
12804,General,1,1,1,1,1,0,1,1,1
12805,General,1,1,1,1,1,0,1,1,1
12806,General,1,1,1,1,1,0,1,1,1
12801,OBC,2,2,2,0,0,0,2,2,2
12802,OBC,1,1,1,0,0,0,1,1,1
12803,OBC,0,0,0,1,1,1,0,0,0
12804,OBC,0,0,0,1,1,1,0,0,0
12805,OBC,0,0,0,2,2,2,0,0,0
12806,OBC,0,0,0,2,2,2,0,0,0
12801,Overall,2,2,2,0,0,0,2,2,2
12802,Overall,1,1,1,0,0,0,1,1,1
12803,Overall,0,0,0,1,1,1,0,0,0
12804,Overall,0,0,0,1,1,1,0,0,0
12805,Overall,0,0,0,2,2,2,0,0,0
12806,Overall,0,0,0,2,2,2,0,0,0
12801,SC,0,2,2,0,2,0,2,2,2
12802,SC,0,1,1,0,1,0,1,1,1
12803,SC,2,0,0,2,0,2,0,0,0
12804,SC,2,0,0,1,0,1,0,0,0
12805,SC,1,0,0,1,0,1,0,0,0
12806,SC,1,0,0,1,0,1,0,0,0
12801,ST,2,2,2,0,2,0,2,2,2
12802,ST,1,1,1,0,1,0,1,1,1
12803,ST,0,0,0,1,0,1,0,0,0
12804,ST,0,0,0,1,0,1,0,0,0
12805,ST,0,0,0,2,0,2,0,0,0
12806,ST,0,0,0,2,0,2,0,0,0
