,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10001,General,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,ANANTAPUR
1,10001,Merged,,,,,,,,,,ANANTAPUR
2,10001,OBC,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,ANANTAPUR
3,10001,Overall,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,ANANTAPUR
4,10001,SC,2.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,ANANTAPUR
5,10001,ST,4.0,0.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,ANANTAPUR
6,10002,General,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,CHITTOOR
7,10002,Merged,,,,,,,,,,CHITTOOR
8,10002,OBC,0.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,CHITTOOR
9,10002,Overall,0.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,CHITTOOR
10,10002,SC,2.0,0.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,CHITTOOR
11,10002,ST,4.0,0.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,CHITTOOR
12,10003,General,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,EAST GODAVARI
13,10003,Merged,,,,,,,,,,EAST GODAVARI
14,10003,OBC,0.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,EAST GODAVARI
15,10003,Overall,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,EAST GODAVARI
16,10003,SC,2.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,0.0,EAST GODAVARI
17,10003,ST,3.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,4.0,EAST GODAVARI
18,10004,General,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,GUNTUR
19,10004,Merged,,,,,,,,,,GUNTUR
20,10004,OBC,2.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,GUNTUR
21,10004,Overall,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,GUNTUR
22,10004,SC,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,GUNTUR
23,10004,ST,3.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,4.0,GUNTUR
24,10005,General,3.0,4.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,KADAPA
25,10005,Merged,,,,,,,,,,KADAPA
26,10005,OBC,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,KADAPA
27,10005,Overall,3.0,4.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,KADAPA
28,10005,SC,0.0,4.0,4.0,2.0,0.0,0.0,3.0,3.0,3.0,KADAPA
29,10005,ST,1.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,KADAPA
30,10006,General,3.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,KRISHNA
31,10006,Merged,,,,,,,,,,KRISHNA
32,10006,OBC,2.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,4.0,KRISHNA
33,10006,Overall,3.0,4.0,0.0,2.0,3.0,2.0,4.0,0.0,4.0,KRISHNA
34,10006,SC,0.0,4.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,KRISHNA
35,10006,ST,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,KRISHNA
36,10007,General,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,KURNOOL
37,10007,Merged,,,,,,,,,,KURNOOL
38,10007,OBC,4.0,0.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,KURNOOL
39,10007,Overall,2.0,2.0,0.0,2.0,3.0,2.0,2.0,4.0,0.0,KURNOOL
40,10007,SC,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,KURNOOL
41,10007,ST,1.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,KURNOOL
42,10008,General,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,NELLORE
43,10008,Merged,,,,,,,,,,NELLORE
44,10008,OBC,1.0,4.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,NELLORE
45,10008,Overall,2.0,2.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,NELLORE
46,10008,SC,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,NELLORE
47,10008,ST,2.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,NELLORE
48,10009,General,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,PRAKASAM
49,10009,Merged,,,,,,,,,,PRAKASAM
50,10009,OBC,1.0,4.0,0.0,1.0,4.0,1.0,0.0,3.0,3.0,PRAKASAM
51,10009,Overall,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,0.0,PRAKASAM
52,10009,SC,4.0,3.0,3.0,0.0,4.0,3.0,2.0,0.0,1.0,PRAKASAM
53,10009,ST,2.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,PRAKASAM
54,10010,General,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,SRIKAKULAM
55,10010,Merged,,,,,,,,,,SRIKAKULAM
56,10010,OBC,1.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,SRIKAKULAM
57,10010,Overall,4.0,3.0,3.0,0.0,1.0,4.0,0.0,2.0,2.0,SRIKAKULAM
58,10010,SC,3.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,SRIKAKULAM
59,10010,ST,0.0,1.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,SRIKAKULAM
60,10011,General,4.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,VISAKHAPATNAM
61,10011,Merged,,,,,,,,,,VISAKHAPATNAM
62,10011,OBC,1.0,3.0,0.0,2.0,2.0,3.0,4.0,1.0,0.0,VISAKHAPATNAM
63,10011,Overall,4.0,1.0,3.0,0.0,4.0,4.0,0.0,2.0,2.0,VISAKHAPATNAM
64,10011,SC,3.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0,2.0,VISAKHAPATNAM
65,10011,ST,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,VISAKHAPATNAM
66,10012,General,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,VIZIANAGARAM
67,10012,Merged,,,,,,,,,,VIZIANAGARAM
68,10012,OBC,3.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,VIZIANAGARAM
69,10012,Overall,1.0,1.0,1.0,0.0,4.0,4.0,0.0,2.0,2.0,VIZIANAGARAM
70,10012,SC,1.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,VIZIANAGARAM
71,10012,ST,0.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,VIZIANAGARAM
72,10013,General,1.0,1.0,1.0,4.0,0.0,4.0,3.0,1.0,1.0,WEST GODAVARI
73,10013,Merged,,,,,,,,,,WEST GODAVARI
74,10013,OBC,3.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,WEST GODAVARI
75,10013,Overall,1.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,WEST GODAVARI
76,10013,SC,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,WEST GODAVARI
77,10013,ST,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,WEST GODAVARI
