,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10201,General,1,4,4,4,1,1,4,3,4,BAJALI
1,10201,OBC,3,3,3,4,1,1,2,0,4,BAJALI
2,10201,Overall,1,1,1,4,4,0,4,0,3,BAJALI
3,10201,SC,2,2,2,4,3,4,2,0,2,BAJALI
4,10201,ST,0,1,0,4,3,3,3,0,3,BAJALI
5,10202,General,2,2,2,0,4,4,2,2,2,BAKSA
6,10202,OBC,1,1,1,3,4,4,3,3,3,BAKSA
7,10202,Overall,2,2,2,2,2,4,0,2,0,BAKSA
8,10202,SC,3,3,3,3,0,0,3,3,3,BAKSA
9,10202,ST,3,3,3,0,4,0,4,2,4,BAKSA
10,10203,General,4,1,0,0,0,2,3,1,1,BARPETA
11,10203,OBC,1,1,1,0,0,0,3,3,3,BARPETA
12,10203,Overall,1,1,1,0,1,2,0,0,0,BARPETA
13,10203,SC,4,4,4,3,2,0,4,0,4,BARPETA
14,10203,ST,3,3,3,0,4,0,4,2,4,BARPETA
15,10204,General,1,4,4,1,0,2,4,3,4,BISWANATH
16,10204,OBC,3,3,3,0,0,0,2,0,4,BISWANATH
17,10204,Overall,1,1,1,0,1,2,4,0,3,BISWANATH
18,10204,SC,2,2,2,2,2,1,2,0,2,BISWANATH
19,10204,ST,0,1,0,0,0,0,3,0,3,BISWANATH
20,10205,General,1,4,4,0,0,2,3,1,1,BONGAIGAON
21,10205,OBC,3,3,3,0,0,0,2,0,4,BONGAIGAON
22,10205,Overall,1,1,1,0,1,2,4,0,3,BONGAIGAON
23,10205,SC,2,2,2,2,2,1,2,0,2,BONGAIGAON
24,10205,ST,0,1,0,0,0,0,3,0,3,BONGAIGAON
25,10206,General,1,4,4,1,0,2,4,3,4,CACHAR
26,10206,OBC,3,3,3,0,0,0,2,0,4,CACHAR
27,10206,Overall,1,1,1,0,1,0,4,0,3,CACHAR
28,10206,SC,2,2,2,2,2,1,2,0,2,CACHAR
29,10206,ST,0,1,0,4,3,3,2,0,0,CACHAR
30,10207,General,1,4,4,4,1,1,4,3,4,CHARAIDEO
31,10207,OBC,3,3,3,0,1,1,2,0,4,CHARAIDEO
32,10207,Overall,1,1,1,0,4,0,4,0,3,CHARAIDEO
33,10207,SC,2,2,2,2,3,1,2,0,2,CHARAIDEO
34,10207,ST,0,1,0,0,0,0,2,0,0,CHARAIDEO
35,10208,General,4,1,0,0,0,2,3,1,1,CHIRANG
36,10208,OBC,3,3,3,4,1,1,2,0,2,CHIRANG
37,10208,Overall,1,1,1,0,1,0,4,0,3,CHIRANG
38,10208,SC,2,2,2,4,2,1,2,0,2,CHIRANG
39,10208,ST,0,1,0,4,3,3,3,0,3,CHIRANG
40,10209,General,4,1,0,1,0,2,3,1,1,DARRANG
41,10209,OBC,3,3,3,4,1,1,2,0,4,DARRANG
42,10209,Overall,3,4,4,0,1,0,2,3,1,DARRANG
43,10209,SC,2,2,2,4,3,4,2,0,2,DARRANG
44,10209,ST,0,1,0,0,3,3,3,0,3,DARRANG
45,10210,General,4,1,0,1,0,2,3,1,1,DHEMAJI
46,10210,OBC,3,3,3,0,1,1,2,0,4,DHEMAJI
47,10210,Overall,3,4,4,0,4,0,2,3,1,DHEMAJI
48,10210,SC,2,2,2,4,3,4,2,0,2,DHEMAJI
49,10210,ST,0,1,0,3,3,3,3,0,1,DHEMAJI
50,10211,General,4,1,0,1,0,2,3,1,1,DHUBRI
51,10211,OBC,2,2,2,4,1,1,2,0,2,DHUBRI
52,10211,Overall,3,4,4,0,1,0,2,3,1,DHUBRI
53,10211,SC,2,2,2,2,3,1,2,1,2,DHUBRI
54,10211,ST,0,1,0,4,3,3,2,2,0,DHUBRI
55,10212,General,4,1,0,4,1,1,1,1,0,DIBRUGARH
56,10212,OBC,2,2,2,0,0,0,2,0,4,DIBRUGARH
57,10212,Overall,3,4,4,0,4,0,2,3,1,DIBRUGARH
58,10212,SC,2,2,2,4,2,1,2,1,2,DIBRUGARH
59,10212,ST,0,0,0,3,0,4,3,0,1,DIBRUGARH
60,10213,General,1,3,0,4,1,1,1,1,1,DIMA HASAO
61,10213,OBC,2,2,2,0,0,0,1,1,1,DIMA HASAO
62,10213,Overall,3,4,4,0,4,0,2,3,1,DIMA HASAO
63,10213,SC,1,2,1,4,3,4,2,1,1,DIMA HASAO
64,10213,ST,0,0,0,3,0,4,1,0,1,DIMA HASAO
65,10214,General,4,1,0,0,0,2,3,1,1,GOALPARA
66,10214,OBC,2,2,2,4,1,1,4,4,2,GOALPARA
67,10214,Overall,3,4,4,0,1,0,2,3,1,GOALPARA
68,10214,SC,1,0,1,2,2,2,2,1,1,GOALPARA
69,10214,ST,0,0,0,3,0,4,1,1,1,GOALPARA
70,10215,General,1,3,0,1,0,0,1,1,0,GOLAGHAT
71,10215,OBC,2,2,2,0,0,0,4,0,2,GOLAGHAT
72,10215,Overall,3,4,4,0,1,0,2,3,1,GOLAGHAT
73,10215,SC,1,0,1,2,2,2,0,1,1,GOLAGHAT
74,10215,ST,0,0,0,3,0,4,1,1,1,GOLAGHAT
75,10216,General,4,1,0,1,0,0,1,1,1,HAILAKANDI
76,10216,OBC,2,2,2,0,1,0,4,4,2,HAILAKANDI
77,10216,Overall,3,4,4,0,1,0,2,3,1,HAILAKANDI
78,10216,SC,1,0,1,2,2,2,0,1,1,HAILAKANDI
79,10216,ST,1,0,1,3,0,4,2,1,1,HAILAKANDI
80,10217,General,1,3,0,0,0,2,1,0,0,HOJAI
81,10217,OBC,2,2,2,0,0,0,4,4,2,HOJAI
82,10217,Overall,3,3,3,1,3,3,2,3,1,HOJAI
83,10217,SC,1,0,1,1,2,2,0,1,1,HOJAI
84,10217,ST,0,0,0,3,0,4,1,1,1,HOJAI
85,10218,General,0,3,1,1,1,0,1,0,0,JORHAT
86,10218,OBC,2,2,2,0,0,0,4,4,2,JORHAT
87,10218,Overall,3,3,3,3,0,1,2,3,1,JORHAT
88,10218,SC,1,0,1,4,4,3,0,1,1,JORHAT
89,10218,ST,0,0,0,3,0,4,1,1,1,JORHAT
90,10219,General,0,3,0,4,1,1,1,0,0,KAMRUP-METRO
91,10219,OBC,2,2,2,1,2,2,4,4,2,KAMRUP-METRO
92,10219,Overall,3,3,3,3,0,1,2,3,1,KAMRUP-METRO
93,10219,SC,1,0,1,0,1,2,0,1,1,KAMRUP-METRO
94,10219,ST,2,0,1,3,1,2,1,1,1,KAMRUP-METRO
95,10220,General,0,3,1,0,2,0,1,1,0,KAMRUP-RURAL
96,10220,OBC,2,2,2,0,0,0,4,4,2,KAMRUP-RURAL
97,10220,Overall,0,3,3,1,3,3,1,1,2,KAMRUP-RURAL
98,10220,SC,1,0,1,0,1,2,0,1,1,KAMRUP-RURAL
99,10220,ST,2,0,1,2,0,1,1,1,1,KAMRUP-RURAL
100,10221,General,0,3,1,4,1,1,1,0,0,KARBI ANGLONG
101,10221,OBC,0,4,0,0,0,0,0,1,1,KARBI ANGLONG
102,10221,Overall,0,3,3,3,0,1,1,1,2,KARBI ANGLONG
103,10221,SC,1,0,1,0,2,2,0,1,1,KARBI ANGLONG
104,10221,ST,2,0,1,3,0,4,1,1,1,KARBI ANGLONG
105,10222,General,0,3,1,3,2,0,1,0,0,KARIMGANJ
106,10222,OBC,0,4,0,0,0,0,1,1,1,KARIMGANJ
107,10222,Overall,0,3,3,1,3,3,1,1,2,KARIMGANJ
108,10222,SC,0,0,0,0,1,2,0,1,1,KARIMGANJ
109,10222,ST,1,0,1,1,1,2,1,1,1,KARIMGANJ
110,10223,General,0,3,1,3,2,0,1,0,0,KOKRAJHAR
