,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10501,General,0,1,0,2,3,2,1,4,3,BALOD
1,10501,OBC,0,3,0,1,1,1,3,2,3,BALOD
2,10501,Overall,2,4,2,0,1,4,2,1,2,BALOD
3,10501,SC,1,1,1,0,4,2,0,1,0,BALOD
4,10501,ST,2,2,2,4,1,1,4,1,0,BALOD
5,10502,General,3,1,3,3,3,4,2,0,2,BALODABAZAR
6,10502,OBC,0,3,0,1,1,1,3,2,3,BALODABAZAR
7,10502,Overall,2,4,2,3,3,3,2,1,2,BALODABAZAR
8,10502,SC,1,1,1,0,4,2,0,1,0,BALODABAZAR
9,10502,ST,2,2,2,3,4,3,2,1,0,BALODABAZAR
10,10503,General,3,1,3,3,4,1,2,4,3,BALRAMPUR
11,10503,OBC,0,3,0,1,1,1,3,2,3,BALRAMPUR
12,10503,Overall,2,4,2,3,3,3,2,1,2,BALRAMPUR
13,10503,SC,1,1,1,0,1,4,0,1,0,BALRAMPUR
14,10503,ST,2,2,2,3,4,3,2,1,0,BALRAMPUR
15,10504,General,0,3,0,3,3,4,1,4,3,BASTER
16,10504,OBC,0,3,0,1,1,1,3,2,3,BASTER
17,10504,Overall,2,4,2,3,3,3,2,1,2,BASTER
18,10504,SC,1,1,1,0,1,4,0,0,0,BASTER
19,10504,ST,2,2,2,3,4,3,2,1,0,BASTER
20,10505,General,3,3,3,3,1,4,2,0,2,BEMETARA
21,10505,OBC,0,3,0,1,4,1,3,2,3,BEMETARA
22,10505,Overall,2,1,2,3,3,3,2,2,4,BEMETARA
23,10505,SC,1,1,1,0,4,2,0,1,0,BEMETARA
24,10505,ST,2,2,2,3,4,3,4,1,0,BEMETARA
25,10506,General,3,1,3,2,1,2,2,0,2,BIJAPUR
26,10506,OBC,0,4,0,4,4,4,4,2,1,BIJAPUR
27,10506,Overall,1,1,1,3,3,3,2,2,2,BIJAPUR
28,10506,SC,0,0,0,3,1,2,0,1,0,BIJAPUR
29,10506,ST,4,4,4,3,4,3,2,4,0,BIJAPUR
30,10507,General,0,3,0,2,1,2,1,4,4,BILASPUR
31,10507,OBC,1,2,1,1,4,1,1,2,1,BILASPUR
32,10507,Overall,1,1,2,0,3,3,4,2,4,BILASPUR
33,10507,SC,0,0,0,3,4,2,0,1,0,BILASPUR
34,10507,ST,2,2,2,1,4,3,2,4,0,BILASPUR
35,10508,General,0,3,0,0,1,4,1,2,4,DANTEWADA
36,10508,OBC,1,2,1,3,4,3,1,4,1,DANTEWADA
37,10508,Overall,1,1,1,0,3,3,4,2,4,DANTEWADA
38,10508,SC,0,0,0,0,1,4,0,1,0,DANTEWADA
39,10508,ST,4,4,4,1,4,3,0,4,0,DANTEWADA
40,10509,General,0,3,0,2,1,2,1,2,4,DHAMTARI
41,10509,OBC,1,2,1,3,3,3,1,4,1,DHAMTARI
42,10509,Overall,1,3,1,0,1,2,4,2,4,DHAMTARI
43,10509,SC,0,0,0,3,2,0,0,1,0,DHAMTARI
44,10509,ST,1,1,1,1,1,3,0,4,0,DHAMTARI
45,10510,General,4,3,0,0,1,4,1,2,4,DURG
46,10510,OBC,1,2,1,3,3,3,1,4,4,DURG
47,10510,Overall,1,3,1,0,1,2,4,2,4,DURG
48,10510,SC,0,0,0,3,2,0,4,3,2,DURG
49,10510,ST,1,1,1,4,1,1,0,4,1,DURG
50,10511,General,0,4,0,2,1,2,1,2,4,GARIABAND
51,10511,OBC,1,2,1,3,3,3,1,1,4,GARIABAND
52,10511,Overall,4,3,4,0,2,2,0,0,0,GARIABAND
53,10511,SC,0,0,0,3,2,0,4,0,3,GARIABAND
54,10511,ST,1,1,1,1,2,2,0,4,1,GARIABAND
55,10512,General,0,4,0,0,2,1,4,2,0,GOURELA PENDRA MARVAHI
56,10512,OBC,1,2,1,3,3,3,1,1,4,GOURELA PENDRA MARVAHI
57,10512,Overall,4,3,4,4,2,2,0,0,0,GOURELA PENDRA MARVAHI
58,10512,SC,0,0,0,3,1,0,1,0,3,GOURELA PENDRA MARVAHI
59,10512,ST,1,1,1,2,2,2,0,0,1,GOURELA PENDRA MARVAHI
60,10513,General,4,2,4,0,1,0,4,0,2,JANJGIR - CHAMPA
61,10513,OBC,1,2,1,3,0,3,1,1,4,JANJGIR - CHAMPA
62,10513,Overall,4,3,4,4,2,2,0,0,0,JANJGIR - CHAMPA
63,10513,SC,2,2,2,3,2,0,4,3,2,JANJGIR - CHAMPA
64,10513,ST,1,1,1,1,2,2,0,0,1,JANJGIR - CHAMPA
65,10514,General,4,2,4,0,2,1,4,2,0,JASHPUR
66,10514,OBC,3,2,3,0,0,2,2,1,4,JASHPUR
67,10514,Overall,4,0,4,4,2,2,0,0,0,JASHPUR
68,10514,SC,2,2,2,1,2,0,4,3,2,JASHPUR
69,10514,ST,1,1,1,1,2,2,0,0,1,JASHPUR
