,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10701,General,0,0,0,1,4,0,1,0,0,Central
1,10701,OBC,0,1,0,0,2,0,0,0,0,Central
2,10701,Overall,0,0,0,0,4,2,2,2,2,Central
3,10701,SC,0,0,0,0,3,0,4,0,2,Central
4,10701,ST,3,3,3,0,2,0,2,3,2,Central
5,10702,General,0,0,0,1,2,0,1,0,0,East
6,10702,OBC,0,1,0,0,2,0,0,0,0,East
7,10702,Overall,0,0,0,0,2,4,2,2,2,East
8,10702,SC,0,0,0,4,1,3,4,0,2,East
9,10702,ST,0,1,1,2,2,0,2,1,2,East
10,10703,General,0,0,0,1,2,0,0,0,0,New Delhi
11,10703,OBC,0,1,0,0,2,0,0,0,0,New Delhi
12,10703,Overall,0,0,0,0,2,4,2,2,2,New Delhi
13,10703,SC,0,0,0,4,1,3,3,0,2,New Delhi
14,10703,ST,0,1,1,1,3,4,3,1,2,New Delhi
15,10704,General,0,0,0,0,2,0,0,4,3,North
16,10704,OBC,0,1,0,0,0,0,0,0,0,North
17,10704,Overall,0,0,0,2,2,2,4,4,4,North
18,10704,SC,0,0,0,0,1,0,2,0,0,North
19,10704,ST,0,1,1,2,3,2,4,1,1,North
20,10705,General,4,4,4,0,0,4,0,4,3,North East
21,10705,OBC,4,0,4,4,0,4,4,4,4,North East
22,10705,Overall,4,4,4,2,0,0,4,4,4,North East
23,10705,SC,4,4,4,0,2,0,2,3,0,North East
24,10705,ST,0,1,1,0,1,0,4,1,1,North East
25,10706,General,4,4,4,0,0,2,4,3,4,North West A
26,10706,OBC,4,0,4,4,0,4,4,4,4,North West A
27,10706,Overall,4,4,4,4,0,0,1,1,1,North West A
28,10706,SC,4,4,4,2,2,2,2,3,0,North West A
29,10706,ST,0,0,0,1,0,1,1,1,1,North West A
30,10707,General,2,2,2,2,0,2,4,3,4,North West B
31,10707,OBC,2,0,2,2,0,2,2,2,2,North West B
32,10707,Overall,2,2,2,4,0,0,1,1,1,North West B
33,10707,SC,2,2,2,2,2,2,2,1,0,North West B
34,10707,ST,4,0,0,1,1,1,1,4,4,North West B
35,10708,General,2,2,2,2,0,2,3,1,1,South
36,10708,OBC,2,0,2,2,4,2,2,2,2,South
37,10708,Overall,2,2,2,4,0,0,3,3,3,South
38,10708,SC,2,2,2,1,2,2,0,1,4,South
39,10708,ST,1,0,0,1,1,1,1,0,0,South
40,10709,General,3,3,3,2,1,1,3,1,1,South East
41,10709,OBC,3,2,1,3,4,3,3,3,3,South East
42,10709,Overall,3,3,3,1,3,1,3,3,3,South East
43,10709,SC,1,1,1,3,4,1,0,1,4,South East
44,10709,ST,1,0,0,4,4,1,0,0,0,South East
45,10710,General,3,3,3,4,1,1,2,1,2,South West A
46,10710,OBC,3,3,1,3,3,3,3,3,3,South West A
47,10710,Overall,3,3,3,1,3,1,0,0,0,South West A
48,10710,SC,1,1,1,3,4,1,0,4,3,South West A
49,10710,ST,1,4,2,3,4,3,0,0,0,South West A
50,10711,General,1,1,1,2,1,1,2,2,2,South West B
51,10711,OBC,1,3,1,1,3,1,1,1,1,South West B
52,10711,Overall,1,1,1,1,3,1,0,0,0,South West B
53,10711,SC,1,1,1,3,4,1,0,2,3,South West B
54,10711,ST,2,4,2,3,4,3,0,0,0,South West B
55,10712,General,1,1,1,3,3,3,2,2,2,West A
56,10712,OBC,1,4,3,1,1,1,1,1,1,West A
57,10712,Overall,1,1,1,3,1,3,0,0,0,West A
58,10712,SC,3,3,3,1,0,4,1,2,1,West A
59,10712,ST,2,2,4,3,4,3,0,2,3,West A
60,10713,General,1,1,1,3,3,3,2,2,2,West B
61,10713,OBC,1,4,3,1,1,1,1,1,1,West B
62,10713,Overall,1,1,1,3,1,3,0,0,0,West B
63,10713,SC,3,3,3,3,0,1,1,2,1,West B
64,10713,ST,2,2,4,3,0,3,0,0,3,West B
