Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
Central,General,0.0,0.0,0.0,1.58,1.56,1.57,7.84,5.09,6.34,10701,28.6194865,77.16752534307986,28.6194865,77.16752534307986
Central,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,10701,28.6194865,77.16752534307986,28.6194865,77.16752534307986
Central,SC,0.0,0.0,0.0,0.0,0.0,0.0,4.34,6.56,5.41,10701,28.6194865,77.16752534307986,28.6194865,77.16752534307986
Central,ST,11.43,8.0,9.41,5.71,0.0,0.0,0.0,12.0,7.59,10701,28.6194865,77.16752534307986,28.6194865,77.16752534307986
Central,Overall,0.0,0.0,0.0,0.71,0.4,0.55,6.77,4.95,5.8,10701,28.6194865,77.16752534307986,28.6194865,77.16752534307986
East,General,0.0,0.0,0.0,0.0,0.0,0.0,3.26,5.17,4.29,10702,28.6138954,77.2090057,28.6138954,77.2090057
East,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10702,28.6138954,77.2090057,28.6138954,77.2090057
East,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10702,28.6138954,77.2090057,28.6138954,77.2090057
East,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.52,8.04,10702,28.6138954,77.2090057,28.6138954,77.2090057
East,Overall,0.0,0.0,0.0,0.0,0.0,0.0,1.38,3.3,2.4,10702,28.6138954,77.2090057,28.6138954,77.2090057
New Delhi,General,0.0,0.0,0.0,2.66,2.62,2.65,3.23,1.32,2.23,10703,28.6138954,77.2090057,28.6138954,77.2090057
New Delhi,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10703,28.6138954,77.2090057,28.6138954,77.2090057
New Delhi,SC,0.0,0.0,0.0,0.0,4.12,0.39,0.0,0.0,0.0,10703,28.6138954,77.2090057,28.6138954,77.2090057
New Delhi,ST,0.0,0.0,0.0,0.0,3.12,0.88,14.94,0.0,0.0,10703,28.6138954,77.2090057,28.6138954,77.2090057
New Delhi,Overall,0.0,0.0,0.0,0.82,2.05,1.46,1.65,0.0,0.0,10703,28.6138954,77.2090057,28.6138954,77.2090057
