,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,10901,General,0,0,2,0,4,1,0,2,2,AHMEDABAD
1,10901,OBC,1,2,2,0,2,2,2,0,2,AHMEDABAD
2,10901,Overall,4,3,4,4,2,1,0,3,2,AHMEDABAD
3,10901,SC,2,2,2,0,0,2,2,3,3,AHMEDABAD
4,10901,ST,4,0,1,4,3,4,0,0,0,AHMEDABAD
5,10902,General,0,0,2,0,4,1,0,2,2,AMRELI
6,10902,OBC,1,2,2,0,4,2,2,0,2,AMRELI
7,10902,Overall,4,3,4,4,2,1,0,3,2,AMRELI
8,10902,SC,2,2,2,0,2,2,2,3,3,AMRELI
9,10902,ST,4,0,1,2,3,2,0,0,0,AMRELI
10,10903,General,0,0,2,1,0,1,0,2,2,ANAND
11,10903,OBC,1,2,2,0,4,2,2,0,2,ANAND
12,10903,Overall,4,3,4,4,2,1,0,3,2,ANAND
13,10903,SC,2,2,2,0,0,2,2,3,3,ANAND
14,10903,ST,4,0,1,4,1,4,0,3,0,ANAND
15,10904,General,0,0,2,1,4,1,0,2,2,ARAVALLI
16,10904,OBC,1,2,2,0,2,2,2,0,2,ARAVALLI
17,10904,Overall,4,3,4,4,2,1,0,3,2,ARAVALLI
18,10904,SC,2,2,2,0,0,2,2,3,3,ARAVALLI
19,10904,ST,4,0,1,4,1,4,0,3,0,ARAVALLI
20,10905,General,0,0,2,0,0,1,0,2,2,BANAS KANTHA
21,10905,OBC,1,2,2,0,2,2,2,0,1,BANAS KANTHA
22,10905,Overall,1,3,2,4,2,1,0,1,2,BANAS KANTHA
23,10905,SC,2,2,2,0,2,1,2,3,3,BANAS KANTHA
24,10905,ST,4,0,1,4,1,4,0,0,0,BANAS KANTHA
25,10906,General,0,0,2,1,0,0,0,2,2,BHARUCH
26,10906,OBC,1,2,2,2,2,2,2,0,2,BHARUCH
27,10906,Overall,1,3,2,0,2,1,0,3,2,BHARUCH
28,10906,SC,2,2,2,0,0,2,2,3,3,BHARUCH
29,10906,ST,4,0,1,2,1,4,0,0,0,BHARUCH
30,10907,General,0,0,2,0,0,1,0,2,2,BHAVNAGAR
31,10907,OBC,1,2,2,0,2,2,2,0,2,BHAVNAGAR
32,10907,Overall,1,3,2,2,2,4,0,1,2,BHAVNAGAR
33,10907,SC,4,4,1,2,4,1,1,0,1,BHAVNAGAR
34,10907,ST,2,4,2,2,3,2,4,2,3,BHAVNAGAR
35,10908,General,0,0,2,0,4,1,0,2,2,BOTAD
36,10908,OBC,1,2,2,0,4,2,2,0,2,BOTAD
37,10908,Overall,1,0,2,2,1,1,0,1,2,BOTAD
38,10908,SC,1,1,2,0,2,1,2,3,3,BOTAD
39,10908,ST,0,0,1,2,4,3,0,0,0,BOTAD
40,10909,General,0,0,0,0,0,0,0,4,1,CHHOTAUDEPUR
41,10909,OBC,0,1,1,2,2,2,4,0,1,CHHOTAUDEPUR
42,10909,Overall,1,0,2,2,2,4,3,1,3,CHHOTAUDEPUR
43,10909,SC,1,1,2,2,4,1,3,2,2,CHHOTAUDEPUR
44,10909,ST,0,0,1,1,1,3,0,0,0,CHHOTAUDEPUR
45,10910,General,0,0,0,1,0,0,0,0,1,DEVBHOOMI DWARKA
46,10910,OBC,0,1,1,2,4,2,1,0,1,DEVBHOOMI DWARKA
47,10910,Overall,1,0,2,0,1,2,3,1,3,DEVBHOOMI DWARKA
48,10910,SC,1,1,2,2,2,1,2,0,3,DEVBHOOMI DWARKA
49,10910,ST,0,0,1,2,1,2,0,3,0,DEVBHOOMI DWARKA
50,10911,General,0,0,0,1,0,0,3,0,1,DOHAD
51,10911,OBC,0,1,1,2,4,3,1,0,1,DOHAD
52,10911,Overall,1,0,2,0,1,2,3,1,3,DOHAD
53,10911,SC,1,1,2,0,0,2,2,0,3,DOHAD
54,10911,ST,0,0,1,1,1,2,0,0,0,DOHAD
55,10912,General,3,3,3,0,2,3,3,4,1,GANDHINAGAR
56,10912,OBC,0,1,1,0,2,4,1,0,1,GANDHINAGAR
57,10912,Overall,0,0,0,2,4,4,3,1,3,GANDHINAGAR
58,10912,SC,4,4,1,0,0,2,1,0,1,GANDHINAGAR
59,10912,ST,0,2,4,1,4,3,0,0,0,GANDHINAGAR
60,10913,General,2,4,0,0,0,0,3,0,1,GIR SOMNATH
61,10913,OBC,0,1,1,0,2,4,1,2,1,GIR SOMNATH
62,10913,Overall,0,2,0,2,1,4,3,1,3,GIR SOMNATH
63,10913,SC,1,1,3,0,0,2,1,0,1,GIR SOMNATH
64,10913,ST,0,0,4,1,1,3,0,3,0,GIR SOMNATH
65,10914,General,2,4,0,0,2,3,2,0,4,JAMNAGAR
66,10914,OBC,0,1,1,2,0,3,4,4,4,JAMNAGAR
67,10914,Overall,0,2,0,0,1,2,3,1,3,JAMNAGAR
68,10914,SC,4,1,1,2,4,1,1,0,1,JAMNAGAR
69,10914,ST,0,1,4,1,0,2,2,0,0,JAMNAGAR
70,10915,General,2,4,0,0,2,3,2,0,4,JUNAGADH
71,10915,OBC,2,4,4,0,2,4,3,2,3,JUNAGADH
72,10915,Overall,0,2,0,2,4,4,1,0,0,JUNAGADH
73,10915,SC,1,1,3,0,0,2,2,0,0,JUNAGADH
74,10915,ST,0,1,4,1,4,3,2,3,0,JUNAGADH
75,10916,General,2,4,0,3,1,0,3,0,4,KACHCHH
76,10916,OBC,2,4,4,2,0,3,1,4,4,KACHCHH
77,10916,Overall,0,2,0,0,1,2,3,0,0,KACHCHH
78,10916,SC,1,1,3,2,2,1,1,0,1,KACHCHH
79,10916,ST,0,1,4,0,0,0,0,0,0,KACHCHH
80,10917,General,2,4,0,3,1,0,2,0,4,KHEDA
81,10917,OBC,2,4,4,2,0,3,3,2,3,KHEDA
82,10917,Overall,0,2,0,0,1,2,1,0,0,KHEDA
83,10917,SC,1,1,3,2,2,1,1,0,1,KHEDA
84,10917,ST,1,1,0,0,0,0,2,4,4,KHEDA
85,10918,General,2,4,0,3,2,0,2,3,4,MAHESANA
86,10918,OBC,2,4,4,2,0,3,3,2,3,MAHESANA
87,10918,Overall,3,2,0,0,3,2,1,0,0,MAHESANA
88,10918,SC,3,3,3,1,0,0,0,1,0,MAHESANA
89,10918,ST,1,1,0,1,2,3,2,1,0,MAHESANA
90,10919,General,2,1,4,3,1,0,2,3,0,MAHISAGAR
91,10919,OBC,2,4,4,1,0,4,3,2,3,MAHISAGAR
92,10919,Overall,3,2,0,3,3,3,1,0,0,MAHISAGAR
93,10919,SC,3,3,3,1,0,0,1,0,1,MAHISAGAR
94,10919,ST,1,1,0,1,2,1,2,4,4,MAHISAGAR
95,10920,General,2,1,4,2,2,3,2,3,0,MORBI
96,10920,OBC,2,0,0,2,0,3,1,4,4,MORBI
