,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11001,General,0,0,2,4,4,4,0,3,3,AMBALA
1,11001,OBC,2,2,2,3,1,3,1,1,1,AMBALA
2,11001,Overall,4,4,4,0,4,4,2,2,0,AMBALA
3,11001,SC,4,4,4,2,4,4,4,2,4,AMBALA
4,11001,ST,0,4,0,0,4,0,0,4,0,AMBALA
5,11002,General,0,0,2,4,4,4,0,3,3,BHIWANI
6,11002,OBC,2,2,2,3,1,3,1,1,1,BHIWANI
7,11002,Overall,4,4,4,0,4,4,2,2,0,BHIWANI
8,11002,SC,4,4,4,2,4,4,4,2,4,BHIWANI
9,11002,ST,0,4,0,0,4,0,0,4,0,BHIWANI
10,11003,General,0,0,2,4,4,4,0,3,3,CHARKHI DADRI
11,11003,OBC,2,2,2,3,1,3,1,1,1,CHARKHI DADRI
12,11003,Overall,4,4,4,0,4,4,2,2,0,CHARKHI DADRI
13,11003,SC,4,4,4,2,4,4,4,2,4,CHARKHI DADRI
14,11003,ST,0,4,0,0,4,0,0,4,0,CHARKHI DADRI
15,11004,General,0,0,2,1,1,1,0,3,3,FARIDABAD
16,11004,OBC,2,2,2,1,1,4,1,1,1,FARIDABAD
17,11004,Overall,4,4,4,0,3,3,2,2,0,FARIDABAD
18,11004,SC,4,4,4,2,2,1,4,2,4,FARIDABAD
19,11004,ST,0,4,0,0,4,0,0,4,0,FARIDABAD
20,11005,General,0,0,2,1,1,1,0,1,1,FATEHABAD
21,11005,OBC,4,4,4,3,0,3,0,4,4,FATEHABAD
22,11005,Overall,2,2,2,0,3,3,4,4,4,FATEHABAD
23,11005,SC,2,2,2,1,2,1,3,2,3,FATEHABAD
24,11005,ST,0,2,0,0,2,0,0,2,0,FATEHABAD
25,11006,General,4,0,0,1,1,1,0,1,1,GURUGRAM
26,11006,OBC,4,4,4,1,0,1,0,4,4,GURUGRAM
27,11006,Overall,2,2,2,4,3,3,4,4,4,GURUGRAM
28,11006,SC,2,2,2,2,2,1,3,3,3,GURUGRAM
29,11006,ST,0,2,0,0,2,0,0,2,0,GURUGRAM
30,11007,General,4,0,0,1,1,1,0,1,1,HISAR
31,11007,OBC,4,4,4,1,0,1,0,4,4,HISAR
32,11007,Overall,2,2,2,4,3,3,4,4,4,HISAR
33,11007,SC,2,2,2,1,0,1,3,3,3,HISAR
34,11007,ST,0,2,0,0,2,0,0,2,0,HISAR
35,11008,General,4,1,0,1,1,1,2,1,1,JHAJJAR
36,11008,OBC,4,4,4,4,0,3,0,4,4,JHAJJAR
37,11008,Overall,2,2,2,4,1,1,4,4,4,JHAJJAR
38,11008,SC,2,2,2,1,2,1,3,3,3,JHAJJAR
39,11008,ST,0,2,0,0,2,0,0,2,0,JHAJJAR
40,11009,General,2,1,0,2,3,2,2,1,1,JIND
41,11009,OBC,3,3,3,1,0,1,0,2,2,JIND
42,11009,Overall,3,3,3,4,1,1,1,1,2,JIND
43,11009,SC,3,3,3,1,0,0,1,3,1,JIND
44,11009,ST,3,3,3,4,3,4,4,3,4,JIND
45,11010,General,2,1,0,2,3,2,2,1,1,KAITHAL
46,11010,OBC,3,3,3,1,0,1,0,2,2,KAITHAL
47,11010,Overall,3,3,3,4,1,1,1,1,2,KAITHAL
48,11010,SC,3,3,3,1,0,0,1,4,1,KAITHAL
49,11010,ST,3,3,3,4,3,4,4,3,4,KAITHAL
