,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11101,General,4,0,4,0,0,4,1,1,2,BILASPUR (H.P.)
1,11101,OBC,2,1,0,4,2,0,2,2,0,BILASPUR (H.P.)
2,11101,Overall,0,0,4,0,1,1,1,0,0,BILASPUR (H.P.)
3,11101,SC,0,2,0,2,1,2,4,3,0,BILASPUR (H.P.)
4,11101,ST,1,0,0,0,1,2,4,3,1,BILASPUR (H.P.)
5,11102,General,2,0,2,0,0,1,1,1,2,CHAMBA
6,11102,OBC,2,1,0,2,2,0,2,2,0,CHAMBA
7,11102,Overall,0,0,4,0,0,2,1,0,0,CHAMBA
8,11102,SC,0,2,0,2,0,2,3,3,0,CHAMBA
9,11102,ST,1,0,0,0,1,2,4,4,1,CHAMBA
10,11103,General,2,0,2,0,0,4,1,1,2,HAMIRPUR (H.P.)
11,11103,OBC,2,1,0,1,2,2,0,2,0,HAMIRPUR (H.P.)
12,11103,Overall,0,0,1,0,1,1,4,0,0,HAMIRPUR (H.P.)
13,11103,SC,0,2,0,0,1,1,2,0,0,HAMIRPUR (H.P.)
14,11103,ST,1,0,0,0,2,2,1,4,1,HAMIRPUR (H.P.)
15,11104,General,2,0,2,0,0,1,1,2,1,KANGRA
16,11104,OBC,1,1,0,1,2,2,0,4,0,KANGRA
17,11104,Overall,0,0,1,0,1,1,4,0,0,KANGRA
18,11104,SC,0,2,0,0,1,1,2,0,0,KANGRA
19,11104,ST,1,0,0,0,2,2,1,1,4,KANGRA
20,11105,General,3,3,3,3,4,0,4,3,3,KINNAUR
21,11105,OBC,1,2,1,1,3,2,0,4,4,KINNAUR
22,11105,Overall,3,2,3,4,0,2,3,3,1,KINNAUR
23,11105,SC,2,3,1,4,0,4,2,0,3,KINNAUR
24,11105,ST,4,2,4,0,2,1,1,1,4,KINNAUR
25,11106,General,0,4,0,1,3,3,3,2,1,KULLU
26,11106,OBC,3,4,1,1,4,4,0,3,4,KULLU
27,11106,Overall,4,4,0,1,2,4,0,3,4,KULLU
28,11106,SC,4,0,4,0,0,4,2,0,3,KULLU
29,11106,ST,4,2,4,1,2,1,2,1,2,KULLU
30,11107,General,0,2,0,4,2,0,2,4,4,LAHUL & SPITI
31,11107,OBC,4,3,3,3,0,1,4,1,2,LAHUL & SPITI
32,11107,Overall,4,1,0,3,3,3,0,2,1,LAHUL & SPITI
33,11107,SC,4,4,1,0,3,3,1,2,2,LAHUL & SPITI
34,11107,ST,0,2,1,4,3,3,0,2,0,LAHUL & SPITI
35,11108,General,0,2,0,1,3,3,0,0,0,MANDI
36,11108,OBC,0,0,4,3,0,1,4,1,2,MANDI
37,11108,Overall,1,1,0,1,2,4,0,4,3,MANDI
38,11108,SC,3,0,2,1,2,0,0,4,4,MANDI
39,11108,ST,3,1,1,1,0,0,0,0,0,MANDI
40,11109,General,0,2,0,2,1,2,0,0,0,SHIMLA
41,11109,OBC,0,0,4,0,0,1,3,0,3,SHIMLA
42,11109,Overall,1,1,0,2,2,0,0,4,3,SHIMLA
43,11109,SC,3,0,2,1,2,0,0,4,4,SHIMLA
44,11109,ST,3,1,1,1,0,0,0,0,0,SHIMLA
45,11110,General,1,1,1,2,1,2,0,0,0,SIRMAUR
46,11110,OBC,0,0,2,0,0,1,3,0,3,SIRMAUR
47,11110,Overall,2,3,2,2,4,0,2,1,2,SIRMAUR
48,11110,SC,1,1,3,1,2,0,0,1,1,SIRMAUR
49,11110,ST,0,4,3,2,4,4,0,0,3,SIRMAUR
50,11111,General,1,1,1,2,1,2,0,0,0,SOLAN
51,11111,OBC,0,0,2,0,1,3,1,0,1,SOLAN
52,11111,Overall,2,3,2,2,4,0,2,1,2,SOLAN
53,11111,SC,1,1,3,1,2,0,0,1,1,SOLAN
54,11111,ST,2,3,2,3,0,0,3,0,3,SOLAN
55,11112,General,1,1,1,2,1,2,0,0,0,UNA
56,11112,OBC,0,0,2,0,1,3,1,0,1,UNA
57,11112,Overall,2,3,2,2,4,0,2,1,2,UNA
58,11112,SC,1,1,3,3,4,0,0,1,1,UNA
59,11112,ST,2,3,2,3,0,0,3,0,3,UNA
