,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11201,General,1,2,1,4,2,0,1,0,2,ANANTNAG
1,11201,OBC,4,4,4,3,0,2,0,0,0,ANANTNAG
2,11201,Overall,2,3,3,2,0,1,4,2,3,ANANTNAG
3,11201,SC,0,4,1,3,0,1,1,0,0,ANANTNAG
4,11201,ST,4,0,0,2,1,3,2,0,4,ANANTNAG
5,11202,General,1,2,1,3,2,0,1,0,2,BADGAM
6,11202,OBC,4,4,4,2,3,3,0,0,0,BADGAM
7,11202,Overall,2,3,3,1,0,1,4,2,3,BADGAM
8,11202,SC,4,3,4,3,1,4,4,0,0,BADGAM
9,11202,ST,0,0,0,3,0,4,2,3,1,BADGAM
10,11203,General,1,2,1,4,3,1,1,0,2,BANDIPORA
11,11203,OBC,4,4,4,3,1,2,0,0,0,BANDIPORA
12,11203,Overall,2,3,3,2,3,0,4,2,3,BANDIPORA
13,11203,SC,0,4,1,3,0,1,1,0,0,BANDIPORA
14,11203,ST,0,0,0,2,3,1,2,3,4,BANDIPORA
15,11204,General,1,2,1,4,2,0,1,2,2,BARAMULA
16,11204,OBC,4,4,4,2,3,3,0,0,0,BARAMULA
17,11204,Overall,2,3,3,1,0,1,1,2,0,BARAMULA
18,11204,SC,1,0,0,3,2,1,3,1,1,BARAMULA
19,11204,ST,0,0,0,2,4,1,2,0,4,BARAMULA
20,11205,General,1,2,1,3,2,0,3,0,0,DODA
21,11205,OBC,0,0,0,3,0,2,1,1,1,DODA
22,11205,Overall,3,1,1,1,0,1,1,0,0,DODA
23,11205,SC,0,4,1,4,0,1,1,0,0,DODA
24,11205,ST,0,0,0,1,1,3,2,0,1,DODA
25,11206,General,0,0,0,2,2,0,3,0,0,GANDERBAL
26,11206,OBC,2,2,2,2,0,1,1,4,1,GANDERBAL
27,11206,Overall,3,1,1,2,0,0,1,0,0,GANDERBAL
28,11206,SC,0,4,1,3,0,1,1,0,0,GANDERBAL
29,11206,ST,0,1,1,1,1,3,0,0,2,GANDERBAL
30,11207,General,0,0,0,3,2,0,3,2,0,JAMMU
31,11207,OBC,3,1,1,2,3,3,0,0,0,JAMMU
32,11207,Overall,0,1,1,4,0,2,1,0,0,JAMMU
33,11207,SC,0,4,1,4,0,1,1,0,0,JAMMU
34,11207,ST,4,0,0,3,1,4,2,2,1,JAMMU
35,11208,General,0,0,0,1,2,0,3,0,0,KATHUA
36,11208,OBC,3,1,1,2,3,3,0,0,0,KATHUA
37,11208,Overall,0,1,1,4,0,2,1,0,0,KATHUA
38,11208,SC,0,4,1,4,0,1,1,0,0,KATHUA
39,11208,ST,0,1,1,1,1,3,0,0,2,KATHUA
40,11209,General,0,0,0,2,4,1,3,2,0,KISHTWAR
41,11209,OBC,0,0,0,2,3,3,1,1,1,KISHTWAR
42,11209,Overall,3,4,4,2,4,0,0,0,0,KISHTWAR
43,11209,SC,0,1,1,0,0,0,1,0,0,KISHTWAR
44,11209,ST,2,1,1,0,3,1,0,0,2,KISHTWAR
45,11210,General,0,0,0,1,4,0,0,2,0,KULGAM
