Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
ANANTNAG,General,5.24,6.11,5.69,1.05,3.56,2.34,2.52,8.12,5.39,11201,33.7368773,75.1455138,33.6649297,75.1629584
ANANTNAG,OBC,0.0,0.0,0.0,1.84,2.62,2.23,31.9,33.86,32.86,11201,33.7368773,75.1455138,33.6649297,75.1629584
ANANTNAG,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11201,33.7368773,75.1455138,33.6649297,75.1629584
ANANTNAG,ST,0.0,0.0,0.0,6.77,4.48,5.59,14.05,15.19,14.72,11201,33.7368773,75.1455138,33.6649297,75.1629584
ANANTNAG,Overall,1.9,3.12,2.53,1.83,3.57,2.73,6.61,11.34,9.05,11201,33.7368773,75.1455138,33.6649297,75.1629584
BADGAM,General,5.48,6.04,5.77,2.19,3.79,3.01,6.1,1.01,3.55,11202,33.6649297,75.1629584,33.6649297,75.1629584
BADGAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,11202,33.6649297,75.1629584,33.6649297,75.1629584
BADGAM,SC,17.65,14.29,15.56,0.0,16.67,5.88,33.33,0.0,12.5,11202,33.6649297,75.1629584,33.6649297,75.1629584
BADGAM,ST,7.02,5.35,6.16,0.0,0.0,0.0,0.0,0.0,0.0,11202,33.6649297,75.1629584,33.6649297,75.1629584
BADGAM,Overall,3.71,3.88,3.8,0.63,2.1,1.38,4.15,0.28,2.2,11202,33.6649297,75.1629584,33.6649297,75.1629584
BANDIPORA,General,8.1,6.2,7.13,2.27,3.07,2.67,18.15,5.8,12.16,11203,34.4232433,74.635965,33.6649297,75.1629584
BANDIPORA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,15.53,28.32,22.13,11203,34.4232433,74.635965,33.6649297,75.1629584
BANDIPORA,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203,34.4232433,74.635965,33.6649297,75.1629584
BANDIPORA,ST,1.17,3.76,2.49,2.77,3.78,3.3,29.81,23.16,26.03,11203,34.4232433,74.635965,33.6649297,75.1629584
BANDIPORA,Overall,4.29,3.91,4.1,1.68,2.05,1.87,20.17,11.81,15.95,11203,34.4232433,74.635965,33.6649297,75.1629584
BARAMULA,General,6.32,5.06,5.68,5.95,7.84,6.91,5.56,6.63,6.1,11204,33.6649297,75.1629584,33.6649297,75.1629584
BARAMULA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,11204,33.6649297,75.1629584,33.6649297,75.1629584
BARAMULA,SC,71.79,81.82,77.11,87.5,92.59,90.2,85.71,0.0,0.0,11204,33.6649297,75.1629584,33.6649297,75.1629584
BARAMULA,ST,1.93,5.5,3.78,9.35,2.02,5.39,45.24,20.47,30.55,11204,33.6649297,75.1629584,33.6649297,75.1629584
BARAMULA,Overall,3.55,3.17,3.36,2.58,4.87,3.74,5.37,6.76,6.08,11204,33.6649297,75.1629584,33.6649297,75.1629584
DODA,General,6.12,7.12,6.64,2.76,1.91,2.32,3.29,2.55,2.89,11205,33.1449112,75.5473969,33.6649297,75.1629584
DODA,OBC,27.66,29.13,28.43,23.53,19.73,21.42,25.27,30.63,28.22,11205,33.1449112,75.5473969,33.6649297,75.1629584
DODA,SC,1.28,1.05,1.16,4.47,0.28,2.33,4.61,4.25,4.43,11205,33.1449112,75.5473969,33.6649297,75.1629584
DODA,ST,3.22,5.2,4.27,6.71,0.0,1.51,12.25,8.14,9.89,11205,33.1449112,75.5473969,33.6649297,75.1629584
DODA,Overall,5.59,6.59,6.11,3.81,1.54,2.64,4.84,4.14,4.48,11205,33.1449112,75.5473969,33.6649297,75.1629584
GANDERBAL,General,3.25,4.59,3.92,0.95,1.34,1.15,0.93,15.11,8.36,11206,34.1913902,74.7962566,33.6649297,75.1629584
GANDERBAL,OBC,14.98,19.03,17.01,13.37,13.22,13.29,30.93,0.0,12.68,11206,34.1913902,74.7962566,33.6649297,75.1629584
GANDERBAL,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11206,34.1913902,74.7962566,33.6649297,75.1629584
GANDERBAL,ST,7.8,7.46,7.63,6.98,14.25,10.72,18.91,8.42,12.75,11206,34.1913902,74.7962566,33.6649297,75.1629584
GANDERBAL,Overall,6.04,7.28,6.66,4.14,5.64,4.9,7.09,11.32,9.33,11206,34.1913902,74.7962566,33.6649297,75.1629584
JAMMU,General,6.68,5.87,6.24,5.4,3.52,4.36,2.82,0.0,0.99,11207,32.7185614,74.8580917,33.6649297,75.1629584
JAMMU,OBC,3.43,2.21,2.78,4.84,0.0,0.44,0.0,0.0,0.0,11207,32.7185614,74.8580917,33.6649297,75.1629584
JAMMU,SC,0.31,0.0,0.0,1.41,0.0,0.44,2.2,2.4,2.31,11207,32.7185614,74.8580917,33.6649297,75.1629584
