Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
BOKARO,General,0.21,3.03,1.81,0.0,0.0,0.0,0.0,0.0,0.0,11301,23.6544338,86.1456444,23.4559809,85.2557301
BOKARO,OBC,0.0,1.03,0.34,2.65,0.73,1.69,8.14,4.05,6.15,11301,23.6544338,86.1456444,23.4559809,85.2557301
BOKARO,SC,0.0,0.24,0.0,0.71,0.41,0.55,5.95,4.9,5.43,11301,23.6544338,86.1456444,23.4559809,85.2557301
BOKARO,ST,1.7,3.07,2.41,0.0,0.89,0.43,5.51,7.33,6.4,11301,23.6544338,86.1456444,23.4559809,85.2557301
BOKARO,Overall,0.0,1.6,0.77,1.06,0.0,0.28,4.88,3.2,4.03,11301,23.6544338,86.1456444,23.4559809,85.2557301
CHATRA,General,12.13,11.57,11.83,7.95,7.74,7.85,3.47,11.57,7.42,11302,24.205500999999998,84.87555575068424,23.4559809,85.2557301
CHATRA,OBC,0.0,1.83,0.94,2.07,2.93,2.5,8.66,12.87,10.67,11302,24.205500999999998,84.87555575068424,23.4559809,85.2557301
CHATRA,SC,4.77,5.31,5.05,10.62,13.27,11.93,12.04,15.97,13.88,11302,24.205500999999998,84.87555575068424,23.4559809,85.2557301
CHATRA,ST,3.46,2.7,3.08,5.7,7.28,6.43,13.73,20.53,16.67,11302,24.205500999999998,84.87555575068424,23.4559809,85.2557301
CHATRA,Overall,2.99,3.99,3.5,5.73,7.2,6.45,9.33,13.85,11.47,11302,24.205500999999998,84.87555575068424,23.4559809,85.2557301
DEOGHAR,General,19.82,17.95,18.78,11.22,6.75,8.78,0.0,0.0,0.0,11303,24.4898318,86.6990182,23.4559809,85.2557301
DEOGHAR,OBC,0.0,0.0,0.0,6.47,4.99,5.74,20.74,15.28,17.98,11303,24.4898318,86.6990182,23.4559809,85.2557301
DEOGHAR,SC,0.0,0.0,0.0,7.99,5.17,6.56,20.07,11.2,15.26,11303,24.4898318,86.6990182,23.4559809,85.2557301
DEOGHAR,ST,6.97,8.3,7.66,15.41,18.93,17.24,19.81,14.44,17.2,11303,24.4898318,86.6990182,23.4559809,85.2557301
DEOGHAR,Overall,2.11,2.22,2.17,8.15,6.71,7.42,14.78,8.2,11.37,11303,24.4898318,86.6990182,23.4559809,85.2557301
DHANBAD,General,7.35,8.39,7.94,2.65,5.26,4.12,0.0,0.0,0.0,11304,23.7952809,86.4309638,23.4559809,85.2557301
DHANBAD,OBC,0.0,0.45,0.0,3.2,6.02,4.63,12.19,12.85,12.51,11304,23.7952809,86.4309638,23.4559809,85.2557301
DHANBAD,SC,0.0,1.24,0.0,4.46,7.59,6.02,13.22,11.47,12.4,11304,23.7952809,86.4309638,23.4559809,85.2557301
DHANBAD,ST,3.07,4.29,3.71,5.43,10.18,7.81,3.8,8.24,5.92,11304,23.7952809,86.4309638,23.4559809,85.2557301
DHANBAD,Overall,0.46,2.83,1.73,3.56,6.52,5.09,4.18,7.39,5.8,11304,23.7952809,86.4309638,23.4559809,85.2557301
DUMKA,General,21.86,14.74,18.1,2.77,7.25,5.14,0.0,0.0,0.0,11305,24.289847,87.255188,23.4559809,85.2557301
DUMKA,OBC,0.0,0.0,0.0,4.72,5.65,5.18,17.65,18.75,18.2,11305,24.289847,87.255188,23.4559809,85.2557301
DUMKA,SC,2.65,1.19,1.92,9.43,5.49,7.47,14.02,2.78,8.64,11305,24.289847,87.255188,23.4559809,85.2557301
DUMKA,ST,0.39,3.52,1.99,4.41,7.11,5.75,0.64,6.22,3.32,11305,24.289847,87.255188,23.4559809,85.2557301
DUMKA,Overall,0.37,1.55,0.97,4.87,6.25,5.56,10.14,12.48,11.29,11305,24.289847,87.255188,23.4559809,85.2557301
GARHWA,General,11.15,7.61,9.23,19.18,16.72,17.9,34.37,41.48,38.12,11306,24.14958,83.82478,23.4559809,85.2557301
GARHWA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,17.85,23.44,20.46,11306,24.14958,83.82478,23.4559809,85.2557301
GARHWA,SC,0.3,0.09,0.2,5.05,5.89,5.46,17.99,30.02,23.93,11306,24.14958,83.82478,23.4559809,85.2557301
GARHWA,ST,0.84,2.7,1.8,3.72,8.82,6.13,19.98,31.86,25.03,11306,24.14958,83.82478,23.4559809,85.2557301
GARHWA,Overall,0.0,0.0,0.0,1.88,1.81,1.85,19.33,27.65,23.26,11306,24.14958,83.82478,23.4559809,85.2557301
GIRIDIH,General,9.06,9.97,9.57,1.36,0.0,0.37,3.21,8.56,6.08,11307,24.1862602,86.3087238,23.4559809,85.2557301
GIRIDIH,OBC,0.91,1.97,1.46,3.51,3.94,3.73,17.5,12.45,15.09,11307,24.1862602,86.3087238,23.4559809,85.2557301
GIRIDIH,SC,0.0,0.0,0.0,4.89,3.24,4.09,13.69,13.05,13.39,11307,24.1862602,86.3087238,23.4559809,85.2557301
GIRIDIH,ST,5.75,7.85,6.83,10.21,12.79,11.48,12.97,30.49,21.84,11307,24.1862602,86.3087238,23.4559809,85.2557301
GIRIDIH,Overall,1.65,3.02,2.36,4.12,4.22,4.17,15.18,13.31,14.28,11307,24.1862602,86.3087238,23.4559809,85.2557301
GODDA,General,4.65,15.79,11.16,15.56,19.34,17.48,0.0,0.0,0.0,11308,25.1166155,87.5833417,23.4559809,85.2557301
GODDA,OBC,0.0,0.0,0.0,6.45,4.53,5.52,15.86,14.05,14.95,11308,25.1166155,87.5833417,23.4559809,85.2557301
GODDA,SC,0.0,0.0,0.0,8.69,7.98,8.33,6.36,0.53,3.16,11308,25.1166155,87.5833417,23.4559809,85.2557301
GODDA,ST,6.1,6.28,6.19,6.83,6.75,6.79,5.29,9.89,7.68,11308,25.1166155,87.5833417,23.4559809,85.2557301
GODDA,Overall,0.31,0.52,0.41,7.03,5.79,6.42,9.92,8.89,9.39,11308,25.1166155,87.5833417,23.4559809,85.2557301
GUMLA,General,7.95,5.19,6.48,0.0,0.0,0.0,0.0,0.0,0.0,11309,23.09166,84.57292,23.4559809,85.2557301
GUMLA,OBC,2.67,5.41,4.05,5.77,6.15,5.95,14.01,15.02,14.48,11309,23.09166,84.57292,23.4559809,85.2557301
GUMLA,SC,18.14,11.78,14.87,13.04,6.46,9.58,23.17,23.42,23.3,11309,23.09166,84.57292,23.4559809,85.2557301
GUMLA,ST,5.62,7.89,6.78,7.12,7.22,7.16,18.77,21.27,19.93,11309,23.09166,84.57292,23.4559809,85.2557301
GUMLA,Overall,5.74,7.52,6.65,6.7,6.62,6.66,16.65,18.82,17.67,11309,23.09166,84.57292,23.4559809,85.2557301
HAZARIBAG,General,28.49,28.34,28.4,21.08,19.53,20.26,8.32,0.0,0.0,11310,23.96535,85.43735,23.4559809,85.2557301
HAZARIBAG,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,11310,23.96535,85.43735,23.4559809,85.2557301
HAZARIBAG,SC,3.03,3.04,3.04,7.72,6.99,7.37,8.43,1.33,5.08,11310,23.96535,85.43735,23.4559809,85.2557301
HAZARIBAG,ST,9.1,10.33,9.73,6.02,6.88,6.46,6.84,7.78,7.29,11310,23.96535,85.43735,23.4559809,85.2557301
HAZARIBAG,Overall,3.35,4.25,3.83,2.6,1.08,1.84,4.44,0.0,0.55,11310,23.96535,85.43735,23.4559809,85.2557301
JAMTARA,General,0.0,1.93,0.0,0.0,7.51,1.46,0.0,0.0,0.0,11311,23.92257,86.77379,23.4559809,85.2557301
JAMTARA,OBC,0.0,0.0,0.0,4.75,4.7,4.72,14.7,13.17,13.96,11311,23.92257,86.77379,23.4559809,85.2557301
