,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,11401,General,2,3,0.0,4,1,0.0,0,0,0.0
1,11402,General,3,2,3.0,3,3,4.0,2,2,2.0
2,11403,General,2,3,0.0,3,3,2.0,0,0,0.0
3,11404,General,2,3,0.0,3,3,4.0,0,0,0.0
4,11405,General,2,3,0.0,1,2,2.0,0,0,0.0
5,11406,General,2,3,0.0,1,2,2.0,0,0,0.0
6,11407,General,2,3,0.0,1,2,2.0,0,0,0.0
7,11408,General,2,3,0.0,3,3,4.0,0,0,0.0
8,11409,General,2,3,0.0,4,1,0.0,0,0,0.0
9,11410,General,2,3,0.0,4,1,0.0,0,0,0.0
10,11411,General,2,3,0.0,1,2,2.0,0,0,0.0
11,11412,General,0,3,1.0,0,2,2.0,0,0,0.0
12,11413,General,2,1,0.0,4,1,0.0,3,1,3.0
13,11414,General,0,0,1.0,1,2,0.0,0,0,0.0
14,11415,General,1,1,0.0,4,2,0.0,3,1,3.0
15,11416,General,0,0,1.0,1,1,0.0,3,1,3.0
16,11417,General,1,1,0.0,1,1,0.0,3,1,3.0
17,11418,General,1,0,2.0,1,4,0.0,3,1,3.0
18,11419,General,0,0,2.0,0,4,3.0,1,0,1.0
19,11420,General,0,0,1.0,4,1,0.0,3,0,1.0
20,11421,General,1,1,2.0,4,1,1.0,1,1,1.0
21,11422,General,0,1,2.0,4,1,1.0,3,1,3.0
22,11423,General,1,1,2.0,0,4,3.0,3,1,3.0
23,11424,General,1,1,2.0,1,0,0.0,1,1,1.0
24,11425,General,1,1,2.0,0,4,3.0,1,1,1.0
25,11426,General,0,0,2.0,0,4,3.0,1,3,1.0
26,11427,General,1,1,2.0,1,0,0.0,4,4,4.0
27,11428,General,0,0,2.0,0,4,3.0,1,3,1.0
28,11429,General,0,0,1.0,0,4,3.0,4,4,4.0
29,11430,General,4,4,2.0,2,0,1.0,4,4,4.0
30,11431,General,4,4,4.0,2,0,1.0,4,4,4.0
