,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11501,General,0,0,0,4,3,3,0,2,3,ALAPPUZHA
1,11501,OBC,3,3,3,2,4,2,0,2,0,ALAPPUZHA
2,11501,Overall,2,0,2,2,0,0,3,3,3,ALAPPUZHA
3,11501,SC,4,0,0,2,0,0,2,2,1,ALAPPUZHA
4,11501,ST,4,0,2,1,3,4,0,4,4,ALAPPUZHA
5,11502,General,0,0,0,4,3,3,0,2,3,ERNAKULAM
6,11502,OBC,3,3,3,2,2,2,0,2,0,ERNAKULAM
7,11502,Overall,2,0,2,2,0,0,3,3,3,ERNAKULAM
8,11502,SC,4,0,0,2,0,0,2,2,1,ERNAKULAM
9,11502,ST,2,4,4,0,1,1,1,0,3,ERNAKULAM
10,11503,General,0,0,0,3,0,4,0,1,0,IDUKKI
11,11503,OBC,4,4,4,2,2,2,0,4,0,IDUKKI
12,11503,Overall,2,0,2,2,0,0,1,1,1,IDUKKI
13,11503,SC,2,0,0,2,3,2,2,2,1,IDUKKI
14,11503,ST,4,0,2,0,1,1,3,3,1,IDUKKI
15,11504,General,1,1,1,3,1,2,0,2,0,KANNUR
16,11504,OBC,4,4,4,2,2,2,0,4,0,KANNUR
17,11504,Overall,2,0,2,2,0,0,1,1,1,KANNUR
18,11504,SC,2,0,0,2,0,0,0,4,3,KANNUR
19,11504,ST,4,0,2,0,4,1,3,3,1,KANNUR
20,11505,General,1,1,1,1,1,2,3,1,0,KASARAGOD
21,11505,OBC,2,2,2,1,0,0,1,3,2,KASARAGOD
22,11505,Overall,0,2,0,1,2,2,1,1,1,KASARAGOD
23,11505,SC,3,1,1,0,0,2,0,4,3,KASARAGOD
24,11505,ST,4,0,2,0,1,1,3,3,1,KASARAGOD
25,11506,General,1,1,1,1,1,2,3,1,0,KOLLAM
26,11506,OBC,2,2,2,1,0,0,1,3,2,KOLLAM
27,11506,Overall,0,2,0,1,2,2,1,1,1,KOLLAM
28,11506,SC,3,1,1,0,1,2,0,4,3,KOLLAM
29,11506,ST,0,3,0,1,4,3,3,3,1,KOLLAM
30,11507,General,1,1,1,1,1,2,3,0,0,KOTTAYAM
31,11507,OBC,2,2,2,0,1,1,1,3,2,KOTTAYAM
32,11507,Overall,0,2,0,0,1,1,0,0,0,KOTTAYAM
33,11507,SC,1,1,1,3,1,3,0,1,4,KOTTAYAM
34,11507,ST,0,0,0,0,0,0,1,3,1,KOTTAYAM
35,11508,General,2,3,2,1,0,1,2,4,4,KOZHIKODE
36,11508,OBC,0,0,0,1,1,1,3,1,4,KOZHIKODE
37,11508,Overall,0,4,0,1,2,2,0,0,0,KOZHIKODE
38,11508,SC,1,3,3,3,1,3,3,1,4,KOZHIKODE
39,11508,ST,3,2,3,2,4,2,0,2,2,KOZHIKODE
40,11509,General,2,3,2,2,2,1,1,0,1,MALAPPURAM
41,11509,OBC,0,0,0,4,0,0,3,1,4,MALAPPURAM
42,11509,Overall,4,4,4,4,4,4,0,0,0,MALAPPURAM
43,11509,SC,1,3,3,3,4,3,3,0,2,MALAPPURAM
44,11509,ST,1,1,1,4,2,0,2,1,0,MALAPPURAM
45,11510,General,3,4,3,2,2,0,1,0,1,PALAKKAD
46,11510,OBC,0,0,0,4,0,0,2,1,1,PALAKKAD
47,11510,Overall,4,3,4,4,4,4,0,0,0,PALAKKAD
48,11510,SC,1,4,2,4,4,4,4,0,2,PALAKKAD
49,11510,ST,1,1,1,4,0,0,2,1,0,PALAKKAD
50,11511,General,3,4,3,0,2,0,1,0,1,PATHANAMTHITTA
51,11511,OBC,0,0,0,0,1,4,2,1,1,PATHANAMTHITTA
52,11511,Overall,3,3,3,0,1,1,2,2,2,PATHANAMTHITTA
53,11511,SC,0,4,2,1,2,1,4,0,2,PATHANAMTHITTA
54,11511,ST,1,1,1,2,2,2,2,0,0,PATHANAMTHITTA
55,11512,General,3,2,3,0,4,0,4,3,2,THIRUVANANTHAPURAM
56,11512,OBC,1,1,1,3,3,3,2,0,1,THIRUVANANTHAPURAM
57,11512,Overall,3,1,3,3,3,3,2,2,2,THIRUVANANTHAPURAM
58,11512,SC,0,2,2,4,2,4,1,0,0,THIRUVANANTHAPURAM
59,11512,ST,0,1,0,2,0,0,4,1,0,THIRUVANANTHAPURAM
60,11513,General,4,2,4,0,4,0,4,3,2,THRISSUR
61,11513,OBC,1,1,1,3,3,3,4,0,3,THRISSUR
62,11513,Overall,1,1,1,3,3,3,4,4,4,THRISSUR
63,11513,SC,0,2,4,4,2,4,1,0,0,THRISSUR
64,11513,ST,1,1,1,3,0,2,4,1,0,THRISSUR
65,11514,General,4,2,4,0,4,0,4,3,2,WAYANAD
66,11514,OBC,1,1,1,3,3,3,4,0,3,WAYANAD
67,11514,Overall,1,1,1,3,3,3,4,4,4,WAYANAD
68,11514,SC,0,2,4,1,2,1,1,3,0,WAYANAD
69,11514,ST,1,1,1,2,2,2,2,1,0,WAYANAD
