Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
ALAPPUZHA,General,2.45,1.27,1.84,0.0,0.0,0.0,0.0,0.0,0.0,11501,9.4980001,76.333482,9.4980001,76.333482
ALAPPUZHA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.28,4.25,2.8,11501,9.4980001,76.333482,9.4980001,76.333482
ALAPPUZHA,SC,0.0,0.0,0.0,1.5,0.65,1.06,1.28,2.75,2.04,11501,9.4980001,76.333482,9.4980001,76.333482
ALAPPUZHA,ST,0.0,0.0,0.0,47.83,36.15,42.16,33.33,25.93,30.23,11501,9.4980001,76.333482,9.4980001,76.333482
ALAPPUZHA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.81,2.66,1.76,11501,9.4980001,76.333482,9.4980001,76.333482
ERNAKULAM,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11502,9.9994493,76.28655487236281,9.9994493,76.28655487236281
ERNAKULAM,OBC,1.34,1.0,1.17,2.48,2.09,2.28,6.33,7.43,6.9,11502,9.9994493,76.28655487236281,9.9994493,76.28655487236281
ERNAKULAM,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,1.01,11502,9.9994493,76.28655487236281,9.9994493,76.28655487236281
ERNAKULAM,ST,23.49,20.31,21.9,11.76,11.21,11.44,7.01,6.13,6.49,11502,9.9994493,76.28655487236281,9.9994493,76.28655487236281
ERNAKULAM,Overall,0.0,0.0,0.0,0.81,0.1,0.45,2.32,4.29,3.34,11502,9.9994493,76.28655487236281,9.9994493,76.28655487236281
IDUKKI,General,4.35,3.49,3.91,3.88,1.25,2.53,4.53,4.35,4.44,11503,9.84236215,76.97843670115357,9.84236215,76.97843670115357
IDUKKI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,6.1,8.28,7.22,11503,9.84236215,76.97843670115357,9.84236215,76.97843670115357
IDUKKI,SC,0.0,0.0,0.0,0.0,0.0,0.0,5.95,4.69,5.32,11503,9.84236215,76.97843670115357,9.84236215,76.97843670115357
IDUKKI,ST,4.58,0.0,0.0,0.0,0.0,0.0,4.11,3.52,3.78,11503,9.84236215,76.97843670115357,9.84236215,76.97843670115357
IDUKKI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.27,5.81,5.54,11503,9.84236215,76.97843670115357,9.84236215,76.97843670115357
KANNUR,General,0.0,0.0,0.0,0.54,1.57,1.08,0.0,3.92,0.25,11504,11.8763836,75.3737973,11.8763836,75.3737973
KANNUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,5.19,5.58,5.39,11504,11.8763836,75.3737973,11.8763836,75.3737973
KANNUR,SC,0.0,1.29,0.23,0.0,0.0,0.0,0.0,0.98,0.0,11504,11.8763836,75.3737973,11.8763836,75.3737973
KANNUR,ST,0.8,0.42,0.6,0.0,0.0,0.0,14.75,0.0,4.71,11504,11.8763836,75.3737973,11.8763836,75.3737973
KANNUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.65,4.95,4.32,11504,11.8763836,75.3737973,11.8763836,75.3737973
KASARAGOD,General,0.0,0.0,0.0,4.34,0.26,2.28,0.0,0.0,0.0,11505,12.5035577,74.9907022,12.5035577,74.9907022
