,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11801,General,3,3,3,3,3,0,3,3,4,AGAR MALWA
1,11801,OBC,3,1,1,4,1,2,3,1,0,AGAR MALWA
2,11801,Overall,0,1,0,0,1,3,2,4,0,AGAR MALWA
3,11801,SC,0,4,0,1,1,3,0,4,4,AGAR MALWA
4,11801,ST,3,1,0,1,3,1,4,3,0,AGAR MALWA
5,11802,General,3,3,3,3,3,0,3,3,4,ALIRAJPUR
6,11802,OBC,3,1,1,4,3,2,3,1,0,ALIRAJPUR
7,11802,Overall,0,1,0,0,1,3,2,4,0,ALIRAJPUR
8,11802,SC,0,4,0,1,4,3,0,1,2,ALIRAJPUR
9,11802,ST,3,1,0,1,3,1,4,0,3,ALIRAJPUR
10,11803,General,3,3,3,3,3,0,3,3,4,ANUPPUR
11,11803,OBC,3,1,1,4,3,2,3,1,0,ANUPPUR
12,11803,Overall,0,1,0,0,1,3,2,4,0,ANUPPUR
13,11803,SC,0,4,0,1,4,3,0,4,4,ANUPPUR
14,11803,ST,3,1,0,1,3,1,3,0,3,ANUPPUR
15,11804,General,3,3,3,3,3,0,3,3,4,ASHOKNAGAR
16,11804,OBC,3,1,1,4,1,2,3,1,0,ASHOKNAGAR
17,11804,Overall,0,1,0,0,1,3,2,4,0,ASHOKNAGAR
18,11804,SC,0,4,0,1,1,3,0,4,4,ASHOKNAGAR
19,11804,ST,3,1,0,4,0,4,4,3,0,ASHOKNAGAR
20,11805,General,3,3,3,3,3,0,3,3,4,BALAGHAT
21,11805,OBC,3,1,1,4,3,2,3,1,0,BALAGHAT
22,11805,Overall,0,1,0,0,1,3,2,4,0,BALAGHAT
23,11805,SC,0,4,0,1,4,3,0,1,2,BALAGHAT
24,11805,ST,3,1,0,1,3,1,3,0,3,BALAGHAT
25,11806,General,3,3,3,3,3,0,3,3,4,BARWANI
26,11806,OBC,3,1,1,4,3,2,3,1,0,BARWANI
27,11806,Overall,0,1,0,0,1,3,2,4,0,BARWANI
28,11806,SC,0,4,0,1,1,3,0,4,4,BARWANI
29,11806,ST,3,1,0,1,3,1,4,0,3,BARWANI
30,11807,General,3,3,3,3,3,0,3,3,4,BETUL
31,11807,OBC,4,1,1,4,3,2,3,1,0,BETUL
32,11807,Overall,0,1,0,0,1,3,2,4,0,BETUL
33,11807,SC,0,4,0,1,4,3,0,1,2,BETUL
34,11807,ST,3,1,0,1,3,1,3,0,3,BETUL
35,11808,General,3,3,3,3,3,0,3,3,4,BHIND
36,11808,OBC,4,1,1,2,1,4,0,1,0,BHIND
37,11808,Overall,0,1,0,0,3,3,2,0,0,BHIND
38,11808,SC,0,4,0,1,4,3,0,1,2,BHIND
39,11808,ST,3,1,0,4,0,4,3,0,3,BHIND
40,11809,General,3,3,3,3,3,0,3,3,4,BHOPAL
41,11809,OBC,4,1,1,4,3,2,0,1,0,BHOPAL
42,11809,Overall,0,1,0,0,1,3,2,0,0,BHOPAL
43,11809,SC,0,3,0,1,4,3,1,1,2,BHOPAL
44,11809,ST,3,1,0,1,3,1,3,0,3,BHOPAL
45,11810,General,3,3,3,3,3,0,3,3,4,BURHANPUR
46,11810,OBC,4,4,1,2,1,4,0,1,0,BURHANPUR
47,11810,Overall,0,1,0,0,3,0,2,0,0,BURHANPUR
48,11810,SC,0,3,0,1,1,0,1,1,2,BURHANPUR
49,11810,ST,3,3,0,1,1,1,3,0,0,BURHANPUR
50,11811,General,4,3,3,3,3,0,3,3,3,CHHATARPUR
51,11811,OBC,4,4,1,2,1,4,0,1,0,CHHATARPUR
52,11811,Overall,0,3,0,0,3,0,3,0,0,CHHATARPUR
53,11811,SC,0,3,0,1,1,0,1,1,2,CHHATARPUR
54,11811,ST,0,3,0,4,0,4,1,0,0,CHHATARPUR
55,11812,General,4,3,3,0,1,0,3,3,3,CHHINDWARA
56,11812,OBC,4,4,1,2,1,4,0,1,0,CHHINDWARA
57,11812,Overall,0,3,0,0,3,0,3,0,0,CHHINDWARA
58,11812,SC,0,3,0,3,4,3,1,1,2,CHHINDWARA
59,11812,ST,0,3,0,1,1,1,3,0,3,CHHINDWARA
60,11813,General,3,3,3,0,1,0,3,0,3,DAMOH
61,11813,OBC,4,4,3,2,1,4,0,1,0,DAMOH
62,11813,Overall,4,3,3,0,3,0,3,0,0,DAMOH
63,11813,SC,0,3,0,3,1,0,1,1,2,DAMOH
64,11813,ST,0,3,0,1,1,1,3,0,0,DAMOH
65,11814,General,3,3,3,0,1,0,3,0,4,DATIA
66,11814,OBC,4,4,3,2,1,4,0,3,0,DATIA
67,11814,Overall,4,3,3,0,3,0,3,0,0,DATIA
68,11814,SC,0,3,0,3,1,0,1,1,2,DATIA
69,11814,ST,0,3,0,1,1,1,1,0,0,DATIA
70,11815,General,4,3,4,0,3,0,0,0,3,DEWAS
71,11815,OBC,2,4,3,2,1,4,0,3,0,DEWAS
72,11815,Overall,4,3,3,4,3,0,3,0,0,DEWAS
73,11815,SC,0,3,4,3,2,0,1,1,2,DEWAS
74,11815,ST,0,3,0,1,1,1,3,0,3,DEWAS
75,11816,General,4,3,4,0,3,0,0,0,3,DHAR
76,11816,OBC,2,4,3,2,1,4,0,3,0,DHAR
77,11816,Overall,4,3,3,4,3,0,3,0,2,DHAR
78,11816,SC,4,3,4,3,1,0,1,2,2,DHAR
79,11816,ST,0,3,1,1,1,1,1,0,0,DHAR
80,11817,General,4,0,4,0,1,4,0,0,3,DINDORI
81,11817,OBC,2,4,3,2,1,4,0,3,2,DINDORI
82,11817,Overall,4,3,3,4,3,0,3,0,2,DINDORI
83,11817,SC,4,3,4,3,1,0,1,1,2,DINDORI
84,11817,ST,0,4,1,1,1,1,1,0,0,DINDORI
85,11818,General,4,0,4,0,1,4,0,0,3,GUNA
86,11818,OBC,2,4,3,2,1,4,0,3,2,GUNA
87,11818,Overall,4,3,3,4,3,0,3,0,2,GUNA
88,11818,SC,4,3,4,3,2,0,1,2,0,GUNA
89,11818,ST,0,4,1,3,1,2,1,0,0,GUNA
90,11819,General,4,0,4,0,1,4,0,0,3,GWALIOR
91,11819,OBC,2,2,3,2,4,0,0,3,2,GWALIOR
92,11819,Overall,4,3,3,4,2,0,3,0,2,GWALIOR
93,11819,SC,4,1,4,3,2,0,1,2,0,GWALIOR
94,11819,ST,0,3,1,3,1,1,1,0,0,GWALIOR
95,11820,General,4,0,4,0,1,4,0,0,3,HARDA
96,11820,OBC,2,2,3,2,4,0,0,3,2,HARDA
97,11820,Overall,4,3,3,4,2,0,3,0,2,HARDA
98,11820,SC,4,1,4,3,2,0,1,2,0,HARDA
99,11820,ST,0,3,1,3,1,2,3,4,2,HARDA
100,11821,General,4,0,4,0,1,4,0,0,3,HOSHANGABAD
101,11821,OBC,2,2,3,2,4,0,0,3,2,HOSHANGABAD
102,11821,Overall,4,3,3,4,2,0,3,0,2,HOSHANGABAD
103,11821,SC,4,1,4,3,2,0,1,2,0,HOSHANGABAD
104,11821,ST,0,3,1,3,1,2,3,0,2,HOSHANGABAD
105,11822,General,1,0,0,0,1,4,0,0,1,INDORE
106,11822,OBC,2,2,3,0,4,0,0,3,2,INDORE
107,11822,Overall,2,0,2,4,2,0,4,3,2,INDORE
108,11822,SC,2,1,2,3,2,0,2,2,0,INDORE
109,11822,ST,0,4,1,3,1,2,1,4,0,INDORE
110,11823,General,4,0,4,0,1,4,0,0,3,JABALPUR
111,11823,OBC,2,2,4,0,4,0,0,3,2,JABALPUR
112,11823,Overall,2,0,2,4,2,0,4,3,2,JABALPUR
113,11823,SC,2,1,2,3,2,0,2,2,0,JABALPUR
114,11823,ST,0,4,1,3,1,2,1,4,2,JABALPUR
115,11824,General,4,0,4,0,1,4,0,0,3,JHABUA
116,11824,OBC,2,2,4,0,4,0,2,0,2,JHABUA
117,11824,Overall,2,0,2,2,2,1,4,3,2,JHABUA
118,11824,SC,2,1,2,0,2,2,1,2,0,JHABUA
119,11824,ST,0,4,1,3,1,2,1,4,2,JHABUA
120,11825,General,1,0,0,0,1,4,0,0,1,KATNI
121,11825,OBC,2,2,4,0,4,0,2,0,2,KATNI
