Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
AGAR MALWA,General,3.28,7.23,5.42,9.29,5.85,7.57,11.49,5.72,8.33,11801,23.7177382,76.01946054195679,23.7177382,76.01946054195679
AGAR MALWA,OBC,8.65,10.87,9.82,14.35,12.99,13.64,16.78,8.1,11.78,11801,23.7177382,76.01946054195679,23.7177382,76.01946054195679
AGAR MALWA,SC,6.65,9.69,8.27,14.09,10.27,12.12,16.84,9.4,12.56,11801,23.7177382,76.01946054195679,23.7177382,76.01946054195679
AGAR MALWA,ST,13.51,13.5,13.51,30.96,19.76,25.4,10.28,24.17,18.07,11801,23.7177382,76.01946054195679,23.7177382,76.01946054195679
AGAR MALWA,Overall,7.6,10.16,8.96,14.22,11.62,12.88,15.71,8.59,11.65,11801,23.7177382,76.01946054195679,23.7177382,76.01946054195679
ALIRAJPUR,General,0.0,0.0,0.0,0.0,9.09,2.31,0.0,0.0,0.0,11802,22.29278,74.40906,22.29278,74.40906
ALIRAJPUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11802,22.29278,74.40906,22.29278,74.40906
ALIRAJPUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.29,21.4,12.84,11802,22.29278,74.40906,22.29278,74.40906
ALIRAJPUR,ST,12.33,11.46,11.87,13.0,14.72,13.98,11.59,14.52,13.25,11802,22.29278,74.40906,22.29278,74.40906
ALIRAJPUR,Overall,9.03,8.31,8.65,9.56,12.31,11.12,9.38,13.83,11.9,11802,22.29278,74.40906,22.29278,74.40906
ANUPPUR,General,6.72,7.7,7.25,11.47,7.68,9.46,8.97,8.41,8.68,11803,24.1710307,77.5898695,24.1710307,77.5898695
ANUPPUR,OBC,2.45,2.47,2.47,3.41,3.96,3.69,6.42,9.63,8.06,11803,24.1710307,77.5898695,24.1710307,77.5898695
ANUPPUR,SC,2.94,4.74,3.87,8.92,9.96,9.47,7.23,8.76,7.99,11803,24.1710307,77.5898695,24.1710307,77.5898695
