,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,11901,General,3,3,3,3,3,3,3,3,3,AHMADNAGAR
1,11901,OBC,2,0,2,3,3,3,0,3,3,AHMADNAGAR
2,11901,Overall,1,3,2,0,3,1,3,0,2,AHMADNAGAR
3,11901,SC,3,4,1,3,0,3,3,3,3,AHMADNAGAR
4,11901,ST,2,3,3,3,0,0,4,3,2,AHMADNAGAR
5,11902,General,3,3,3,3,3,3,3,3,3,AKOLA
6,11902,OBC,2,0,2,3,3,3,0,3,3,AKOLA
7,11902,Overall,1,3,2,0,3,1,3,0,2,AKOLA
8,11902,SC,3,4,1,3,0,3,3,3,3,AKOLA
9,11902,ST,2,3,3,3,0,0,4,3,2,AKOLA
10,11903,General,3,3,3,3,3,3,3,3,3,AMRAVATI
11,11903,OBC,2,0,2,3,3,3,0,3,3,AMRAVATI
12,11903,Overall,1,3,2,0,3,1,3,0,2,AMRAVATI
13,11903,SC,3,4,1,3,0,3,3,3,3,AMRAVATI
14,11903,ST,2,3,3,3,0,0,4,3,2,AMRAVATI
15,11904,General,3,3,3,3,3,3,3,3,3,AURANGABAD (MAHARASHTRA)
16,11904,OBC,2,0,2,3,3,3,0,3,3,AURANGABAD (MAHARASHTRA)
17,11904,Overall,1,3,2,0,3,1,3,0,2,AURANGABAD (MAHARASHTRA)
18,11904,SC,3,4,1,3,0,3,3,3,3,AURANGABAD (MAHARASHTRA)
19,11904,ST,2,3,3,3,0,0,4,3,2,AURANGABAD (MAHARASHTRA)
20,11905,General,3,3,3,0,3,0,3,3,3,BHANDARA
21,11905,OBC,2,0,2,3,0,0,0,3,3,BHANDARA
22,11905,Overall,1,3,2,0,3,1,3,0,2,BHANDARA
23,11905,SC,3,4,1,0,0,3,3,3,3,BHANDARA
24,11905,ST,2,0,1,3,0,0,2,1,2,BHANDARA
25,11906,General,3,3,3,0,3,0,3,3,3,BID
26,11906,OBC,2,0,2,3,3,3,0,3,3,BID
27,11906,Overall,1,3,2,0,3,1,3,0,2,BID
28,11906,SC,3,1,1,3,0,3,3,3,3,BID
29,11906,ST,2,0,3,3,0,0,2,3,2,BID
30,11907,General,3,3,3,3,3,3,3,4,3,BULDANA
31,11907,OBC,2,0,2,3,3,3,0,3,3,BULDANA
32,11907,Overall,1,3,2,0,3,1,3,0,2,BULDANA
33,11907,SC,3,1,1,3,0,3,3,3,3,BULDANA
34,11907,ST,2,0,3,3,0,0,2,3,2,BULDANA
35,11908,General,1,3,3,0,0,0,1,4,1,CHANDRAPUR
36,11908,OBC,2,0,2,3,0,3,0,3,3,CHANDRAPUR
37,11908,Overall,1,3,2,0,3,1,1,0,2,CHANDRAPUR
38,11908,SC,1,1,1,3,0,3,3,3,3,CHANDRAPUR
39,11908,ST,2,0,3,3,0,3,2,3,2,CHANDRAPUR
40,11909,General,1,1,1,0,0,0,1,4,1,DHULE
41,11909,OBC,1,0,1,3,3,3,0,4,0,DHULE
42,11909,Overall,3,1,1,0,0,0,1,0,2,DHULE
43,11909,SC,1,1,3,0,0,3,1,1,1,DHULE
44,11909,ST,2,0,3,1,0,0,2,3,2,DHULE
45,11910,General,1,1,1,0,0,0,1,4,1,GADCHIROLI
46,11910,OBC,1,0,1,4,0,0,0,4,0,GADCHIROLI
47,11910,Overall,3,1,1,0,3,1,1,0,4,GADCHIROLI
48,11910,SC,1,1,3,0,0,3,1,1,1,GADCHIROLI
49,11910,ST,0,0,1,3,0,3,2,3,2,GADCHIROLI
50,11911,General,1,1,1,0,0,0,1,4,1,GONDIYA
51,11911,OBC,1,0,1,4,0,0,0,4,0,GONDIYA
52,11911,Overall,3,1,1,1,3,1,1,0,4,GONDIYA
53,11911,SC,1,1,3,0,0,3,1,1,1,GONDIYA
54,11911,ST,0,0,1,4,2,3,2,0,4,GONDIYA
55,11912,General,1,1,1,0,0,0,1,1,1,HINGOLI
56,11912,OBC,1,0,1,4,0,0,1,4,0,HINGOLI
57,11912,Overall,3,1,1,1,0,1,1,2,4,HINGOLI
58,11912,SC,1,1,3,0,0,0,1,1,1,HINGOLI
59,11912,ST,0,0,1,4,0,3,2,0,4,HINGOLI
60,11913,General,1,1,1,0,0,0,1,4,1,JALGAON
61,11913,OBC,1,1,1,0,0,0,1,4,0,JALGAON
62,11913,Overall,3,1,1,0,0,0,1,2,4,JALGAON
63,11913,SC,1,1,3,0,0,0,1,1,1,JALGAON
64,11913,ST,0,0,1,1,0,0,2,0,4,JALGAON
65,11914,General,1,1,1,0,0,0,1,1,1,JALNA
66,11914,OBC,1,1,1,4,0,0,1,4,0,JALNA
67,11914,Overall,3,1,1,1,0,4,1,2,4,JALNA
68,11914,SC,1,1,3,0,0,0,1,1,1,JALNA
69,11914,ST,0,0,1,4,0,3,2,0,4,JALNA
70,11915,General,1,1,1,0,0,0,1,1,1,KOLHAPUR
71,11915,OBC,1,1,1,0,0,0,1,4,0,KOLHAPUR
