,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12001,General,2,3,1,1,0,4,1,1,1,BISHNUPUR
1,12001,OBC,2,2,0,3,3,4,0,4,2,BISHNUPUR
2,12001,Overall,1,2,2,1,3,1,4,0,0,BISHNUPUR
3,12001,SC,1,1,3,4,2,4,2,4,3,BISHNUPUR
4,12001,ST,0,1,1,2,1,1,4,0,1,BISHNUPUR
5,12002,General,0,3,1,1,0,4,0,3,1,CHANDEL
6,12002,OBC,2,2,0,3,0,4,1,2,3,CHANDEL
7,12002,Overall,0,4,2,1,0,1,0,0,0,CHANDEL
8,12002,SC,4,4,3,3,2,1,2,4,3,CHANDEL
9,12002,ST,0,0,0,1,4,1,3,3,2,CHANDEL
10,12003,General,2,4,1,4,1,1,1,3,1,CHURACHANDPUR
11,12003,OBC,2,2,0,2,4,3,0,4,2,CHURACHANDPUR
12,12003,Overall,4,2,3,2,0,2,0,0,0,CHURACHANDPUR
13,12003,SC,4,2,0,3,3,0,2,4,3,CHURACHANDPUR
14,12003,ST,3,1,1,2,4,1,3,3,2,CHURACHANDPUR
15,12004,General,2,4,1,1,0,4,0,0,0,IMPHAL EAST
16,12004,OBC,2,4,2,3,0,2,0,4,2,IMPHAL EAST
17,12004,Overall,1,4,2,1,3,1,0,0,0,IMPHAL EAST
18,12004,SC,0,1,3,3,2,1,2,4,3,IMPHAL EAST
19,12004,ST,3,1,1,1,1,4,3,4,4,IMPHAL EAST
20,12005,General,1,0,2,1,0,4,2,0,0,IMPHAL WEST
21,12005,OBC,0,4,2,3,2,0,0,4,2,IMPHAL WEST
22,12005,Overall,4,2,3,1,3,1,0,0,0,IMPHAL WEST
23,12005,SC,1,2,0,3,2,1,3,0,0,IMPHAL WEST
24,12005,ST,0,0,0,1,1,4,1,3,2,IMPHAL WEST
25,12006,General,2,4,1,1,0,4,0,0,2,JIRIBAM
26,12006,OBC,2,2,0,0,2,0,1,2,3,JIRIBAM
27,12006,Overall,0,1,0,1,3,1,2,1,2,JIRIBAM
