Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
BISHNUPUR,General,26.08,24.51,25.26,16.47,21.9,19.2,0.0,0.0,0.0,12001,24.57264,93.78944,24.7208818,93.9229386
BISHNUPUR,OBC,4.65,8.11,6.44,6.07,5.84,5.96,11.82,6.81,9.28,12001,24.57264,93.78944,24.7208818,93.9229386
BISHNUPUR,SC,14.61,10.09,12.34,0.0,0.0,0.0,2.61,5.78,4.2,12001,24.57264,93.78944,24.7208818,93.9229386
BISHNUPUR,ST,3.86,20.82,12.51,17.24,25.55,21.58,3.17,19.21,11.48,12001,24.57264,93.78944,24.7208818,93.9229386
BISHNUPUR,Overall,11.95,13.23,12.61,7.02,10.09,8.55,2.8,4.29,3.55,12001,24.57264,93.78944,24.7208818,93.9229386
CHANDEL,General,25.66,9.27,17.49,38.64,10.45,26.45,0.0,0.0,0.0,12002,24.31205,94.02911,24.7208818,93.9229386
CHANDEL,OBC,0.0,0.0,0.0,20.83,17.24,18.87,30.0,0.0,5.06,12002,24.31205,94.02911,24.7208818,93.9229386
CHANDEL,SC,20.75,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,12002,24.31205,94.02911,24.7208818,93.9229386
CHANDEL,ST,17.56,21.04,19.35,8.05,4.42,6.29,12.28,3.54,8.11,12002,24.31205,94.02911,24.7208818,93.9229386
CHANDEL,Overall,16.88,19.77,18.37,9.57,5.09,7.4,10.85,0.0,4.91,12002,24.31205,94.02911,24.7208818,93.9229386
CHURACHANDPUR,General,20.99,24.8,23.02,30.5,25.6,27.83,40.11,32.84,36.27,12003,24.7208818,93.9229386,24.7208818,93.9229386
CHURACHANDPUR,OBC,4.43,4.57,4.5,1.96,10.78,6.56,51.85,52.08,51.97,12003,24.7208818,93.9229386,24.7208818,93.9229386
CHURACHANDPUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,27.87,0.0,12.38,12003,24.7208818,93.9229386,24.7208818,93.9229386
CHURACHANDPUR,ST,8.92,7.05,7.98,5.03,1.83,3.43,11.05,11.27,11.16,12003,24.7208818,93.9229386,24.7208818,93.9229386
CHURACHANDPUR,Overall,8.91,7.28,8.09,5.52,2.5,4.0,14.03,13.62,13.82,12003,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL EAST,General,16.97,20.11,18.58,4.25,5.47,4.88,1.76,0.64,1.19,12004,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL EAST,OBC,14.59,9.28,11.99,5.43,2.8,4.14,19.71,8.0,14.02,12004,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL EAST,SC,11.3,15.74,13.61,0.0,0.0,0.0,0.0,0.0,0.0,12004,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL EAST,ST,6.14,7.11,6.64,0.0,0.0,0.0,0.0,0.0,0.0,12004,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL EAST,Overall,14.94,14.78,14.86,3.43,3.09,3.26,0.57,0.0,0.0,12004,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL WEST,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12005,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL WEST,OBC,11.16,14.93,13.08,7.16,11.99,9.61,0.0,4.25,0.0,12005,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL WEST,SC,5.49,4.34,4.91,16.78,22.12,19.42,0.0,0.0,0.0,12005,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL WEST,ST,19.32,21.2,20.25,9.64,11.45,10.48,0.0,0.0,0.0,12005,24.7208818,93.9229386,24.7208818,93.9229386
IMPHAL WEST,Overall,4.34,7.36,5.88,0.0,2.1,0.18,0.0,0.0,0.0,12005,24.7208818,93.9229386,24.7208818,93.9229386
JIRIBAM,General,16.76,21.34,19.15,9.38,13.38,11.33,4.4,0.0,0.0,12006,24.70899,93.11728,24.7208818,93.9229386
JIRIBAM,OBC,4.13,8.93,6.66,17.81,17.73,17.77,0.0,0.0,0.0,12006,24.70899,93.11728,24.7208818,93.9229386
JIRIBAM,SC,20.07,18.97,19.51,18.62,17.41,18.05,14.14,18.75,16.58,12006,24.70899,93.11728,24.7208818,93.9229386
JIRIBAM,ST,40.0,42.36,41.28,24.64,35.46,30.52,6.75,0.0,0.0,12006,24.70899,93.11728,24.7208818,93.9229386
JIRIBAM,Overall,18.94,22.58,20.84,14.0,18.34,16.15,2.6,0.0,0.0,12006,24.70899,93.11728,24.7208818,93.9229386
KAKCHING,General,0.0,0.24,0.0,17.33,12.13,14.35,43.17,35.5,38.96,12007,24.48864,93.92915,24.7208818,93.9229386
KAKCHING,OBC,16.01,17.73,16.89,2.05,7.45,4.77,22.66,30.21,26.59,12007,24.48864,93.92915,24.7208818,93.9229386
KAKCHING,SC,3.9,7.76,5.86,11.72,12.27,12.01,19.0,11.18,15.13,12007,24.48864,93.92915,24.7208818,93.9229386
KAKCHING,ST,19.32,5.31,12.01,0.0,8.64,0.0,0.0,0.0,0.0,12007,24.48864,93.92915,24.7208818,93.9229386
KAKCHING,Overall,11.02,13.34,12.22,5.26,9.48,7.44,18.32,19.84,19.1,12007,24.48864,93.92915,24.7208818,93.9229386
KAMJONG,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12008,24.76126,94.54211,24.7208818,93.9229386
KAMJONG,OBC,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12008,24.76126,94.54211,24.7208818,93.9229386
KAMJONG,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12008,24.76126,94.54211,24.7208818,93.9229386
KAMJONG,ST,21.93,18.9,20.35,4.45,6.57,5.5,37.36,42.96,40.34,12008,24.76126,94.54211,24.7208818,93.9229386
KAMJONG,Overall,21.79,18.71,20.19,4.45,5.89,5.16,32.02,26.91,29.3,12008,24.76126,94.54211,24.7208818,93.9229386
KANGPOKPI,General,8.19,8.6,8.4,5.25,8.36,6.9,10.16,10.21,10.18,12009,25.1524326,93.9714932,24.7208818,93.9229386
KANGPOKPI,OBC,0.0,5.34,0.0,0.0,0.0,0.0,21.43,23.53,22.69,12009,25.1524326,93.9714932,24.7208818,93.9229386
KANGPOKPI,SC,0.35,7.14,4.17,0.0,0.0,0.0,0.0,0.0,0.0,12009,25.1524326,93.9714932,24.7208818,93.9229386
KANGPOKPI,ST,15.25,15.23,15.24,8.16,8.96,8.56,17.56,17.57,17.57,12009,25.1524326,93.9714932,24.7208818,93.9229386
