,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12301,General,4,0,4,0,3,1,1,1,1,DIMAPUR
1,12301,OBC,0,3,1,4,0,3,0,1,4,DIMAPUR
2,12301,Overall,0,2,1,0,0,0,0,0,2,DIMAPUR
3,12301,SC,4,3,3,3,0,1,2,4,1,DIMAPUR
4,12301,ST,0,2,3,1,4,4,4,3,3,DIMAPUR
5,12302,General,3,3,3,2,4,0,4,2,4,KIPHIRE
6,12302,OBC,4,0,4,0,3,1,2,3,1,KIPHIRE
7,12302,Overall,0,0,1,2,3,1,0,0,2,KIPHIRE
8,12302,SC,0,0,0,1,2,0,1,0,3,KIPHIRE
9,12302,ST,0,1,0,4,0,2,1,3,3,KIPHIRE
10,12303,General,0,1,0,0,2,2,0,4,0,KOHIMA
11,12303,OBC,0,3,1,3,0,0,1,1,3,KOHIMA
12,12303,Overall,0,2,4,0,0,0,0,0,2,KOHIMA
13,12303,SC,0,0,0,1,3,0,1,0,3,KOHIMA
14,12303,ST,0,2,3,1,4,4,1,3,3,KOHIMA
15,12304,General,0,1,0,1,2,2,2,4,2,LONGLENG
16,12304,OBC,3,0,3,2,1,1,2,4,1,LONGLENG
17,12304,Overall,4,4,0,2,3,1,1,3,1,LONGLENG
18,12304,SC,2,2,2,1,2,0,3,2,2,LONGLENG
19,12304,ST,4,4,4,0,0,0,1,1,0,LONGLENG
20,12305,General,0,1,0,4,3,3,0,4,0,MOKOKCHUNG
21,12305,OBC,2,2,2,1,3,3,0,0,2,MOKOKCHUNG
22,12305,Overall,0,0,2,4,4,3,0,4,4,MOKOKCHUNG
23,12305,SC,0,0,0,0,0,3,1,0,3,MOKOKCHUNG
24,12305,ST,1,1,0,3,3,3,1,1,0,MOKOKCHUNG
25,12306,General,0,0,0,3,1,4,1,1,1,MON
26,12306,OBC,2,3,2,3,4,0,1,0,2,MON
27,12306,Overall,1,0,0,3,2,2,1,3,1,MON
28,12306,SC,1,1,1,2,0,4,0,1,0,MON
29,12306,ST,1,1,0,2,2,1,0,0,1,MON
30,12307,General,1,4,1,0,0,1,0,0,1,PEREN
31,12307,OBC,2,2,2,1,1,2,0,0,2,PEREN
32,12307,Overall,2,0,2,3,2,2,4,1,4,PEREN
33,12307,SC,1,1,1,2,1,1,4,1,1,PEREN
34,12307,ST,2,0,1,2,2,1,3,0,0,PEREN
35,12308,General,0,1,0,0,0,1,0,3,0,PHEK
36,12308,OBC,0,1,0,0,1,4,3,0,2,PHEK
37,12308,Overall,2,1,2,3,2,2,2,1,0,PHEK
38,12308,SC,0,0,0,2,4,0,1,3,4,PHEK
39,12308,ST,2,0,1,2,2,1,0,0,4,PHEK
40,12309,General,0,1,0,1,2,2,0,3,0,TUENSANG
41,12309,OBC,1,4,0,0,2,1,3,0,0,TUENSANG
42,12309,Overall,1,1,2,1,1,4,2,1,0,TUENSANG
43,12309,SC,0,0,0,2,4,0,1,0,4,TUENSANG
44,12309,ST,1,0,0,0,0,2,0,4,1,TUENSANG
45,12310,General,2,2,2,2,1,0,3,0,3,WOKHA
46,12310,OBC,1,1,0,2,0,2,4,2,0,WOKHA
47,12310,Overall,2,1,2,1,1,4,2,1,0,WOKHA
48,12310,SC,0,0,0,4,4,2,1,0,4,WOKHA
49,12310,ST,2,0,1,0,1,0,0,4,4,WOKHA
50,12311,General,0,1,0,1,2,2,0,3,0,ZUNHEBOTO
51,12311,OBC,2,2,2,2,4,0,0,0,2,ZUNHEBOTO
52,12311,Overall,3,3,3,1,1,4,3,2,3,ZUNHEBOTO
53,12311,SC,3,4,4,0,1,2,0,1,0,ZUNHEBOTO
54,12311,ST,3,3,2,0,1,0,2,2,2,ZUNHEBOTO
