,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12401,General,3,0,0,3,1,4,0,0,2,ANGUL
1,12401,OBC,1,2,0,2,3,4,3,2,2,ANGUL
2,12401,Overall,1,3,4,1,0,1,0,0,0,ANGUL
3,12401,SC,0,2,0,3,2,3,0,2,1,ANGUL
4,12401,ST,3,3,4,2,0,2,0,0,0,ANGUL
5,12402,General,3,0,0,3,1,4,0,3,2,BALASORE
6,12402,OBC,1,2,0,2,3,4,3,2,2,BALASORE
7,12402,Overall,1,3,4,1,0,1,0,0,0,BALASORE
8,12402,SC,0,2,0,3,4,3,0,2,1,BALASORE
9,12402,ST,3,3,4,2,0,2,0,0,0,BALASORE
10,12403,General,3,0,0,3,1,4,0,0,2,BARAGARH
11,12403,OBC,1,2,0,4,1,1,3,2,2,BARAGARH
12,12403,Overall,1,3,4,3,0,1,0,0,0,BARAGARH
13,12403,SC,0,2,0,1,4,0,0,2,4,BARAGARH
14,12403,ST,3,3,4,2,0,2,1,0,0,BARAGARH
15,12404,General,3,0,0,4,1,3,0,3,2,BHADRAK
16,12404,OBC,1,2,0,2,3,4,3,2,2,BHADRAK
17,12404,Overall,1,3,4,1,0,1,0,0,0,BHADRAK
18,12404,SC,0,2,0,3,2,3,0,2,1,BHADRAK
19,12404,ST,3,3,4,2,0,2,1,0,0,BHADRAK
20,12405,General,3,0,0,3,1,3,0,3,2,BOLANGIR
21,12405,OBC,1,2,0,2,3,4,3,2,2,BOLANGIR
22,12405,Overall,1,3,4,1,0,1,0,0,0,BOLANGIR
23,12405,SC,0,2,0,1,4,0,0,2,4,BOLANGIR
24,12405,ST,3,3,4,2,0,2,1,0,0,BOLANGIR
25,12406,General,4,0,0,4,3,3,0,3,2,BOUDH
26,12406,OBC,1,2,0,2,3,4,3,2,2,BOUDH
27,12406,Overall,1,1,2,1,0,1,0,0,0,BOUDH
