,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12501,General,0,1,0,1,1,1,1,1,1,KARAIKAL
1,12501,OBC,0,1,1,0,0,0,0,1,0,KARAIKAL
2,12501,Overall,0,0,0,0,0,0,1,0,0,KARAIKAL
3,12501,SC,0,0,0,0,0,0,0,0,1,KARAIKAL
4,12501,ST,0,1,0,1,0,1,1,1,1,KARAIKAL
5,12502,General,1,0,1,0,0,0,0,0,0,MAHE
6,12502,OBC,0,1,1,0,0,0,0,0,0,MAHE
7,12502,Overall,0,0,0,1,0,0,0,1,0,MAHE
8,12502,SC,1,1,1,1,1,1,0,1,0,MAHE
9,12502,ST,1,1,1,1,1,0,0,1,0,MAHE
10,12503,General,1,0,1,0,0,0,0,0,0,PONDICHERRY
11,12503,OBC,0,0,0,0,0,0,1,0,1,PONDICHERRY
12,12503,Overall,0,0,0,0,0,0,0,0,1,PONDICHERRY
13,12503,SC,0,0,0,0,0,0,1,1,0,PONDICHERRY
14,12503,ST,0,0,0,0,0,0,0,0,0,PONDICHERRY
15,12504,General,0,0,0,0,0,0,0,0,0,YANAM
16,12504,OBC,1,0,0,1,1,1,0,0,0,YANAM
17,12504,Overall,1,1,1,0,1,1,0,0,1,YANAM
18,12504,SC,0,0,0,0,0,0,1,0,0,YANAM
19,12504,ST,0,0,0,0,1,0,0,0,0,YANAM
