,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12601,General,0,1,4,4,3,4,4,4,0,AMRITSAR
1,12601,OBC,0,1,0,2,1,2,0,0,0,AMRITSAR
2,12601,Overall,0,4,4,0,4,0,3,1,1,AMRITSAR
3,12601,SC,4,4,4,1,1,1,1,0,3,AMRITSAR
4,12601,ST,3,4,3,3,0,3,1,0,1,AMRITSAR
5,12602,General,0,1,3,4,3,4,4,4,0,BARNALA
6,12602,OBC,0,1,0,2,1,2,0,0,0,BARNALA
7,12602,Overall,0,4,4,0,4,0,3,1,1,BARNALA
8,12602,SC,4,4,4,1,1,1,1,0,3,BARNALA
9,12602,ST,1,1,2,3,0,2,0,0,0,BARNALA
10,12603,General,0,1,4,4,3,4,4,4,0,BATHINDA
11,12603,OBC,0,1,0,2,1,2,0,0,0,BATHINDA
12,12603,Overall,0,4,4,0,4,0,3,1,1,BATHINDA
13,12603,SC,4,4,4,1,1,1,1,0,3,BATHINDA
14,12603,ST,2,1,1,2,0,0,1,4,4,BATHINDA
15,12604,General,0,1,3,4,3,4,4,4,0,FARIDKOT
16,12604,OBC,0,1,0,2,1,2,0,0,0,FARIDKOT
17,12604,Overall,0,4,4,0,4,0,3,1,1,FARIDKOT
18,12604,SC,1,1,1,1,1,1,1,0,3,FARIDKOT
19,12604,ST,2,4,0,3,0,3,1,0,1,FARIDKOT
20,12605,General,0,1,3,2,0,1,0,1,0,FATEHGARH SAHIB
21,12605,OBC,0,1,0,2,1,2,0,0,0,FATEHGARH SAHIB
22,12605,Overall,0,1,3,0,4,0,3,1,1,FATEHGARH SAHIB
23,12605,SC,1,1,1,1,1,1,1,0,3,FATEHGARH SAHIB
24,12605,ST,1,4,0,3,0,3,0,0,0,FATEHGARH SAHIB
25,12606,General,0,1,3,2,0,1,0,1,0,FAZILKA
26,12606,OBC,0,1,0,4,1,2,0,0,0,FAZILKA
27,12606,Overall,0,1,3,0,4,0,3,1,1,FAZILKA
28,12606,SC,1,1,1,1,1,1,4,0,4,FAZILKA
29,12606,ST,3,0,1,3,0,0,0,0,0,FAZILKA
30,12607,General,0,4,3,2,0,1,0,1,0,FIROZPUR
31,12607,OBC,0,0,0,4,4,4,0,0,0,FIROZPUR
32,12607,Overall,0,1,3,0,4,0,1,1,1,FIROZPUR
33,12607,SC,1,1,1,3,1,3,4,0,4,FIROZPUR
34,12607,ST,2,4,3,2,3,2,0,0,1,FIROZPUR
35,12608,General,1,4,1,4,0,1,0,1,3,GURDASPUR
36,12608,OBC,0,0,0,4,4,4,0,4,1,GURDASPUR
37,12608,Overall,4,1,3,0,1,0,1,4,3,GURDASPUR
38,12608,SC,1,1,1,3,1,3,4,3,4,GURDASPUR
39,12608,ST,1,4,0,0,0,3,0,0,0,GURDASPUR
40,12609,General,1,4,1,2,0,1,0,1,3,HOSHIARPUR
41,12609,OBC,4,0,4,4,4,4,1,4,1,HOSHIARPUR
42,12609,Overall,4,1,3,0,1,0,1,4,3,HOSHIARPUR
43,12609,SC,1,1,1,3,2,3,4,3,4,HOSHIARPUR
44,12609,ST,1,4,0,1,0,4,0,0,0,HOSHIARPUR
45,12610,General,1,4,1,2,0,1,0,1,3,JALANDHAR
46,12610,OBC,4,0,4,4,4,4,1,4,1,JALANDHAR
47,12610,Overall,4,1,1,0,1,0,1,4,3,JALANDHAR
48,12610,SC,1,1,1,3,2,3,4,3,4,JALANDHAR
49,12610,ST,1,4,0,0,0,3,0,0,0,JALANDHAR
50,12611,General,1,4,1,2,0,1,0,1,3,KAPURTHALA
51,12611,OBC,4,0,4,0,4,0,1,4,1,KAPURTHALA
52,12611,Overall,4,3,1,4,1,4,1,4,3,KAPURTHALA
53,12611,SC,0,0,0,3,2,3,0,3,0,KAPURTHALA
54,12611,ST,2,0,3,0,0,0,0,0,0,KAPURTHALA
55,12612,General,1,3,1,1,0,1,0,1,3,LUDHIANA
56,12612,OBC,4,0,4,0,0,0,1,2,2,LUDHIANA
57,12612,Overall,2,3,1,4,1,4,1,4,3,LUDHIANA
58,12612,SC,0,0,0,3,2,3,0,3,0,LUDHIANA
59,12612,ST,0,1,2,1,4,4,3,1,4,LUDHIANA
60,12613,General,1,3,1,3,2,2,3,3,4,MALERKOTLA
61,12613,OBC,2,0,2,0,0,0,1,2,1,MALERKOTLA
62,12613,Overall,2,3,1,3,3,3,4,3,4,MALERKOTLA
63,12613,SC,0,0,0,3,2,3,0,4,0,MALERKOTLA
64,12613,ST,1,2,0,0,2,1,0,0,0,MALERKOTLA
65,12614,General,1,3,1,1,0,3,1,0,3,MANSA
66,12614,OBC,2,0,2,0,0,0,1,2,2,MANSA
67,12614,Overall,2,3,1,1,1,1,0,3,0,MANSA
68,12614,SC,0,0,0,0,4,0,0,3,0,MANSA
69,12614,ST,1,2,0,0,2,1,0,0,0,MANSA
70,12615,General,1,3,1,1,0,3,1,0,3,MOGA
71,12615,OBC,2,4,2,0,0,0,4,2,2,MOGA
72,12615,Overall,2,3,1,1,1,1,0,3,0,MOGA
73,12615,SC,0,0,0,0,4,0,0,4,0,MOGA
74,12615,ST,0,2,4,0,2,1,0,0,0,MOGA
75,12616,General,3,0,0,0,1,0,1,0,1,MOHALI
76,12616,OBC,2,4,2,0,0,0,4,2,2,MOHALI
77,12616,Overall,2,0,0,4,0,4,0,0,0,MOHALI
78,12616,SC,0,0,0,0,4,0,0,4,0,MOHALI
79,12616,ST,2,0,1,0,2,1,4,1,2,MOHALI
80,12617,General,3,0,0,1,1,3,1,0,1,MUKTSAR
81,12617,OBC,2,4,2,0,2,0,4,2,2,MUKTSAR
82,12617,Overall,1,0,0,1,0,1,0,0,0,MUKTSAR
83,12617,SC,0,0,0,0,4,0,0,1,0,MUKTSAR
