Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
AMRITSAR,General,0.0,1.16,0.27,7.9,8.36,8.16,22.23,23.12,22.74,12601,31.6343083,74.8736788
AMRITSAR,OBC,0.08,0.0,0.0,6.85,9.89,8.49,2.26,2.82,2.55,12601,31.6343083,74.8736788
AMRITSAR,SC,0.0,0.0,0.0,6.3,6.49,6.41,6.95,3.2,4.94,12601,31.6343083,74.8736788
AMRITSAR,ST,0.0,46.28,22.56,8.16,37.29,24.07,0.0,0.0,0.0,12601,31.6343083,74.8736788
AMRITSAR,Overall,0.0,0.0,0.0,7.14,7.89,7.56,14.96,15.09,15.02,12601,31.6343083,74.8736788
BARNALA,General,5.05,5.07,5.06,8.99,11.12,10.19,28.45,27.47,27.89,12602,29.9511419,75.4347037
BARNALA,OBC,0.57,0.0,0.0,5.23,4.91,5.06,2.84,6.33,4.71,12602,29.9511419,75.4347037
BARNALA,SC,1.26,2.3,1.81,3.95,5.61,4.81,7.98,6.98,7.44,12602,29.9511419,75.4347037
BARNALA,ST,60.0,0.0,81.82,0.0,0.0,0.0,0.0,0.0,50.0,12602,29.9511419,75.4347037
BARNALA,Overall,2.82,3.22,3.04,6.42,8.24,7.4,17.71,18.11,17.93,12602,29.9511419,75.4347037
BATHINDA,General,2.57,2.27,2.4,9.57,11.98,10.93,23.57,25.37,24.6,12603,30.18773,74.94306
BATHINDA,OBC,0.0,0.0,0.0,3.86,3.33,3.59,0.0,1.14,0.01,12603,30.18773,74.94306
BATHINDA,SC,0.23,1.03,0.64,4.43,6.21,5.37,4.5,6.9,5.75,12603,30.18773,74.94306
BATHINDA,ST,72.58,28.85,52.63,60.71,40.0,50.0,0.0,38.46,16.67,12603,30.18773,74.94306
BATHINDA,Overall,0.88,1.21,1.06,6.67,8.66,7.75,13.4,16.48,15.1,12603,30.18773,74.94306
FARIDKOT,General,5.57,5.29,5.41,9.55,11.82,10.86,26.97,27.65,27.37,12604,30.682651,74.762087
FARIDKOT,OBC,0.0,0.0,0.0,2.42,2.83,2.63,2.37,0.0,0.0,12604,30.682651,74.762087
FARIDKOT,SC,0.0,0.0,0.0,3.28,3.09,3.18,5.47,0.58,2.99,12604,30.682651,74.762087
FARIDKOT,ST,0.0,25.0,3.7,0.0,44.44,11.11,0.0,0.0,0.0,12604,30.682651,74.762087
FARIDKOT,Overall,1.09,0.79,0.93,5.63,7.02,6.39,15.2,14.74,14.95,12604,30.682651,74.762087
FATEHGARH SAHIB,General,7.09,7.9,7.54,15.18,14.64,14.87,33.7,31.72,32.55,12605,30.57092,76.43823
FATEHGARH SAHIB,OBC,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,12605,30.57092,76.43823
FATEHGARH SAHIB,SC,0.0,0.0,0.0,3.04,2.89,2.96,0.0,0.0,0.0,12605,30.57092,76.43823
FATEHGARH SAHIB,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12605,30.57092,76.43823
FATEHGARH SAHIB,Overall,3.15,3.48,3.33,8.34,8.69,8.53,14.88,15.64,15.31,12605,30.57092,76.43823
FAZILKA,General,8.48,10.23,9.47,16.6,21.76,19.61,38.97,37.9,38.34,12606,30.40864,74.02542
FAZILKA,OBC,0.0,0.0,0.0,8.06,8.19,8.13,5.9,1.8,3.67,12606,30.40864,74.02542
FAZILKA,SC,0.0,0.0,0.0,4.28,5.63,4.99,5.27,2.11,3.55,12606,30.40864,74.02542
FAZILKA,ST,29.17,44.0,36.73,0.0,0.0,0.0,0.0,0.0,25.0,12606,30.40864,74.02542
FAZILKA,Overall,1.43,1.94,1.7,8.21,10.85,9.66,16.34,15.12,15.66,12606,30.40864,74.02542
FIROZPUR,General,4.58,5.37,5.03,11.7,14.2,13.13,29.56,32.75,31.41,12607,30.93339,74.67329
FIROZPUR,OBC,0.0,0.0,0.0,5.09,4.95,5.01,0.0,0.46,0.0,12607,30.93339,74.67329
FIROZPUR,SC,0.0,0.24,0.0,4.38,4.32,4.35,7.21,4.22,5.65,12607,30.93339,74.67329
FIROZPUR,ST,3.03,33.33,22.22,13.33,15.0,14.29,28.57,50.0,45.45,12607,30.93339,74.67329
FIROZPUR,Overall,1.18,2.16,1.71,7.16,8.46,7.87,16.11,18.04,17.18,12607,30.93339,74.67329
GURDASPUR,General,0.0,0.0,0.0,8.29,12.26,10.57,27.12,26.19,26.58,12608,30.9293211,75.5004841
GURDASPUR,OBC,0.0,0.0,0.0,1.43,3.08,2.31,0.0,1.77,0.73,12608,30.9293211,75.5004841
GURDASPUR,SC,0.0,0.0,0.0,3.44,3.98,3.73,4.56,4.44,4.5,12608,30.9293211,75.5004841
GURDASPUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12608,30.9293211,75.5004841
GURDASPUR,Overall,0.0,0.0,0.0,4.91,7.64,6.42,14.71,15.48,15.14,12608,30.9293211,75.5004841
HOSHIARPUR,General,3.43,2.97,3.18,12.24,12.64,12.46,31.14,36.87,34.42,12609,31.5896,75.88803
HOSHIARPUR,OBC,0.0,0.0,0.0,0.0,1.19,0.23,0.0,0.0,0.0,12609,31.5896,75.88803
HOSHIARPUR,SC,0.0,0.0,0.0,2.45,3.55,3.04,1.51,1.04,1.25,12609,31.5896,75.88803
HOSHIARPUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,55.56,12609,31.5896,75.88803
HOSHIARPUR,Overall,0.02,0.03,0.02,5.58,6.85,6.26,14.19,17.49,16.03,12609,31.5896,75.88803
JALANDHAR,General,2.04,3.27,2.71,11.85,14.02,13.05,25.67,31.15,28.72,12610,31.3323762,75.576889
JALANDHAR,OBC,0.0,0.0,0.0,1.59,1.7,1.65,0.0,2.26,0.79,12610,31.3323762,75.576889
JALANDHAR,SC,0.0,0.88,0.22,3.39,4.15,3.79,2.43,4.68,3.61,12610,31.3323762,75.576889
JALANDHAR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12610,31.3323762,75.576889
