Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
AJMER,General,3.23,4.41,3.86,2.04,2.83,2.47,5.86,9.48,7.85,12701,26.4691,74.639,26.8105777,73.7684549
AJMER,OBC,1.5,2.38,1.96,3.45,3.4,3.42,10.44,11.16,10.84,12701,26.4691,74.639,26.8105777,73.7684549
AJMER,SC,1.94,2.78,2.37,4.08,3.66,3.86,7.85,9.63,8.79,12701,26.4691,74.639,26.8105777,73.7684549
AJMER,ST,0.0,0.97,0.16,6.93,6.19,6.51,11.29,11.66,11.5,12701,26.4691,74.639,26.8105777,73.7684549
AJMER,Overall,1.75,2.7,2.25,3.44,3.43,3.44,9.24,10.63,10.01,12701,26.4691,74.639,26.8105777,73.7684549
ALWAR,General,5.08,2.24,3.55,5.52,4.33,4.88,5.64,5.38,5.5,12702,27.5645949,76.6132248,26.8105777,73.7684549
ALWAR,OBC,2.23,2.9,2.59,5.71,4.82,5.22,10.15,10.41,10.3,12702,27.5645949,76.6132248,26.8105777,73.7684549
ALWAR,SC,0.32,0.28,0.3,3.34,2.87,3.1,8.66,8.63,8.64,12702,27.5645949,76.6132248,26.8105777,73.7684549
ALWAR,ST,2.68,3.53,3.12,3.03,2.35,2.68,5.35,2.97,4.1,12702,27.5645949,76.6132248,26.8105777,73.7684549
ALWAR,Overall,2.24,2.37,2.31,5.0,4.2,4.57,8.75,8.78,8.76,12702,27.5645949,76.6132248,26.8105777,73.7684549
BANSWARA,General,4.1,1.12,2.47,2.76,5.66,4.34,2.26,3.04,2.69,12703,23.52094,74.43763,26.8105777,73.7684549
BANSWARA,OBC,5.13,6.67,5.95,1.58,2.8,2.24,3.47,5.34,4.46,12703,23.52094,74.43763,26.8105777,73.7684549
BANSWARA,SC,0.0,0.0,0.0,0.96,5.07,3.16,8.01,13.35,10.88,12703,23.52094,74.43763,26.8105777,73.7684549
BANSWARA,ST,4.43,4.53,4.48,6.33,7.28,6.83,10.14,12.21,11.21,12703,23.52094,74.43763,26.8105777,73.7684549
BANSWARA,Overall,4.23,4.26,4.24,5.56,6.73,6.17,9.02,11.06,10.08,12703,23.52094,74.43763,26.8105777,73.7684549
BARAN,General,5.15,4.87,5.0,0.0,0.0,0.0,6.4,5.02,5.68,12704,25.512458,74.6386135,26.8105777,73.7684549
BARAN,OBC,4.49,4.08,4.28,4.59,6.08,5.39,5.93,8.09,7.09,12704,25.512458,74.6386135,26.8105777,73.7684549
BARAN,SC,4.03,3.71,3.86,4.69,6.27,5.52,7.02,5.71,6.32,12704,25.512458,74.6386135,26.8105777,73.7684549
BARAN,ST,10.83,11.57,11.22,6.44,6.27,6.35,5.66,5.66,5.66,12704,25.512458,74.6386135,26.8105777,73.7684549
BARAN,Overall,6.21,6.15,6.18,4.62,5.6,5.14,6.14,6.84,6.52,12704,25.512458,74.6386135,26.8105777,73.7684549
BARMER,General,1.91,1.31,1.58,6.63,5.6,6.05,12.73,11.66,12.09,12705,25.746033,71.397288,26.8105777,73.7684549
BARMER,OBC,2.07,2.54,2.32,5.13,4.43,4.75,10.88,12.24,11.66,12705,25.746033,71.397288,26.8105777,73.7684549
BARMER,SC,0.05,1.45,0.79,5.31,4.4,4.82,8.99,10.64,9.92,12705,25.746033,71.397288,26.8105777,73.7684549
BARMER,ST,1.26,1.84,1.58,10.02,10.74,10.46,17.04,20.34,19.27,12705,25.746033,71.397288,26.8105777,73.7684549
