Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
GANGTOK,General,38.44,37.41,37.9,39.49,41.27,40.4,44.51,42.16,43.32,12801,27.329046,88.6122673,27.329046,88.6122673
GANGTOK,OBC,38.93,38.46,38.69,35.08,41.69,38.44,45.28,46.78,46.01,12801,27.329046,88.6122673,27.329046,88.6122673
GANGTOK,SC,32.58,37.48,35.16,35.92,33.98,35.0,41.75,46.32,43.86,12801,27.329046,88.6122673,27.329046,88.6122673
GANGTOK,ST,23.8,30.36,27.43,25.82,25.92,25.86,32.51,40.42,36.09,12801,27.329046,88.6122673,27.329046,88.6122673
GANGTOK,Overall,34.17,35.69,34.98,33.47,36.57,35.02,40.78,43.97,42.32,12801,27.329046,88.6122673,27.329046,88.6122673
GYALSHING,General,29.85,30.16,30.01,21.6,23.63,22.6,37.32,48.85,42.94,12802,27.30595,88.18998,27.30595,88.18998
GYALSHING,OBC,53.75,53.47,53.6,55.12,55.52,55.33,56.95,57.82,57.38,12802,27.30595,88.18998,27.30595,88.18998
GYALSHING,SC,47.26,39.7,43.4,50.78,57.14,53.92,62.13,67.66,64.88,12802,27.30595,88.18998,27.30595,88.18998
GYALSHING,ST,42.62,47.42,45.21,45.48,46.06,45.78,46.9,53.68,50.15,12802,27.30595,88.18998,27.30595,88.18998
GYALSHING,Overall,46.11,47.56,46.87,47.17,48.43,47.82,50.82,55.75,53.23,12802,27.30595,88.18998,27.30595,88.18998
MANGAN,General,15.09,23.81,20.06,12.96,12.96,12.96,17.44,29.87,23.32,12803,27.47765,88.66519,27.47765,88.66519
MANGAN,OBC,0.0,0.0,0.0,10.07,7.21,8.8,20.0,11.84,15.9,12803,27.47765,88.66519,27.47765,88.66519
MANGAN,SC,0.0,0.0,0.0,0.0,0.0,0.0,16.67,23.53,20.0,12803,27.47765,88.66519,27.47765,88.66519
MANGAN,ST,1.34,1.39,1.37,4.03,5.2,4.6,9.98,11.62,10.76,12803,27.47765,88.66519,27.47765,88.66519
MANGAN,Overall,0.54,2.82,1.74,5.73,4.33,5.05,12.08,14.11,13.05,12803,27.47765,88.66519,27.47765,88.66519
NAMCHI,General,0.0,5.17,2.12,0.0,0.0,0.0,0.0,0.0,0.0,12804,27.17662,88.43098,27.17662,88.43098
NAMCHI,OBC,0.41,1.7,1.1,0.0,0.0,0.0,10.89,16.06,13.41,12804,27.17662,88.43098,27.17662,88.43098
NAMCHI,SC,2.95,0.0,0.66,0.0,0.65,0.0,7.65,0.0,0.0,12804,27.17662,88.43098,27.17662,88.43098
NAMCHI,ST,0.0,4.19,2.16,0.87,1.05,0.95,7.86,15.08,11.31,12804,27.17662,88.43098,27.17662,88.43098
NAMCHI,Overall,0.13,2.79,1.55,0.0,0.0,0.0,5.93,10.85,8.32,12804,27.17662,88.43098,27.17662,88.43098
PAKYONG,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805,27.24878,88.64102,27.24878,88.64102
PAKYONG,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805,27.24878,88.64102,27.24878,88.64102
PAKYONG,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805,27.24878,88.64102,27.24878,88.64102
PAKYONG,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805,27.24878,88.64102,27.24878,88.64102
PAKYONG,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805,27.24878,88.64102,27.24878,88.64102
SORENG,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12806,27.18918,88.15598,27.18918,88.15598
SORENG,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12806,27.18918,88.15598,27.18918,88.15598
SORENG,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12806,27.18918,88.15598,27.18918,88.15598
SORENG,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12806,27.18918,88.15598,27.18918,88.15598
SORENG,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12806,27.18918,88.15598,27.18918,88.15598
