Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
ADILABAD,General,0.0,0.0,0.0,1.75,5.72,3.81,19.85,20.86,20.34,13001,19.6759452,78.5339895,19.6759452,78.5339895
ADILABAD,OBC,0.0,0.0,0.0,3.07,4.27,3.68,7.75,3.66,5.69,13001,19.6759452,78.5339895,19.6759452,78.5339895
ADILABAD,SC,0.0,0.0,0.0,7.1,4.05,5.56,7.27,7.08,7.17,13001,19.6759452,78.5339895,19.6759452,78.5339895
ADILABAD,ST,0.51,1.5,1.02,7.03,8.48,7.79,4.47,4.25,4.36,13001,19.6759452,78.5339895,19.6759452,78.5339895
ADILABAD,Overall,0.0,0.0,0.0,4.9,5.94,5.43,7.94,6.33,7.13,13001,19.6759452,78.5339895,19.6759452,78.5339895
BHADRADRI KOTHAGUDEM,General,0.0,0.0,0.0,0.71,2.08,1.41,22.78,30.8,26.75,13002,17.5559898,80.6150166,17.5559898,80.6150166
BHADRADRI KOTHAGUDEM,OBC,0.0,0.0,0.0,1.63,2.07,1.86,14.33,22.18,18.23,13002,17.5559898,80.6150166,17.5559898,80.6150166
BHADRADRI KOTHAGUDEM,SC,0.0,0.0,0.0,2.1,1.82,1.96,11.42,15.54,13.47,13002,17.5559898,80.6150166,17.5559898,80.6150166
BHADRADRI KOTHAGUDEM,ST,0.0,0.0,0.0,3.04,4.03,3.54,8.24,10.21,9.19,13002,17.5559898,80.6150166,17.5559898,80.6150166
BHADRADRI KOTHAGUDEM,Overall,0.0,0.0,0.0,2.22,2.84,2.54,11.92,16.87,14.35,13002,17.5559898,80.6150166,17.5559898,80.6150166
HANUMAKONDA,General,7.75,8.05,7.91,1.14,4.21,2.88,8.11,22.34,16.15,13003,17.9938128,79.5406629,17.9938128,79.5406629
HANUMAKONDA,OBC,1.51,2.58,2.07,2.66,1.97,2.3,0.0,4.32,0.0,13003,17.9938128,79.5406629,17.9938128,79.5406629
HANUMAKONDA,SC,2.31,6.94,4.68,3.63,4.9,4.24,2.95,8.7,5.85,13003,17.9938128,79.5406629,17.9938128,79.5406629
HANUMAKONDA,ST,1.94,6.12,4.28,6.73,9.29,8.11,0.0,2.37,0.0,13003,17.9938128,79.5406629,17.9938128,79.5406629
HANUMAKONDA,Overall,2.47,4.53,3.56,3.01,3.47,3.25,0.0,7.54,2.93,13003,17.9938128,79.5406629,17.9938128,79.5406629
HYDERABAD,General,7.71,9.33,8.54,7.83,9.99,8.91,15.57,15.73,15.65,13004,17.360589,78.4740613,17.360589,78.4740613
HYDERABAD,OBC,4.15,4.83,4.5,5.23,6.61,5.94,0.0,0.0,0.0,13004,17.360589,78.4740613,17.360589,78.4740613
HYDERABAD,SC,6.91,7.4,7.16,5.3,7.4,6.35,3.37,4.78,4.07,13004,17.360589,78.4740613,17.360589,78.4740613
HYDERABAD,ST,8.09,6.6,7.27,5.4,8.53,7.1,14.49,17.02,15.88,13004,17.360589,78.4740613,17.360589,78.4740613
HYDERABAD,Overall,6.76,7.94,7.37,6.81,8.74,7.78,5.26,6.42,5.84,13004,17.360589,78.4740613,17.360589,78.4740613
JAGTIAL,General,1.14,4.06,2.72,0.68,2.46,1.62,33.87,40.02,37.03,13005,18.797742,78.924382,18.797742,78.924382
JAGTIAL,OBC,0.0,0.0,0.0,0.2,1.28,0.76,8.22,10.57,9.45,13005,18.797742,78.924382,18.797742,78.924382
JAGTIAL,SC,3.16,0.0,1.33,1.77,0.49,1.08,12.89,12.92,12.9,13005,18.797742,78.924382,18.797742,78.924382
JAGTIAL,ST,3.73,0.91,2.26,4.87,5.76,5.37,9.5,17.77,13.62,13005,18.797742,78.924382,18.797742,78.924382
JAGTIAL,Overall,0.23,0.0,0.0,0.65,1.46,1.07,11.75,14.2,13.03,13005,18.797742,78.924382,18.797742,78.924382
JANGAON,General,0.0,0.0,0.0,3.56,5.31,4.48,37.1,32.6,34.79,13006,18.3833479,78.1819175,18.3833479,78.1819175
JANGAON,OBC,0.0,0.0,0.0,0.46,1.06,0.76,14.91,21.77,18.42,13006,18.3833479,78.1819175,18.3833479,78.1819175
JANGAON,SC,0.0,0.0,0.0,0.0,2.7,1.28,3.77,9.08,6.35,13006,18.3833479,78.1819175,18.3833479,78.1819175
JANGAON,ST,0.0,0.0,0.0,0.89,0.97,0.93,14.58,29.66,21.65,13006,18.3833479,78.1819175,18.3833479,78.1819175
JANGAON,Overall,0.0,0.0,0.0,0.55,1.69,1.12,13.05,20.26,16.65,13006,18.3833479,78.1819175,18.3833479,78.1819175
JAYASHANKAR,General,0.0,0.0,0.0,6.01,1.31,3.66,43.6,46.83,45.19,13007,17.3023756,78.5404832,17.3023756,78.5404832
JAYASHANKAR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,26.55,30.53,28.57,13007,17.3023756,78.5404832,17.3023756,78.5404832
JAYASHANKAR,SC,3.76,1.89,2.81,2.78,2.16,2.48,16.3,24.45,19.97,13007,17.3023756,78.5404832,17.3023756,78.5404832
JAYASHANKAR,ST,0.0,0.0,0.0,0.97,3.15,2.08,19.0,18.69,18.86,13007,17.3023756,78.5404832,17.3023756,78.5404832
JAYASHANKAR,Overall,0.0,0.0,0.0,0.23,0.2,0.22,23.79,28.52,26.08,13007,17.3023756,78.5404832,17.3023756,78.5404832
JOGULAMBA GADWAL,General,0.0,0.0,0.0,3.39,0.17,1.63,38.62,38.55,38.58,13008,16.23401,77.80564,16.23401,77.80564
JOGULAMBA GADWAL,OBC,0.0,0.0,0.0,3.32,1.82,2.57,23.79,22.26,23.02,13008,16.23401,77.80564,16.23401,77.80564
JOGULAMBA GADWAL,SC,0.0,0.0,0.0,4.4,3.98,4.19,17.75,20.84,19.32,13008,16.23401,77.80564,16.23401,77.80564
JOGULAMBA GADWAL,ST,0.0,4.91,0.0,7.07,9.43,8.08,18.88,25.0,22.39,13008,16.23401,77.80564,16.23401,77.80564
JOGULAMBA GADWAL,Overall,0.0,0.0,0.0,3.67,2.36,3.01,23.45,23.29,23.37,13008,16.23401,77.80564,16.23401,77.80564
KAMAREDDY,General,0.0,0.28,0.0,3.04,6.19,4.64,29.29,32.18,30.78,13009,18.3205,78.33815,18.3205,78.33815
KAMAREDDY,OBC,0.0,0.0,0.0,2.92,2.47,2.69,11.03,7.25,9.13,13009,18.3205,78.33815,18.3205,78.33815
KAMAREDDY,SC,0.0,0.0,0.0,4.02,2.79,3.41,7.58,7.07,7.32,13009,18.3205,78.33815,18.3205,78.33815
KAMAREDDY,ST,1.89,0.0,0.0,4.5,4.39,4.44,9.01,6.59,7.72,13009,18.3205,78.33815,18.3205,78.33815
KAMAREDDY,Overall,0.0,0.0,0.0,3.32,3.13,3.22,11.82,9.51,10.65,13009,18.3205,78.33815,18.3205,78.33815
KARIMNAGAR,General,1.9,1.34,1.6,1.05,1.45,1.26,3.41,10.31,7.15,13010,17.9767807,78.5038724,17.9767807,78.5038724
KARIMNAGAR,OBC,0.0,0.0,0.0,0.91,1.8,1.38,0.0,0.0,0.0,13010,17.9767807,78.5038724,17.9767807,78.5038724
KARIMNAGAR,SC,2.6,0.55,1.55,0.83,1.62,1.26,0.0,0.0,0.0,13010,17.9767807,78.5038724,17.9767807,78.5038724
KARIMNAGAR,ST,3.06,5.91,4.65,0.46,4.44,2.82,0.0,0.0,0.0,13010,17.9767807,78.5038724,17.9767807,78.5038724
KARIMNAGAR,Overall,0.29,0.0,0.06,0.91,1.78,1.38,0.0,1.46,0.0,13010,17.9767807,78.5038724,17.9767807,78.5038724
KHAMMAM,General,0.33,0.07,0.19,0.0,0.0,0.0,8.93,12.67,10.88,13011,17.2465351,80.1500326,17.2465351,80.1500326
KHAMMAM,OBC,0.0,0.0,0.0,0.77,0.85,0.81,5.01,4.19,4.59,13011,17.2465351,80.1500326,17.2465351,80.1500326
KHAMMAM,SC,0.0,0.0,0.0,1.34,2.77,2.05,5.02,8.59,6.75,13011,17.2465351,80.1500326,17.2465351,80.1500326
