,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,13101,General,2,2,2,2,2,0,1,1,1,DHALAI
1,13101,OBC,1,2,0,0,0,1,0,2,0,DHALAI
2,13101,Overall,0,0,1,0,0,0,2,2,2,DHALAI
3,13101,SC,1,2,1,0,0,1,1,1,1,DHALAI
4,13101,ST,2,2,2,2,0,2,0,2,0,DHALAI
5,13102,General,0,0,0,1,2,0,0,2,2,GOMATI
6,13102,OBC,1,1,0,0,1,0,0,0,0,GOMATI
7,13102,Overall,0,0,1,2,1,1,1,0,1,GOMATI
8,13102,SC,2,1,2,0,1,0,2,0,2,GOMATI
9,13102,ST,2,2,2,0,1,0,0,2,0,GOMATI
10,13103,General,0,0,0,0,0,1,0,2,2,KHOWAI
11,13103,OBC,2,1,0,2,1,0,0,0,0,KHOWAI
12,13103,Overall,0,0,0,0,0,0,1,0,1,KHOWAI
13,13103,SC,2,1,2,0,0,1,2,0,2,KHOWAI
14,13103,ST,1,0,0,2,2,2,0,2,0,KHOWAI
15,13104,General,0,0,0,1,1,0,0,0,2,NORTH TRIPURA
16,13104,OBC,2,1,0,0,0,1,0,0,0,NORTH TRIPURA
17,13104,Overall,0,0,0,0,0,0,1,0,1,NORTH TRIPURA
18,13104,SC,2,1,2,0,0,1,2,0,2,NORTH TRIPURA
19,13104,ST,0,0,0,0,1,0,2,0,2,NORTH TRIPURA
20,13105,General,0,0,0,1,2,0,2,0,0,SEPAHIJALA
21,13105,OBC,0,0,2,2,1,0,1,0,2,SEPAHIJALA
22,13105,Overall,1,1,0,2,1,1,0,0,1,SEPAHIJALA
23,13105,SC,0,0,0,2,1,0,0,1,0,SEPAHIJALA
24,13105,ST,1,0,0,0,1,0,2,0,2,SEPAHIJALA
25,13106,General,0,0,0,0,1,2,2,0,0,SOUTH TRIPURA
26,13106,OBC,0,0,2,0,1,0,1,1,2,SOUTH TRIPURA
27,13106,Overall,2,1,0,0,1,0,0,0,0,SOUTH TRIPURA
28,13106,SC,0,0,0,1,2,2,0,0,0,SOUTH TRIPURA
29,13106,ST,0,1,1,0,1,0,2,0,2,SOUTH TRIPURA
30,13107,General,1,1,1,1,1,2,0,0,0,UNAKOTI
31,13107,OBC,0,0,1,1,2,2,2,1,1,UNAKOTI
32,13107,Overall,1,1,2,0,0,0,0,1,0,UNAKOTI
33,13107,SC,0,0,0,1,2,2,0,2,0,UNAKOTI
34,13107,ST,0,0,0,1,0,1,2,0,2,UNAKOTI
35,13108,General,0,0,0,0,0,1,2,0,0,WEST TRIPURA
36,13108,OBC,0,0,1,1,2,2,1,1,1,WEST TRIPURA
37,13108,Overall,2,2,2,1,2,2,0,1,0,WEST TRIPURA
38,13108,SC,0,0,0,1,2,2,0,2,0,WEST TRIPURA
39,13108,ST,0,1,1,1,2,1,1,1,1,WEST TRIPURA
