Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
DHALAI,General,7.35,8.5,7.96,11.24,12.99,12.13,15.83,14.9,15.41,13101,23.7750823,91.7025091,23.7750823,91.7025091
DHALAI,OBC,4.53,1.48,2.98,6.24,3.16,4.74,5.36,5.28,5.32,13101,23.7750823,91.7025091,23.7750823,91.7025091
DHALAI,SC,5.46,6.3,5.88,7.01,11.14,9.11,6.17,5.16,5.63,13101,23.7750823,91.7025091,23.7750823,91.7025091
DHALAI,ST,0.17,1.26,0.73,8.8,9.5,9.15,4.63,8.86,6.69,13101,23.7750823,91.7025091,23.7750823,91.7025091
DHALAI,Overall,1.85,2.46,2.16,8.25,9.13,8.7,5.92,7.79,6.85,13101,23.7750823,91.7025091,23.7750823,91.7025091
GOMATI,General,0.0,0.0,0.0,0.0,2.31,0.95,16.06,9.8,13.0,13102,23.401091,91.831654,23.7750823,91.7025091
GOMATI,OBC,2.04,0.46,1.25,2.82,2.13,2.47,13.62,9.8,11.78,13102,23.401091,91.831654,23.7750823,91.7025091
GOMATI,SC,0.9,0.8,0.85,4.01,3.67,3.84,14.31,8.88,11.56,13102,23.401091,91.831654,23.7750823,91.7025091
GOMATI,ST,0.51,2.0,1.28,8.57,8.62,8.59,18.3,23.19,20.58,13102,23.401091,91.831654,23.7750823,91.7025091
GOMATI,Overall,0.0,0.69,0.21,5.17,5.58,5.38,16.47,15.62,16.06,13102,23.401091,91.831654,23.7750823,91.7025091
KHOWAI,General,0.0,0.0,0.0,0.16,5.06,2.69,0.93,0.0,0.0,13103,24.066821,91.611603,23.7750823,91.7025091
KHOWAI,OBC,3.32,2.53,2.93,2.49,5.89,4.18,11.49,12.61,12.04,13103,24.066821,91.611603,23.7750823,91.7025091
KHOWAI,SC,0.0,0.0,0.0,2.69,1.73,2.2,7.69,4.57,6.15,13103,24.066821,91.611603,23.7750823,91.7025091
KHOWAI,ST,6.37,6.69,6.53,6.71,5.52,6.11,0.0,7.27,3.57,13103,24.066821,91.611603,23.7750823,91.7025091
KHOWAI,Overall,2.61,2.52,2.56,4.31,4.76,4.54,4.48,6.82,5.64,13103,24.066821,91.611603,23.7750823,91.7025091
NORTH TRIPURA,General,0.64,2.12,1.39,2.84,5.69,4.21,10.42,11.41,10.84,13104,23.7750823,91.7025091,23.7750823,91.7025091
NORTH TRIPURA,OBC,2.49,1.98,2.23,2.76,2.98,2.87,0.0,7.15,3.48,13104,23.7750823,91.7025091,23.7750823,91.7025091
NORTH TRIPURA,SC,0.0,0.0,0.0,0.0,2.09,0.18,2.67,2.63,2.66,13104,23.7750823,91.7025091,23.7750823,91.7025091
NORTH TRIPURA,ST,4.89,3.49,4.18,9.15,10.38,9.77,17.33,22.26,19.77,13104,23.7750823,91.7025091,23.7750823,91.7025091
NORTH TRIPURA,Overall,0.4,0.91,0.66,3.62,5.63,4.61,7.46,10.82,9.03,13104,23.7750823,91.7025091,23.7750823,91.7025091
SEPAHIJALA,General,0.0,3.57,1.53,1.66,0.93,1.3,15.72,10.49,13.28,13105,23.66580045,91.32002751729334,23.7750823,91.7025091
SEPAHIJALA,OBC,0.0,0.43,0.0,2.57,0.0,0.35,15.03,13.22,14.12,13105,23.66580045,91.32002751729334,23.7750823,91.7025091
SEPAHIJALA,SC,1.88,2.68,2.28,8.89,2.6,5.78,18.72,15.99,17.34,13105,23.66580045,91.32002751729334,23.7750823,91.7025091
SEPAHIJALA,ST,7.91,6.32,7.12,9.34,9.51,9.42,17.52,17.45,17.49,13105,23.66580045,91.32002751729334,23.7750823,91.7025091
SEPAHIJALA,Overall,1.83,3.55,2.7,5.24,3.15,4.2,16.64,14.12,15.4,13105,23.66580045,91.32002751729334,23.7750823,91.7025091
SOUTH TRIPURA,General,1.43,0.0,0.61,2.94,2.54,2.73,11.04,3.32,7.21,13106,23.7750823,91.7025091,23.7750823,91.7025091
SOUTH TRIPURA,OBC,0.0,0.0,0.0,0.0,1.65,0.56,11.56,9.49,10.51,13106,23.7750823,91.7025091,23.7750823,91.7025091
SOUTH TRIPURA,SC,3.43,0.0,1.51,1.66,3.79,2.73,8.04,7.26,7.64,13106,23.7750823,91.7025091,23.7750823,91.7025091
SOUTH TRIPURA,ST,0.73,0.18,0.46,8.41,7.85,8.12,16.77,17.3,17.03,13106,23.7750823,91.7025091,23.7750823,91.7025091
SOUTH TRIPURA,Overall,1.07,0.0,0.39,4.76,5.05,4.9,13.22,10.8,12.02,13106,23.7750823,91.7025091,23.7750823,91.7025091
UNAKOTI,General,5.05,6.93,6.0,3.59,8.18,5.81,7.06,11.71,9.1,13107,24.316728,92.066842,23.7750823,91.7025091
UNAKOTI,OBC,1.38,0.67,1.03,0.62,4.3,2.45,5.61,5.03,5.34,13107,24.316728,92.066842,23.7750823,91.7025091
UNAKOTI,SC,0.33,1.0,0.65,3.73,2.6,3.15,7.52,10.74,9.04,13107,24.316728,92.066842,23.7750823,91.7025091
UNAKOTI,ST,4.82,2.92,3.87,6.33,9.53,7.99,5.68,3.33,4.54,13107,24.316728,92.066842,23.7750823,91.7025091
UNAKOTI,Overall,3.03,3.04,3.04,3.58,6.26,4.92,6.44,7.48,6.92,13107,24.316728,92.066842,23.7750823,91.7025091
WEST TRIPURA,General,0.0,0.0,0.0,0.0,2.98,1.41,0.0,2.07,0.0,13108,23.7750823,91.7025091,23.7750823,91.7025091
WEST TRIPURA,OBC,0.0,0.0,0.0,1.93,0.13,1.04,7.19,3.78,5.54,13108,23.7750823,91.7025091,23.7750823,91.7025091
WEST TRIPURA,SC,2.2,1.06,1.63,3.91,2.4,3.15,10.23,8.4,9.33,13108,23.7750823,91.7025091,23.7750823,91.7025091
WEST TRIPURA,ST,0.0,0.0,0.0,1.41,1.97,1.69,0.0,0.0,0.0,13108,23.7750823,91.7025091,23.7750823,91.7025091
WEST TRIPURA,Overall,0.0,0.0,0.0,1.64,2.0,1.82,0.0,1.42,0.58,13108,23.7750823,91.7025091,23.7750823,91.7025091
