,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,13201,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
1,13202,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
2,13203,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
3,13204,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
4,13205,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
5,13206,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
6,13207,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
7,13208,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
8,13209,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
9,13210,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
10,13211,General,3,3,3.0,2,2,1.0,4,4,0.0,,,
11,13212,General,3,3,3.0,2,2,1.0,4,2,0.0,,,
12,13213,General,3,3,3.0,2,2,1.0,1,2,0.0,,,
13,13214,General,1,3,3.0,2,2,1.0,1,2,0.0,,,
14,13215,General,1,1,1.0,2,2,1.0,1,2,0.0,,,
15,13216,General,1,1,1.0,4,2,3.0,1,2,0.0,,,
16,13217,General,1,1,1.0,4,0,3.0,1,2,0.0,,,
17,13218,General,1,1,1.0,2,2,1.0,1,2,0.0,,,
18,13219,General,1,1,1.0,2,2,1.0,1,2,0.0,,,
19,13220,General,1,1,1.0,2,0,1.0,1,2,0.0,,,
20,13221,General,1,1,1.0,4,0,3.0,1,2,0.0,,,
21,13222,General,1,1,1.0,4,0,3.0,1,2,3.0,,,
22,13223,General,1,1,1.0,2,0,1.0,3,2,3.0,,,
23,13224,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
24,13225,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
25,13226,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
26,13227,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
27,13228,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
28,13229,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
29,13230,General,1,1,1.0,4,0,3.0,3,3,3.0,,,
30,13231,General,4,4,4.0,4,0,3.0,3,3,3.0,,,
31,13232,General,4,4,4.0,3,0,4.0,3,3,3.0,,,
32,13233,General,1,4,4.0,3,0,4.0,3,3,3.0,,,
33,13234,General,4,4,4.0,3,0,4.0,3,3,3.0,,,
34,13235,General,4,4,4.0,4,0,4.0,3,3,3.0,,,
35,13236,General,4,4,4.0,3,0,4.0,3,3,3.0,,,
36,13237,General,4,4,4.0,4,3,2.0,0,3,1.0,,,
37,13238,General,4,4,4.0,3,0,4.0,0,3,1.0,,,
38,13239,General,4,4,4.0,3,0,4.0,0,3,1.0,,,
39,13240,General,4,4,4.0,3,0,4.0,0,3,1.0,,,
40,13241,General,4,4,4.0,4,3,2.0,0,1,1.0,,,
41,13242,General,4,4,4.0,3,0,2.0,0,1,1.0,,,
42,13243,General,4,4,4.0,3,0,2.0,0,1,1.0,,,
43,13244,General,0,2,2.0,3,3,2.0,0,1,1.0,,,
44,13245,General,0,2,2.0,0,3,2.0,0,1,1.0,,,
45,13246,General,0,2,2.0,3,0,2.0,0,1,1.0,,,
46,13247,General,0,2,2.0,3,1,2.0,0,1,1.0,,,
47,13248,General,0,2,2.0,0,3,2.0,0,1,4.0,,,
48,13249,General,0,2,2.0,3,1,2.0,0,1,1.0,,,
49,13250,General,0,2,2.0,0,3,2.0,0,1,1.0,,,
