,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,13301,General,0,0,0,2,0,2,0,4,0,ALMORA
1,13301,OBC,0,0,0,1,0,0,2,0,2,ALMORA
2,13301,Overall,2,2,2,1,2,2,1,3,3,ALMORA
3,13301,SC,0,0,0,4,3,3,1,1,1,ALMORA
4,13301,ST,3,3,2,0,1,2,3,2,3,ALMORA
5,13302,General,0,0,0,2,0,2,0,4,0,BAGESHWAR
6,13302,OBC,0,0,0,1,1,0,0,0,1,BAGESHWAR
7,13302,Overall,2,2,2,1,2,2,1,3,3,BAGESHWAR
8,13302,SC,0,0,0,4,3,3,1,1,1,BAGESHWAR
9,13302,ST,1,0,3,4,4,0,0,3,0,BAGESHWAR
10,13303,General,0,0,0,2,0,2,0,4,0,CHAMOLI
11,13303,OBC,0,0,0,1,0,0,2,0,2,CHAMOLI
12,13303,Overall,2,2,2,1,2,2,1,3,3,CHAMOLI
13,13303,SC,0,0,0,4,3,3,1,1,1,CHAMOLI
14,13303,ST,1,0,3,4,1,4,0,2,0,CHAMOLI
15,13304,General,0,0,0,4,2,0,0,1,0,CHAMPAWAT
16,13304,OBC,0,0,0,3,1,4,2,0,2,CHAMPAWAT
17,13304,Overall,4,4,4,2,3,1,4,4,4,CHAMPAWAT
18,13304,SC,0,0,0,0,4,0,1,1,1,CHAMPAWAT
19,13304,ST,0,0,3,0,0,2,0,2,0,CHAMPAWAT
20,13305,General,0,0,0,2,0,2,0,2,0,DEHRADUN
21,13305,OBC,2,0,2,1,1,0,0,2,1,DEHRADUN
22,13305,Overall,4,4,4,0,0,0,4,4,4,DEHRADUN
23,13305,SC,3,3,3,0,1,0,2,2,0,DEHRADUN
24,13305,ST,0,0,0,0,1,2,0,1,0,DEHRADUN
25,13306,General,3,4,4,3,2,0,3,1,3,HARDWAR
26,13306,OBC,2,4,2,3,1,4,0,4,3,HARDWAR
27,13306,Overall,3,3,3,2,3,1,2,2,2,HARDWAR
28,13306,SC,3,3,3,0,1,0,2,2,0,HARDWAR
29,13306,ST,0,2,0,0,2,0,0,0,0,HARDWAR
30,13307,General,1,2,2,0,3,4,1,2,1,NAINITAL
31,13307,OBC,3,3,3,0,2,1,0,2,3,NAINITAL
32,13307,Overall,1,1,1,0,0,0,3,0,1,NAINITAL
33,13307,SC,4,4,4,0,1,0,4,4,4,NAINITAL
34,13307,ST,0,1,1,1,0,0,0,1,1,NAINITAL
35,13308,General,1,2,2,0,1,1,1,0,1,PAURI
36,13308,OBC,3,3,3,4,0,0,1,1,0,PAURI
37,13308,Overall,1,1,1,0,0,0,3,0,1,PAURI
38,13308,SC,4,4,4,1,1,0,4,4,4,PAURI
39,13308,ST,0,1,1,1,0,0,1,0,1,PAURI
40,13309,General,1,2,2,0,3,4,1,0,2,PITHORAGARH
41,13309,OBC,4,2,4,4,2,1,4,1,4,PITHORAGARH
42,13309,Overall,1,1,1,0,0,0,3,0,1,PITHORAGARH
43,13309,SC,1,1,1,1,0,4,0,4,4,PITHORAGARH
44,13309,ST,2,1,1,2,0,1,2,0,1,PITHORAGARH
45,13310,General,2,1,1,0,1,1,2,0,2,RUDRAPRAYAG
46,13310,OBC,1,1,1,0,3,3,3,1,4,RUDRAPRAYAG
47,13310,Overall,0,0,0,0,1,0,0,0,1,RUDRAPRAYAG
48,13310,SC,1,1,1,1,0,4,0,0,2,RUDRAPRAYAG
49,13310,ST,2,1,1,2,2,1,2,4,1,RUDRAPRAYAG
50,13311,General,2,1,1,0,1,1,2,0,2,TEHRI GARHWAL
51,13311,OBC,1,1,1,2,4,2,1,1,0,TEHRI GARHWAL
52,13311,Overall,0,0,0,4,1,3,0,1,0,TEHRI GARHWAL
53,13311,SC,1,1,1,3,0,1,0,0,2,TEHRI GARHWAL
54,13311,ST,4,4,4,2,3,1,4,0,4,TEHRI GARHWAL
55,13312,General,2,1,1,1,4,3,2,0,2,UDHAM SINGH NAGAR
56,13312,OBC,1,1,1,0,2,1,4,3,4,UDHAM SINGH NAGAR
57,13312,Overall,0,0,0,3,4,4,0,1,0,UDHAM SINGH NAGAR
58,13312,SC,2,2,2,2,2,2,3,3,3,UDHAM SINGH NAGAR
59,13312,ST,2,4,4,3,0,3,1,0,2,UDHAM SINGH NAGAR
60,13313,General,4,3,3,1,4,3,4,3,4,UTTARKASHI
61,13313,OBC,1,1,1,2,4,2,1,3,0,UTTARKASHI
62,13313,Overall,0,0,0,4,1,3,0,1,0,UTTARKASHI
63,13313,SC,2,2,2,3,0,1,0,0,2,UTTARKASHI
64,13313,ST,2,4,4,2,3,1,2,0,2,UTTARKASHI
