Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
ALMORA,General,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,13301,29.601699,79.6632635,29.601699,79.6632635
ALMORA,OBC,0.0,0.0,0.0,2.68,0.0,0.0,0.81,2.3,1.53,13301,29.601699,79.6632635,29.601699,79.6632635
ALMORA,SC,0.0,0.0,0.0,0.21,0.0,0.0,2.29,2.03,2.16,13301,29.601699,79.6632635,29.601699,79.6632635
ALMORA,ST,5.33,16.22,10.74,0.0,49.02,26.74,0.0,0.0,0.0,13301,29.601699,79.6632635,29.601699,79.6632635
ALMORA,Overall,0.0,0.0,0.0,0.3,0.0,0.0,0.58,0.32,0.45,13301,29.601699,79.6632635,29.601699,79.6632635
BAGESHWAR,General,0.0,0.0,0.0,0.0,0.79,0.0,0.47,1.88,1.2,13302,29.84925,79.78576,29.84925,79.78576
BAGESHWAR,OBC,0.0,0.0,0.0,2.25,10.52,6.7,7.06,0.0,2.95,13302,29.84925,79.78576,29.84925,79.78576
BAGESHWAR,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.56,2.91,3.22,13302,29.84925,79.78576,29.84925,79.78576
BAGESHWAR,ST,0.0,0.0,0.0,17.07,0.0,4.48,29.17,12.5,19.64,13302,29.84925,79.78576,29.84925,79.78576
BAGESHWAR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.16,2.12,13302,29.84925,79.78576,29.84925,79.78576
CHAMOLI,General,0.33,1.67,1.04,0.96,1.21,1.09,2.37,2.48,2.43,13303,30.0417376,79.089691,30.0417376,79.089691
CHAMOLI,OBC,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,13303,30.0417376,79.089691,30.0417376,79.089691
CHAMOLI,SC,0.22,0.0,0.0,0.39,0.07,0.23,2.53,2.24,2.38,13303,30.0417376,79.089691,30.0417376,79.089691
CHAMOLI,ST,0.0,0.0,0.0,1.44,0.43,0.91,6.82,12.87,10.23,13303,30.0417376,79.089691,30.0417376,79.089691
CHAMOLI,Overall,0.06,0.33,0.2,0.82,0.81,0.81,2.17,2.19,2.18,13303,30.0417376,79.089691,30.0417376,79.089691
CHAMPAWAT,General,0.0,0.0,0.0,3.58,3.35,3.46,6.33,6.08,6.2,13304,29.28565,80.05062,29.28565,80.05062
CHAMPAWAT,OBC,0.73,2.02,1.41,0.0,0.0,0.0,8.46,8.19,8.31,13304,29.28565,80.05062,29.28565,80.05062
CHAMPAWAT,SC,0.0,0.0,0.0,0.0,0.0,0.0,7.68,5.8,6.69,13304,29.28565,80.05062,29.28565,80.05062
CHAMPAWAT,ST,0.0,2.13,0.55,0.0,0.0,0.0,13.34,0.0,0.0,13304,29.28565,80.05062,29.28565,80.05062
CHAMPAWAT,Overall,0.0,0.0,0.0,1.97,1.97,1.97,6.82,6.08,6.43,13304,29.28565,80.05062,29.28565,80.05062
DEHRADUN,General,0.0,0.0,0.0,0.0,1.27,0.62,1.94,2.61,2.31,13305,30.3255646,78.0436813,30.3255646,78.0436813
DEHRADUN,OBC,1.71,4.17,3.01,4.49,5.21,4.87,4.24,1.65,2.89,13305,30.3255646,78.0436813,30.3255646,78.0436813
DEHRADUN,SC,2.34,1.4,1.85,5.45,6.67,6.08,4.76,6.69,5.75,13305,30.3255646,78.0436813,30.3255646,78.0436813
DEHRADUN,ST,2.17,2.42,2.29,5.18,0.0,1.44,3.39,1.34,2.36,13305,30.3255646,78.0436813,30.3255646,78.0436813
DEHRADUN,Overall,0.0,0.0,0.0,1.68,2.37,2.05,2.75,2.9,2.83,13305,30.3255646,78.0436813,30.3255646,78.0436813
HARDWAR,General,3.68,5.05,4.45,5.39,7.98,6.82,8.54,12.94,11.0,13306,29.92358,78.13601,29.92358,78.13601
HARDWAR,OBC,4.21,5.96,5.15,9.7,9.74,9.72,6.53,8.5,7.6,13306,29.92358,78.13601,29.92358,78.13601
HARDWAR,SC,2.35,2.43,2.39,3.04,3.3,3.17,4.15,3.73,3.92,13306,29.92358,78.13601,29.92358,78.13601
HARDWAR,ST,10.84,0.28,5.26,0.0,0.0,0.0,40.65,0.0,13.92,13306,29.92358,78.13601,29.92358,78.13601
HARDWAR,Overall,3.75,4.97,4.4,7.01,7.51,7.27,6.58,8.38,7.55,13306,29.92358,78.13601,29.92358,78.13601
NAINITAL,General,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,13307,29.3905295,79.460869,29.3905295,79.460869
NAINITAL,OBC,0.0,0.0,0.0,6.39,8.92,7.64,8.3,15.9,11.64,13307,29.3905295,79.460869,29.3905295,79.460869
NAINITAL,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.25,5.88,4.61,13307,29.3905295,79.460869,29.3905295,79.460869
NAINITAL,ST,0.0,0.0,0.0,7.14,0.0,3.32,16.86,16.14,16.46,13307,29.3905295,79.460869,29.3905295,79.460869
NAINITAL,Overall,0.0,0.0,0.0,0.08,0.3,0.19,0.89,3.63,2.34,13307,29.3905295,79.460869,29.3905295,79.460869
PAURI,General,0.6,0.17,0.37,0.95,0.0,0.19,3.57,3.77,3.67,13308,30.06424,78.73122,30.06424,78.73122
PAURI,OBC,0.0,0.0,0.0,0.0,0.54,0.0,0.0,10.03,1.74,13308,30.06424,78.73122,30.06424,78.73122
PAURI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.74,2.41,3.05,13308,30.06424,78.73122,30.06424,78.73122
PAURI,ST,0.0,4.1,1.34,0.0,6.32,1.12,12.73,20.78,17.42,13308,30.06424,78.73122,30.06424,78.73122
PAURI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.34,3.75,3.55,13308,30.06424,78.73122,30.06424,78.73122
PITHORAGARH,General,0.47,0.0,0.0,1.25,0.45,0.8,0.0,0.73,0.0,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,OBC,9.39,7.17,8.21,0.0,5.36,2.76,8.05,10.36,9.28,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,SC,0.0,0.0,0.0,0.49,0.0,0.1,0.74,0.55,0.64,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,ST,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,2.8,13309,29.55596,80.23107,29.55596,80.23107
PITHORAGARH,Overall,0.36,0.0,0.0,0.6,0.55,0.57,1.13,2.03,1.62,13309,29.55596,80.23107,29.55596,80.23107
RUDRAPRAYAG,General,4.61,2.25,3.38,1.64,3.02,2.36,4.33,3.04,3.67,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,OBC,0.0,0.0,0.0,0.0,14.29,3.76,21.25,16.87,19.02,13310,30.0417376,79.089691,30.0417376,79.089691
RUDRAPRAYAG,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.27,13310,30.0417376,79.089691,30.0417376,79.089691
