,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,13401,General,4,1,0,0,4,2,0,1,1,ALIPURDUAR
1,13401,OBC,2,3,0,0,2,3,2,4,4,ALIPURDUAR
2,13401,Overall,3,3,3,1,2,1,0,0,0,ALIPURDUAR
3,13401,SC,4,0,4,1,0,4,3,3,0,ALIPURDUAR
4,13401,ST,2,0,2,4,2,3,0,0,2,ALIPURDUAR
5,13402,General,2,2,0,0,2,2,0,1,1,BANKURA
6,13402,OBC,2,3,0,0,2,3,2,1,4,BANKURA
7,13402,Overall,3,3,3,1,2,1,0,0,0,BANKURA
8,13402,SC,4,0,4,1,2,3,3,3,0,BANKURA
9,13402,ST,2,0,2,0,2,3,0,0,2,BANKURA
10,13403,General,2,2,0,0,2,2,0,1,1,BIRBHUM
11,13403,OBC,2,1,0,0,2,3,2,4,4,BIRBHUM
12,13403,Overall,3,3,3,1,2,1,0,0,0,BIRBHUM
13,13403,SC,4,0,4,1,2,3,3,3,0,BIRBHUM
14,13403,ST,2,0,2,0,2,3,0,0,2,BIRBHUM
15,13404,General,2,2,0,1,2,4,0,1,1,COOCHBEHAR
16,13404,OBC,0,3,3,0,2,3,2,4,4,COOCHBEHAR
17,13404,Overall,3,3,3,1,2,1,0,0,0,COOCHBEHAR
18,13404,SC,4,0,4,1,2,3,3,3,0,COOCHBEHAR
19,13404,ST,2,0,2,4,2,3,0,0,2,COOCHBEHAR
20,13405,General,2,2,0,0,2,2,0,1,1,DAKSHIN DINAJPUR
21,13405,OBC,2,1,0,0,2,3,2,4,4,DAKSHIN DINAJPUR
22,13405,Overall,3,3,3,1,2,1,0,0,0,DAKSHIN DINAJPUR
23,13405,SC,3,0,1,1,0,4,3,0,0,DAKSHIN DINAJPUR
24,13405,ST,2,0,2,0,0,1,0,0,2,DAKSHIN DINAJPUR
25,13406,General,3,3,3,3,3,3,3,3,0,DARJILING
26,13406,OBC,0,3,3,1,0,1,2,1,1,DARJILING
27,13406,Overall,2,2,2,4,3,0,4,4,4,DARJILING
28,13406,SC,2,2,2,1,2,3,0,0,0,DARJILING
29,13406,ST,3,3,1,3,3,0,3,3,3,DARJILING
30,13407,General,2,2,2,0,4,2,0,4,4,HOOGHLY
31,13407,OBC,0,3,0,0,2,3,2,1,1,HOOGHLY
32,13407,Overall,1,0,0,3,0,0,0,0,0,HOOGHLY
33,13407,SC,3,0,1,1,2,3,2,0,2,HOOGHLY
34,13407,ST,2,0,2,0,0,1,0,0,2,HOOGHLY
35,13408,General,2,2,2,0,4,2,0,4,4,HOWRAH
36,13408,OBC,0,1,0,1,2,1,2,1,1,HOWRAH
37,13408,Overall,1,0,0,3,0,0,0,0,0,HOWRAH
38,13408,SC,3,0,1,1,2,3,2,0,2,HOWRAH
39,13408,ST,0,4,0,0,2,1,0,0,2,HOWRAH
40,13409,General,4,2,0,0,4,2,0,4,4,JALPAIGURI
41,13409,OBC,0,1,0,0,2,4,2,1,1,JALPAIGURI
42,13409,Overall,1,0,0,2,0,3,0,0,0,JALPAIGURI
43,13409,SC,3,0,1,4,0,4,2,0,2,JALPAIGURI
44,13409,ST,2,0,2,0,2,1,0,0,2,JALPAIGURI
45,13410,General,2,2,2,1,2,4,0,4,4,JHARGRAM
46,13410,OBC,3,1,0,0,2,4,2,1,1,JHARGRAM
47,13410,Overall,1,0,0,2,0,3,0,0,0,JHARGRAM
48,13410,SC,3,0,1,4,3,3,2,0,2,JHARGRAM
49,13410,ST,2,0,2,0,0,1,0,0,2,JHARGRAM
50,13411,General,1,1,1,3,3,3,4,3,0,KALIMPONG
51,13411,OBC,0,1,4,1,0,1,0,1,1,KALIMPONG
52,13411,Overall,1,0,0,3,0,0,2,2,2,KALIMPONG
53,13411,SC,0,3,3,2,0,2,2,0,2,KALIMPONG
54,13411,ST,0,4,0,0,0,0,1,4,4,KALIMPONG
55,13412,General,0,0,2,1,0,0,2,2,2,KOLKATA
56,13412,OBC,0,4,4,3,1,0,3,3,2,KOLKATA
57,13412,Overall,4,4,4,2,0,3,3,1,3,KOLKATA
58,13412,SC,0,3,3,3,3,3,0,4,3,KOLKATA
59,13412,ST,3,4,1,3,0,0,1,1,1,KOLKATA
60,13413,General,0,0,2,2,0,0,2,2,2,MALDAH
61,13413,OBC,3,4,4,0,1,4,1,3,0,MALDAH
62,13413,Overall,1,4,4,2,0,3,3,1,3,MALDAH
63,13413,SC,0,1,1,4,3,0,4,1,4,MALDAH
64,13413,ST,0,1,0,1,0,1,4,1,0,MALDAH
65,13414,General,0,0,2,2,0,0,2,2,2,MURSHIDABAD
66,13414,OBC,3,4,4,4,4,0,1,3,0,MURSHIDABAD
67,13414,Overall,4,4,4,0,0,2,3,1,3,MURSHIDABAD
68,13414,SC,0,1,0,4,3,0,4,1,4,MURSHIDABAD
69,13414,ST,4,1,4,1,4,2,4,1,0,MURSHIDABAD
70,13415,General,0,0,2,4,0,0,2,2,2,NADIA
71,13415,OBC,3,4,4,0,1,4,0,2,1,NADIA
72,13415,Overall,4,4,4,0,0,2,3,1,3,NADIA
73,13415,SC,0,1,0,4,3,0,4,1,4,NADIA
74,13415,ST,4,1,4,2,4,2,4,1,0,NADIA
75,13416,General,0,0,2,2,0,0,2,2,2,NORTH TWENTY FOUR PARGANA
76,13416,OBC,3,4,4,4,4,0,0,0,0,NORTH TWENTY FOUR PARGANA
77,13416,Overall,4,4,4,0,0,2,3,1,3,NORTH TWENTY FOUR PARGANA
78,13416,SC,0,1,0,4,3,0,4,1,4,NORTH TWENTY FOUR PARGANA
79,13416,ST,4,1,4,2,4,2,4,1,0,NORTH TWENTY FOUR PARGANA
80,13417,General,0,0,2,2,1,1,2,0,2,PASCHIM BARDHAMAN
81,13417,OBC,1,0,1,4,4,0,1,0,0,PASCHIM BARDHAMAN
82,13417,Overall,4,1,1,0,1,2,1,1,1,PASCHIM BARDHAMAN
83,13417,SC,0,1,0,0,1,1,1,1,1,PASCHIM BARDHAMAN
84,13417,ST,4,1,4,1,1,4,4,1,0,PASCHIM BARDHAMAN
85,13418,General,0,0,2,4,0,0,2,0,2,PASCHIM MEDINIPUR
86,13418,OBC,1,2,1,2,1,4,1,0,0,PASCHIM MEDINIPUR
87,13418,Overall,0,1,1,0,4,2,1,1,1,PASCHIM MEDINIPUR
88,13418,SC,1,1,0,0,1,1,1,1,1,PASCHIM MEDINIPUR
89,13418,ST,4,1,4,1,0,4,2,2,0,PASCHIM MEDINIPUR
90,13419,General,0,0,4,2,1,1,2,0,3,PURBA BARDHAMAN
91,13419,OBC,1,0,1,4,4,0,0,2,0,PURBA BARDHAMAN
92,13419,Overall,0,1,1,0,4,2,1,1,1,PURBA BARDHAMAN
93,13419,SC,1,1,0,3,1,1,1,2,1,PURBA BARDHAMAN
94,13419,ST,4,1,3,1,1,4,2,2,0,PURBA BARDHAMAN
95,13420,General,0,0,4,4,0,0,1,0,3,PURBA MEDINIPUR
96,13420,OBC,1,0,1,2,0,2,0,0,0,PURBA MEDINIPUR
97,13420,Overall,0,1,1,0,1,2,1,3,1,PURBA MEDINIPUR
98,13420,SC,1,1,0,0,4,0,1,2,1,PURBA MEDINIPUR
99,13420,ST,0,1,0,1,4,2,2,2,0,PURBA MEDINIPUR
100,13421,General,1,4,1,2,1,1,1,0,3,PURULIYA
101,13421,OBC,4,2,2,2,3,2,0,2,3,PURULIYA
102,13421,Overall,0,1,1,0,1,4,1,3,1,PURULIYA
103,13421,SC,1,4,0,0,4,0,1,2,1,PURULIYA
104,13421,ST,1,2,3,1,1,4,2,2,0,PURULIYA
105,13422,General,0,0,4,2,1,1,1,0,3,SILIGURI
106,13422,OBC,1,2,2,2,3,2,4,0,0,SILIGURI
107,13422,Overall,0,1,1,0,1,4,1,3,1,SILIGURI
108,13422,SC,1,4,0,0,4,0,1,2,1,SILIGURI
109,13422,ST,1,2,3,1,1,4,2,2,1,SILIGURI
110,13423,General,0,0,4,4,0,0,1,0,3,SOUTH  TWENTY FOUR PARGANA
111,13423,OBC,1,0,1,2,3,2,0,2,3,SOUTH  TWENTY FOUR PARGANA
112,13423,Overall,0,1,1,0,4,2,1,3,1,SOUTH  TWENTY FOUR PARGANA
113,13423,SC,1,4,0,0,1,1,1,2,1,SOUTH  TWENTY FOUR PARGANA
114,13423,ST,1,2,3,2,1,2,2,2,0,SOUTH  TWENTY FOUR PARGANA
115,13424,General,0,0,4,2,1,1,1,0,3,UTTAR DINAJPUR
116,13424,OBC,4,2,2,2,3,2,0,2,3,UTTAR DINAJPUR
117,13424,Overall,0,1,1,0,1,4,1,3,1,UTTAR DINAJPUR
118,13424,SC,1,4,0,0,4,0,1,2,1,UTTAR DINAJPUR
119,13424,ST,1,2,3,2,1,2,2,2,0,UTTAR DINAJPUR
