,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,12901,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
1,12902,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
2,12903,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
3,12904,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
4,12905,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
5,12906,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
6,12907,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
7,12908,General,2,2,0.0,1,2,0.0,0,1,2.0,,,
8,12909,General,1,0,0.0,1,2,0.0,0,1,2.0,,,
9,12910,General,1,0,0.0,1,2,0.0,0,1,2.0,,,
10,12911,General,1,0,0.0,2,2,0.0,0,1,2.0,,,
11,12912,General,1,0,0.0,2,1,0.0,0,1,2.0,,,
12,12913,General,1,0,0.0,1,1,0.0,0,2,0.0,,,
13,12914,General,1,0,0.0,2,1,0.0,1,2,0.0,,,
14,12915,General,1,0,0.0,2,1,0.0,1,2,0.0,,,
15,12916,General,1,0,2.0,2,1,0.0,1,2,0.0,,,
16,12917,General,1,0,2.0,2,1,0.0,1,2,0.0,,,
17,12918,General,1,0,2.0,2,1,0.0,1,2,0.0,,,
18,12919,General,1,0,2.0,2,1,0.0,1,2,0.0,,,
19,12920,General,1,0,2.0,0,1,1.0,1,2,0.0,,,
20,12921,General,0,0,2.0,2,1,1.0,1,2,0.0,,,
21,12922,General,0,0,2.0,0,1,1.0,1,2,0.0,,,
22,12923,General,0,0,2.0,0,1,1.0,1,2,0.0,,,
23,12924,General,0,1,2.0,0,1,1.0,1,0,0.0,,,
24,12926,General,0,1,1.0,0,0,1.0,2,0,1.0,,,
25,12925,General,0,1,2.0,0,0,1.0,1,0,0.0,,,
26,12927,General,0,1,1.0,0,0,1.0,2,0,1.0,,,
27,12928,General,0,1,1.0,0,0,1.0,2,0,1.0,,,
28,12929,General,0,1,1.0,0,0,1.0,2,0,1.0,,,
29,12930,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
30,12931,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
31,12932,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
32,12933,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
33,12934,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
34,12935,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
35,12936,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
36,12937,General,0,1,1.0,0,0,2.0,2,0,1.0,,,
0,12901,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
1,12902,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
2,12903,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
3,12904,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
4,12905,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
5,12906,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
6,12907,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
7,12908,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
8,12909,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
9,12910,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
10,12911,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
11,12912,OBC,2,1,0.0,0,0,0.0,1,0,1.0,,,
12,12913,OBC,1,1,0.0,0,0,0.0,1,0,1.0,,,
13,12914,OBC,1,0,2.0,0,0,0.0,1,0,1.0,,,
14,12915,OBC,1,0,2.0,0,0,0.0,2,2,2.0,,,
15,12916,OBC,1,0,2.0,0,0,0.0,2,2,2.0,,,
16,12917,OBC,1,0,2.0,0,0,0.0,2,2,2.0,,,
17,12918,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
18,12919,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
19,12920,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
20,12921,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
21,12922,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
22,12923,OBC,1,0,2.0,2,2,2.0,2,2,2.0,,,
23,12924,OBC,1,0,2.0,2,2,2.0,0,1,0.0,,,
24,12926,OBC,0,0,1.0,1,1,1.0,0,1,0.0,,,
25,12925,OBC,0,0,1.0,2,2,2.0,0,1,0.0,,,
26,12927,OBC,0,0,1.0,1,1,1.0,0,1,0.0,,,
27,12928,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
28,12929,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
29,12930,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
30,12931,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
31,12932,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
32,12933,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
33,12934,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
34,12935,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
35,12936,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
36,12937,OBC,0,2,1.0,1,1,1.0,0,1,0.0,,,
0,12901,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
1,12902,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
2,12903,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
3,12904,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
4,12905,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
5,12906,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
6,12907,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
7,12908,Overall,2,0,,1,1,,1,0,,0.0,1.0,0.0
8,12909,Overall,1,0,,1,1,,1,0,,0.0,1.0,0.0
9,12910,Overall,1,0,,1,1,,1,0,,0.0,1.0,0.0
10,12911,Overall,1,0,,1,1,,1,0,,0.0,1.0,0.0
11,12912,Overall,1,0,,1,0,,1,0,,0.0,1.0,0.0
12,12913,Overall,1,0,,2,0,,1,0,,0.0,2.0,0.0
13,12914,Overall,1,0,,2,0,,1,0,,0.0,2.0,0.0
14,12915,Overall,1,0,,2,0,,2,2,,0.0,2.0,2.0
15,12916,Overall,1,0,,2,0,,2,2,,1.0,2.0,2.0
16,12917,Overall,1,2,,2,0,,2,2,,1.0,2.0,2.0
17,12918,Overall,1,2,,2,0,,2,2,,1.0,2.0,2.0
18,12919,Overall,1,2,,2,0,,2,2,,1.0,2.0,2.0
19,12920,Overall,1,2,,2,0,,2,2,,1.0,2.0,2.0
20,12921,Overall,0,2,,2,0,,2,2,,1.0,2.0,2.0
21,12922,Overall,0,2,,0,0,,2,2,,1.0,0.0,2.0
22,12923,Overall,0,2,,0,0,,2,2,,1.0,0.0,2.0
23,12924,Overall,0,1,,0,0,,0,1,,1.0,0.0,1.0
24,12926,Overall,0,1,,0,0,,0,1,,1.0,0.0,1.0
25,12925,Overall,0,1,,0,0,,0,1,,1.0,0.0,1.0
26,12927,Overall,0,1,,0,0,,0,1,,1.0,0.0,1.0
27,12928,Overall,0,1,,0,0,,0,1,,2.0,0.0,1.0
28,12929,Overall,0,1,,0,0,,0,1,,2.0,0.0,1.0
29,12930,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
30,12931,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
31,12932,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
32,12933,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
33,12934,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
34,12935,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
35,12936,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
36,12937,Overall,0,1,,0,2,,0,1,,2.0,0.0,1.0
0,12901,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
1,12902,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
2,12903,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
3,12904,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
4,12905,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
5,12906,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
6,12907,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
7,12908,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
8,12909,SC,0,0,0.0,0,0,2.0,0,1,1.0,,,
9,12910,SC,0,0,0.0,0,0,1.0,0,1,1.0,,,
10,12911,SC,0,0,0.0,0,0,1.0,0,1,1.0,,,
11,12912,SC,0,0,0.0,0,0,1.0,0,1,1.0,,,
12,12913,SC,0,0,0.0,0,0,1.0,0,2,2.0,,,
13,12914,SC,0,0,0.0,0,0,1.0,0,2,2.0,,,
14,12915,SC,2,2,2.0,0,0,1.0,0,2,2.0,,,
15,12916,SC,2,2,2.0,1,1,1.0,1,2,2.0,,,
16,12917,SC,2,2,2.0,1,1,1.0,1,2,2.0,,,
17,12918,SC,2,2,2.0,1,1,1.0,1,2,2.0,,,
18,12919,SC,2,2,2.0,1,1,1.0,1,2,2.0,,,
19,12920,SC,2,2,2.0,1,1,1.0,1,2,2.0,,,
20,12921,SC,2,2,2.0,1,1,1.0,1,0,0.0,,,
21,12922,SC,2,2,2.0,1,1,0.0,1,0,0.0,,,
22,12923,SC,2,2,2.0,1,1,0.0,1,0,0.0,,,
23,12924,SC,1,1,1.0,1,1,0.0,1,0,0.0,,,
24,12926,SC,1,1,1.0,1,1,0.0,1,0,0.0,,,
25,12925,SC,1,1,1.0,1,1,0.0,1,0,0.0,,,
26,12927,SC,1,1,1.0,1,1,0.0,1,0,0.0,,,
27,12928,SC,1,1,1.0,1,1,0.0,2,0,0.0,,,
28,12929,SC,1,1,1.0,2,1,0.0,2,0,0.0,,,
29,12930,SC,1,1,1.0,2,2,0.0,2,0,0.0,,,
30,12931,SC,1,1,1.0,2,2,0.0,2,0,0.0,,,
31,12932,SC,1,1,1.0,2,2,0.0,2,0,0.0,,,
