,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,13001,General,1,1,1,0,0,0,2,0,2,ADILABAD
1,13001,OBC,3,3,4,0,0,4,1,1,1,ADILABAD
2,13001,Overall,0,0,1,1,0,1,3,2,3,ADILABAD
3,13001,SC,0,0,2,4,4,4,2,0,4,ADILABAD
4,13001,ST,4,0,0,2,1,2,2,3,2,ADILABAD
5,13002,General,1,1,1,2,0,0,2,0,2,BHADRADRI KOTHAGUDEM
6,13002,OBC,3,3,4,2,0,2,1,1,1,BHADRADRI KOTHAGUDEM
7,13002,Overall,0,0,1,1,0,0,3,2,3,BHADRADRI KOTHAGUDEM
8,13002,SC,0,0,2,4,1,3,2,0,4,BHADRADRI KOTHAGUDEM
9,13002,ST,4,0,0,2,1,1,2,3,2,BHADRADRI KOTHAGUDEM
10,13003,General,4,1,4,0,3,0,2,0,2,HANUMAKONDA
11,13003,OBC,3,3,4,0,4,4,1,1,1,HANUMAKONDA
12,13003,Overall,0,0,1,1,0,1,3,2,3,HANUMAKONDA
13,13003,SC,0,0,2,4,4,4,2,0,4,HANUMAKONDA
14,13003,ST,2,0,0,2,1,2,2,3,2,HANUMAKONDA
15,13004,General,4,1,4,0,0,0,2,0,2,HYDERABAD
16,13004,OBC,3,3,4,0,4,4,1,1,1,HYDERABAD
17,13004,Overall,0,0,1,1,0,1,3,2,3,HYDERABAD
18,13004,SC,0,0,2,4,4,4,2,0,4,HYDERABAD
19,13004,ST,2,0,0,1,4,1,2,3,2,HYDERABAD
20,13005,General,4,3,1,2,2,3,2,0,2,JAGTIAL
21,13005,OBC,1,1,1,0,0,3,1,1,1,JAGTIAL
22,13005,Overall,0,0,3,1,0,0,1,2,1,JAGTIAL
23,13005,SC,4,0,2,4,1,3,2,0,1,JAGTIAL
24,13005,ST,4,0,0,1,1,1,2,3,2,JAGTIAL
25,13006,General,1,3,1,2,2,3,2,0,2,JANGAON
26,13006,OBC,1,1,1,2,0,2,1,1,1,JANGAON
27,13006,Overall,0,0,3,0,0,0,1,2,1,JANGAON
28,13006,SC,4,0,2,4,4,4,2,0,1,JANGAON
29,13006,ST,4,0,0,1,4,1,4,0,3,JANGAON
30,13007,General,1,3,1,2,2,3,4,0,2,JAYASHANKAR
31,13007,OBC,1,1,1,2,2,2,1,1,1,JAYASHANKAR
32,13007,Overall,0,0,3,0,2,3,1,2,1,JAYASHANKAR
33,13007,SC,4,0,2,0,1,3,2,0,1,JAYASHANKAR
34,13007,ST,4,0,0,1,4,1,4,0,3,JAYASHANKAR
35,13008,General,1,3,1,2,2,3,4,0,2,JOGULAMBA GADWAL
36,13008,OBC,1,1,1,2,2,2,3,3,0,JOGULAMBA GADWAL
37,13008,Overall,0,0,3,0,2,3,1,0,1,JOGULAMBA GADWAL
38,13008,SC,4,0,4,0,1,3,0,0,1,JOGULAMBA GADWAL
39,13008,ST,2,0,0,1,4,1,2,0,2,JOGULAMBA GADWAL
40,13009,General,1,3,1,2,0,4,2,0,2,KAMAREDDY
41,13009,OBC,1,1,1,0,0,3,3,3,0,KAMAREDDY
42,13009,Overall,1,0,3,3,3,0,1,0,1,KAMAREDDY
43,13009,SC,4,0,4,3,3,2,0,0,1,KAMAREDDY
44,13009,ST,0,0,0,2,1,2,4,0,3,KAMAREDDY
45,13010,General,2,3,3,0,3,0,4,1,3,KARIMNAGAR
46,13010,OBC,1,1,1,0,4,3,3,3,0,KARIMNAGAR
