,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,13401,General,1,0,2.0,0,0,0.0,2,0,2.0,,,
1,13402,General,1,2,2.0,0,0,0.0,2,0,2.0,,,
2,13403,General,1,2,2.0,0,0,0.0,2,0,2.0,,,
3,13404,General,1,2,2.0,0,0,0.0,2,0,2.0,,,
4,13405,General,1,2,2.0,0,0,0.0,2,0,2.0,,,
5,13406,General,0,0,0.0,1,1,1.0,0,1,1.0,,,
6,13407,General,1,2,1.0,0,0,0.0,2,0,2.0,,,
7,13408,General,1,2,1.0,0,0,0.0,2,0,2.0,,,
8,13409,General,1,2,2.0,0,0,0.0,2,0,2.0,,,
9,13410,General,1,2,1.0,0,0,0.0,2,0,2.0,,,
10,13411,General,0,0,0.0,1,1,1.0,0,1,1.0,,,
11,13412,General,2,1,1.0,0,2,2.0,1,0,0.0,,,
12,13413,General,2,1,1.0,2,2,2.0,1,0,0.0,,,
13,13414,General,2,1,1.0,2,2,2.0,1,0,0.0,,,
14,13415,General,2,1,1.0,2,2,2.0,1,0,0.0,,,
15,13416,General,2,1,1.0,2,2,2.0,1,0,0.0,,,
16,13417,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
17,13418,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
18,13419,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
19,13420,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
20,13421,General,0,0,0.0,2,2,2.0,1,2,0.0,,,
21,13422,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
22,13423,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
23,13424,General,2,1,1.0,2,2,2.0,1,2,0.0,,,
0,13401,OBC,2,0,0.0,0,2,0.0,2,1,1.0,,,
1,13402,OBC,2,0,0.0,0,2,0.0,2,1,1.0,,,
2,13403,OBC,2,0,0.0,0,2,0.0,2,1,1.0,,,
3,13404,OBC,0,0,0.0,0,2,0.0,2,1,1.0,,,
4,13405,OBC,2,0,0.0,0,2,0.0,2,1,1.0,,,
5,13406,OBC,0,0,0.0,0,1,0.0,2,1,1.0,,,
6,13407,OBC,0,0,0.0,0,2,0.0,2,1,1.0,,,
7,13408,OBC,0,0,0.0,0,2,0.0,2,1,1.0,,,
