,Location,Social Category,Girls,Boys,Overall,Girls.1,Boys.1,Overall.1,Girls.2,Boys.2
0,ANANTAPUR,General,0.0,0.0,0.0,0.0,0.17,0.0,9.55,15.21
1,ANANTAPUR,OBC,0.78,2.3,1.59,2.46,2.45,2.46,24.56,22.04
2,ANANTAPUR,SC,0.0,0.23,0.0,1.24,2.01,1.64,17.97,19.13
3,ANANTAPUR,ST,0.0,0.05,0.0,2.2,2.94,2.58,12.67,21.03
4,ANANTAPUR,Overall,0.0,0.95,0.31,1.56,2.0,1.79,20.15,20.24
5,CHITTOOR,General,0.0,0.0,0.0,0.0,0.27,0.0,1.89,6.37
6,CHITTOOR,OBC,0.0,0.0,0.0,0.15,0.1,0.13,11.42,10.18
7,CHITTOOR,SC,0.0,0.0,0.0,0.97,0.51,0.73,8.45,10.7
8,CHITTOOR,ST,0.0,0.0,0.0,4.08,4.91,4.51,3.63,11.66
9,CHITTOOR,Overall,0.0,0.0,0.0,0.3,0.48,0.4,8.14,9.38
10,EAST GODAVARI,General,0.0,0.0,0.0,0.37,1.52,0.96,13.06,18.32
11,EAST GODAVARI,OBC,0.0,0.0,0.0,0.61,1.2,0.91,15.17,19.24
12,EAST GODAVARI,SC,0.0,0.0,0.0,1.17,1.44,1.31,11.08,16.04
13,EAST GODAVARI,ST,0.0,1.89,0.91,5.25,7.98,6.62,12.62,12.52
14,EAST GODAVARI,Overall,0.0,0.0,0.0,0.99,1.8,1.41,13.52,17.93
15,GUNTUR,General,0.0,0.0,0.0,0.84,0.75,0.8,15.96,14.0
16,GUNTUR,OBC,0.33,1.17,0.77,1.92,1.5,1.7,19.58,19.03
17,GUNTUR,SC,0.0,0.0,0.0,1.34,1.38,1.36,14.39,17.34
18,GUNTUR,ST,1.18,2.57,1.91,6.27,5.7,5.97,15.85,14.25
19,GUNTUR,Overall,0.0,0.38,0.0,1.75,1.52,1.63,17.01,16.74
20,KADAPA,General,0.0,0.0,0.0,0.0,0.0,0.0,13.1,20.67
21,KADAPA,OBC,0.0,0.5,0.23,5.42,4.27,4.83,25.65,27.57
22,KADAPA,SC,0.0,0.0,0.0,1.97,2.1,2.04,15.18,18.0
23,KADAPA,ST,0.0,0.0,0.0,7.32,2.92,5.01,26.5,22.94
24,KADAPA,Overall,0.0,0.0,0.0,2.09,2.53,2.32,19.9,23.53
25,KRISHNA,General,0.0,0.0,0.0,0.0,0.0,0.0,20.58,23.51
26,KRISHNA,OBC,0.0,0.0,0.0,0.0,0.08,0.0,24.11,25.05
27,KRISHNA,SC,0.0,0.0,0.0,0.13,1.87,1.02,19.11,21.85
28,KRISHNA,ST,0.0,0.0,0.0,3.49,5.02,4.28,23.55,20.72
29,KRISHNA,Overall,0.0,0.0,0.0,0.0,0.31,0.11,21.94,23.73
30,KURNOOL,General,0.0,0.0,0.0,0.0,0.0,0.0,10.62,13.15
31,KURNOOL,OBC,1.69,2.7,2.24,6.93,5.85,6.36,24.53,24.01
32,KURNOOL,SC,0.0,0.0,0.0,3.57,3.46,3.52,13.39,17.72
33,KURNOOL,ST,0.0,0.0,0.0,7.16,1.62,4.26,11.06,0.0
34,KURNOOL,Overall,0.0,0.0,0.0,4.71,4.05,4.37,19.73,20.45
35,NELLORE,General,0.0,0.0,0.0,0.0,0.0,0.0,7.37,7.01
36,NELLORE,OBC,0.0,0.0,0.0,1.35,1.08,1.21,14.14,15.6
37,NELLORE,SC,0.0,0.0,0.0,1.11,1.95,1.54,11.09,16.02
38,NELLORE,ST,3.36,4.86,4.12,16.22,15.25,15.73,28.26,29.08
39,NELLORE,Overall,0.0,0.0,0.0,2.64,2.52,2.58,12.94,14.78
40,PRAKASAM,General,0.0,0.09,0.0,0.56,1.82,1.22,21.24,25.7
41,PRAKASAM,OBC,0.0,0.7,0.16,2.19,1.97,2.08,24.5,24.57
42,PRAKASAM,SC,0.0,0.0,0.0,3.02,3.6,3.31,19.42,20.22
43,PRAKASAM,ST,2.57,4.59,3.63,13.25,13.97,13.62,13.61,20.45
44,PRAKASAM,Overall,0.0,0.44,0.0,2.61,3.01,2.82,21.73,23.55
45,SRIKAKULAM,General,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
46,SRIKAKULAM,OBC,0.0,0.0,0.0,0.14,0.23,0.18,14.34,17.69
47,SRIKAKULAM,SC,0.0,0.0,0.0,3.75,0.0,1.84,10.76,11.98
48,SRIKAKULAM,ST,0.0,0.05,0.0,0.77,3.39,2.14,16.2,10.57
49,SRIKAKULAM,Overall,0.0,0.0,0.0,0.34,0.46,0.41,10.81,13.22
50,VISAKHAPATNAM,General,0.0,0.0,0.0,3.73,2.22,2.92,21.66,21.34
51,VISAKHAPATNAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.17,8.85
52,VISAKHAPATNAM,SC,0.0,0.0,0.0,0.0,0.67,0.04,4.24,10.94
53,VISAKHAPATNAM,ST,1.99,2.83,2.42,4.28,6.17,5.26,6.24,12.64
54,VISAKHAPATNAM,Overall,0.0,0.0,0.0,0.9,0.83,0.87,7.6,12.61
55,VIZIANAGARAM,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,VIZIANAGARAM,OBC,0.3,2.12,1.25,1.05,2.04,1.56,11.97,17.82
57,VIZIANAGARAM,SC,0.0,0.0,0.0,0.59,0.65,0.62,1.22,0.79
58,VIZIANAGARAM,ST,0.0,0.12,0.03,2.57,4.31,3.48,0.0,0.0
59,VIZIANAGARAM,Overall,0.0,0.68,0.05,1.0,1.56,1.29,6.47,9.46
60,WEST GODAVARI,General,0.0,0.0,0.0,1.2,1.32,1.26,12.77,18.12
61,WEST GODAVARI,OBC,0.0,0.0,0.0,0.27,1.04,0.66,13.95,20.72
62,WEST GODAVARI,SC,0.0,0.0,0.0,0.0,0.51,0.11,10.79,20.0
63,WEST GODAVARI,ST,0.0,1.83,0.75,2.63,6.14,4.4,4.42,6.89
64,WEST GODAVARI,Overall,0.0,0.0,0.0,0.47,1.19,0.84,12.49,19.34
65,Total,Overall,0.0,0.0,0.0,1.5,1.72,1.62,14.97,17.52
66,..,,,,,,,,,
