,Location,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,Andhra Pradesh,100,General,3,3,3.0,3,3,1.0,3,1,3.0
1,Assam,102,General,3,3,3.0,3,3,1.0,3,1,3.0
2,Bihar,103,General,3,3,3.0,3,3,1.0,3,1,3.0
3,Chhattisgarh,105,General,3,3,3.0,1,4,3.0,3,1,3.0
4,Dadra & Nagar Haveli & Daman & Diu,106,General,3,3,0.0,3,3,1.0,4,1,0.0
5,Delhi,107,General,0,1,0.0,1,4,3.0,4,4,0.0
6,Gujarat,109,General,0,1,0.0,3,3,1.0,4,4,0.0
7,Haryana,110,General,0,1,0.0,1,4,3.0,4,4,0.0
8,Himachal Pradesh,111,General,0,1,0.0,1,4,3.0,4,4,0.0
9,Jammu & Kashmir,112,General,0,1,0.0,1,4,3.0,4,4,0.0
10,Jharkhand,113,General,0,1,0.0,1,4,3.0,1,3,0.0
11,Karnataka,114,General,0,1,0.0,2,0,1.0,1,3,0.0
12,Kerala,115,General,0,1,0.0,1,4,3.0,1,3,0.0
13,Madhya Pradesh,118,General,1,4,1.0,1,0,0.0,1,0,1.0
14,Maharashtra,119,General,0,1,0.0,1,0,0.0,1,3,0.0
15,Manipur,120,General,1,4,1.0,2,0,0.0,0,0,4.0
16,Meghalaya,121,General,1,4,1.0,2,0,2.0,1,0,1.0
17,Mizoram,122,General,1,0,1.0,2,0,0.0,0,0,1.0
18,Nagaland,123,General,1,0,1.0,4,2,2.0,0,0,4.0
19,Odisha,124,General,2,2,2.0,0,1,4.0,2,2,2.0
20,Puducherry,125,General,2,0,2.0,0,0,0.0,0,0,1.0
21,Punjab,126,General,2,2,2.0,4,2,2.0,0,0,1.0
22,Rajasthan,127,General,2,2,2.0,0,1,4.0,2,2,2.0
23,Sikkim,128,General,4,0,4.0,0,0,0.0,0,0,1.0
24,Tamil Nadu,129,General,2,2,2.0,0,1,4.0,2,2,2.0
25,Telangana,130,General,2,2,2.0,4,2,2.0,2,2,2.0
26,Tripura,131,General,2,2,2.0,0,1,4.0,2,2,2.0
27,Uttar Pradesh,132,General,2,2,2.0,0,1,4.0,2,2,2.0
28,Uttarakhand,133,General,2,2,2.0,0,1,4.0,2,2,2.0
29,West Bengal,134,General,4,0,4.0,0,1,0.0,2,2,2.0
30,Andhra Pradesh,100,OBC,3,0,0.0,1,3,1.0,1,1,3.0
31,Assam,102,OBC,3,0,0.0,1,3,1.0,1,1,3.0
