Location,General_upPrim_Boys,Social Category
AHMEDABAD,0.0,General
AMRELI,2.97,General
ANAND,0.17,General
ARAVALLI,5.08,General
BANAS KANTHA,0.16,General
BHARUCH,1.07,General
BHAVNAGAR,0.0,General
BOTAD,0.0,General
CHHOTAUDEPUR,3.93,General
DEVBHOOMI DWARKA,1.19,General
DOHAD,6.23,General
GANDHINAGAR,13.09,General
GIR SOMNATH,5.83,General
JAMNAGAR,0.0,General
JUNAGADH,0.0,General
KACHCHH,7.45,General
KHEDA,3.68,General
MAHESANA,3.0,General
MAHISAGAR,0.0,General
MORBI,0.0,General
NARMADA,1.64,General
NAVSARI,1.56,General
PANCH MAHALS,2.21,General
PATAN,6.08,General
PORBANDAR,0.0,General
RAJKOT,0.0,General
SABAR KANTHA,0.0,General
SURAT,6.15,General
SURENDRANAGAR,1.49,General
TAPI,0.0,General
THE DANGS,0.0,General
VADODARA,0.0,General
VALSAD,1.64,General
