Location,OBC_snr_Boys,Social Category
AHMEDABAD,20.13,OBC
AMRELI,25.75,OBC
ANAND,26.46,OBC
ARAVALLI,18.38,OBC
BANAS KANTHA,19.6,OBC
BHARUCH,33.62,OBC
BHAVNAGAR,18.08,OBC
BOTAD,20.75,OBC
CHHOTAUDEPUR,29.33,OBC
DEVBHOOMI DWARKA,28.18,OBC
DOHAD,35.11,OBC
GANDHINAGAR,17.94,OBC
GIR SOMNATH,19.85,OBC
JAMNAGAR,29.47,OBC
JUNAGADH,20.5,OBC
KACHCHH,33.29,OBC
KHEDA,23.57,OBC
MAHESANA,27.91,OBC
MAHISAGAR,15.93,OBC
MORBI,28.97,OBC
NARMADA,20.13,OBC
NAVSARI,10.59,OBC
PANCH MAHALS,24.81,OBC
PATAN,23.29,OBC
PORBANDAR,20.91,OBC
RAJKOT,22.81,OBC
SABAR KANTHA,19.51,OBC
SURAT,14.92,OBC
SURENDRANAGAR,22.29,OBC
TAPI,20.69,OBC
THE DANGS,32.69,OBC
VADODARA,39.67,OBC
VALSAD,6.87,OBC
