Location,OBC_upPrim_Overall,Social Category
AHMEDABAD,5.49,OBC
AMRELI,5.9,OBC
ANAND,2.17,OBC
ARAVALLI,1.26,OBC
BANAS KANTHA,9.61,OBC
BHARUCH,4.78,OBC
BHAVNAGAR,5.73,OBC
BOTAD,4.89,OBC
CHHOTAUDEPUR,14.08,OBC
DEVBHOOMI DWARKA,7.23,OBC
DOHAD,9.05,OBC
GANDHINAGAR,6.42,OBC
GIR SOMNATH,6.15,OBC
JAMNAGAR,13.47,OBC
JUNAGADH,4.08,OBC
KACHCHH,10.47,OBC
KHEDA,3.74,OBC
MAHESANA,4.22,OBC
MAHISAGAR,1.91,OBC
MORBI,12.32,OBC
NARMADA,0.33,OBC
NAVSARI,1.61,OBC
PANCH MAHALS,4.49,OBC
PATAN,5.47,OBC
PORBANDAR,5.62,OBC
RAJKOT,8.58,OBC
SABAR KANTHA,2.67,OBC
SURAT,6.83,OBC
SURENDRANAGAR,9.38,OBC
TAPI,6.6,OBC
THE DANGS,5.83,OBC
VADODARA,14.05,OBC
VALSAD,3.85,OBC
